label,geracao,n_front_acq,n_online,q,n_lote,idx,mm,front_todo_selecionado,ok_val,dv,marked
q10_ZDT4,68,7,10,10,10,"[3, 6, 2, 1, 0, 4, 5]","[np.float64(0.27479), np.float64(0.286195), np.float64(0.310011), np.float64(0.33144), np.float64(0.380465), np.float64(0.380948), np.float64(0.488304)]",True,True,6.866198776211974e-09,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,70,9,10,10,10,"[4, 2, 1, 3, 7, 6, 8, 0, 5]","[np.float64(0.311377), np.float64(0.320338), np.float64(0.346578), np.float64(0.363864), np.float64(0.380684), np.float64(0.393749), np.float64(0.411672), np.float64(0.43486), np.float64(0.535107)]",True,True,2.076254707050751e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,81,6,10,10,10,"[4, 3, 1, 2, 5, 0]","[np.float64(0.317101), np.float64(0.368234), np.float64(0.388885), np.float64(0.399904), np.float64(0.43652), np.float64(0.503031)]",True,True,3.0125593020180474e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,85,9,10,10,10,"[4, 3, 5, 2, 1, 7, 8, 0, 6]","[np.float64(0.257081), np.float64(0.282613), np.float64(0.337137), np.float64(0.349282), np.float64(0.353728), np.float64(0.418036), np.float64(0.441573), np.float64(0.459524), np.float64(0.650003)]",True,True,1.0748756884559896e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,101,9,10,10,10,"[8, 1, 6, 5, 0, 4, 2, 3, 7]","[np.float64(0.225834), np.float64(0.286148), np.float64(0.291347), np.float64(0.314886), np.float64(0.383357), np.float64(0.429345), np.float64(0.442264), np.float64(0.466865), np.float64(0.499852)]",True,True,2.1147338991056586e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,112,9,10,10,10,"[2, 8, 0, 7, 3, 6, 1, 5, 4]","[np.float64(0.222057), np.float64(0.302337), np.float64(0.310743), np.float64(0.313865), np.float64(0.332717), np.float64(0.342394), np.float64(0.399903), np.float64(0.40438), np.float64(0.492992)]",True,True,1.785434197709712e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,113,8,10,10,10,"[5, 1, 7, 3, 2, 6, 0, 4]","[np.float64(0.279849), np.float64(0.287175), np.float64(0.328104), np.float64(0.35556), np.float64(0.392589), np.float64(0.395865), np.float64(0.464157), np.float64(0.465482)]",True,True,1.6365273303176053e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,128,6,10,10,10,"[5, 1, 3, 0, 4, 2]","[np.float64(0.23283), np.float64(0.251027), np.float64(0.317349), np.float64(0.337212), np.float64(0.462977), np.float64(0.479188)]",True,True,1.6027310478783363e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,133,9,10,10,10,"[2, 3, 7, 6, 5, 4, 8, 1, 0]","[np.float64(0.211402), np.float64(0.275329), np.float64(0.302355), np.float64(0.345712), np.float64(0.35413), np.float64(0.376088), np.float64(0.380049), np.float64(0.386124), np.float64(0.430767)]",True,True,1.4397767755802704e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,147,6,10,10,10,"[0, 2, 5, 4, 3, 1]","[np.float64(0.229052), np.float64(0.3427), np.float64(0.363797), np.float64(0.364533), np.float64(0.375144), np.float64(0.442467)]",True,True,9.487420182807682e-09,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,159,9,10,10,10,"[8, 5, 0, 6, 7, 2, 3, 1, 4]","[np.float64(0.228444), np.float64(0.261759), np.float64(0.289555), np.float64(0.30437), np.float64(0.315807), np.float64(0.348816), np.float64(0.364079), np.float64(0.381781), np.float64(0.457566)]",True,True,2.104504565059173e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,164,6,10,10,10,"[4, 1, 2, 0, 3, 5]","[np.float64(0.276967), np.float64(0.277409), np.float64(0.36217), np.float64(0.362634), np.float64(0.366561), np.float64(0.559027)]",True,True,1.3557228895066942e-08,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
q10_ZDT4,173,8,10,10,10,"[3, 2, 7, 5, 6, 1, 0, 4]","[np.float64(0.222897), np.float64(0.267576), np.float64(0.330006), np.float64(0.358305), np.float64(0.374404), np.float64(0.398947), np.float64(0.434476), np.float64(0.52171)]",True,True,8.255206296325923e-09,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
