label,geracao,n_front,n_fill,asc_dataset,asc_selecionados,asc_uniao,desc_dataset,desc_selecionados,desc_uniao,d_dataset,d_selec,d_uniao
q10_ZDT4,81,6,4,False,False,False,False,True,False,"[np.float64(0.274), np.float64(0.5702), np.float64(0.6346), np.float64(0.4395)]","[np.float64(1.1713), np.float64(1.1696), np.float64(1.1217), np.float64(1.0966)]","[np.float64(0.274), np.float64(0.5702), np.float64(0.6346), np.float64(0.4395)]"
q10_ZDT4,85,9,1,True,True,True,True,True,True,[np.float64(0.5139)],[np.float64(1.043)],[np.float64(0.5139)]
q10_ZDT4,101,9,1,True,True,True,True,True,True,[np.float64(0.5268)],[np.float64(1.1076)],[np.float64(0.5268)]
q10_ZDT4,112,9,1,True,True,True,True,True,True,[np.float64(0.4192)],[np.float64(1.0789)],[np.float64(0.4192)]
q10_ZDT4,113,8,2,False,False,False,True,True,True,"[np.float64(0.8062), np.float64(0.5135)]","[np.float64(1.2549), np.float64(1.0962)]","[np.float64(0.8062), np.float64(0.5135)]"
q10_ZDT4,128,6,4,True,False,True,False,True,False,"[np.float64(0.3865), np.float64(0.4712), np.float64(0.4884), np.float64(0.6217)]","[np.float64(1.3595), np.float64(1.2476), np.float64(1.2082), np.float64(1.1953)]","[np.float64(0.3865), np.float64(0.4712), np.float64(0.4884), np.float64(0.6217)]"
q10_ZDT4,133,9,1,True,True,True,True,True,True,[np.float64(0.3981)],[np.float64(1.0835)],[np.float64(0.3981)]
q10_ZDT4,147,6,4,False,False,False,False,True,False,"[np.float64(0.5344), np.float64(0.2112), np.float64(0.4719), np.float64(0.3746)]","[np.float64(1.1928), np.float64(1.1562), np.float64(1.0844), np.float64(1.0421)]","[np.float64(0.5344), np.float64(0.2112), np.float64(0.4719), np.float64(0.3746)]"
q10_ZDT4,159,9,1,True,True,True,True,True,True,[np.float64(0.5047)],[np.float64(1.149)],[np.float64(0.5047)]
q10_ZDT4,164,6,4,False,False,False,False,True,False,"[np.float64(0.5084), np.float64(0.43), np.float64(0.5481), np.float64(0.3991)]","[np.float64(1.2226), np.float64(1.1943), np.float64(1.0905), np.float64(1.0683)]","[np.float64(0.5084), np.float64(0.43), np.float64(0.5481), np.float64(0.3991)]"
q10_ZDT4,173,8,2,True,False,True,False,True,False,"[np.float64(0.4468), np.float64(0.4721)]","[np.float64(1.0618), np.float64(1.0468)]","[np.float64(0.4468), np.float64(0.4721)]"
