prob,degrau,pop,tries,it,s,k
BBOB_F1,,1024,10,111,2,
BBOB_F1,,1024,10,111,7,
BBOB_F1,,1024,10,111,9,
BBOB_F1,,1024,10,111,10,
BBOB_F1,,1024,10,112,5,
BBOB_F1,,1024,10,112,10,
BBOB_F1,,1024,10,115,9,
BBOB_F1,,1024,10,116,9,
BBOB_F1,,1024,10,116,10,
BBOB_F1,,1024,10,117,4,
BBOB_F1,,1024,10,118,7,
BBOB_F1,,1024,10,119,1,
BBOB_F1,,1024,10,120,9,
BBOB_F1,,1024,10,120,10,
BBOB_F1,,1024,10,123,6,
BBOB_F1,,1024,10,123,8,
BBOB_F1,,1024,10,123,9,
BBOB_F1,,1024,10,124,2,
BBOB_F1,,1024,10,124,3,
BBOB_F1,,1024,10,124,5,
BBOB_F1,,1024,10,125,5,
BBOB_F1,,1024,10,125,9,
BBOB_F1,,1024,10,129,1,
BBOB_F1,,1024,10,129,5,
BBOB_F1,,1024,10,130,7,
BBOB_F1,,1024,10,131,3,
BBOB_F1,,1024,10,131,7,
BBOB_F1,,1024,10,131,9,
BBOB_F1,,1024,10,132,9,
BBOB_F1,,1024,10,133,5,
BBOB_F1,,1024,10,133,7,
BBOB_F1,,1024,10,134,9,
BBOB_F1,,1024,10,135,2,
BBOB_F1,,1024,10,136,4,
BBOB_F1,,1024,10,136,8,
BBOB_F1,,1024,10,138,9,
BBOB_F1,,1024,10,138,10,
BBOB_F1,,1024,10,139,3,
BBOB_F1,,1024,10,139,5,
BBOB_F1,,1024,10,140,1,
BBOB_F1,,1024,10,140,3,
BBOB_F1,,1024,10,140,4,
BBOB_F1,,1024,10,141,6,
BBOB_F1,,1024,10,142,7,
BBOB_F1,,1024,10,144,5,
BBOB_F1,,1024,10,145,7,
BBOB_F1,,1024,10,147,3,
BBOB_F1,,1024,10,147,6,
BBOB_F1,,1024,10,147,9,
BBOB_F1,,1024,10,148,1,
BBOB_F1,,1024,10,149,1,
BBOB_F1,,1024,10,149,10,
BBOB_F1,,1024,10,150,10,
BBOB_F1,,1024,10,151,2,
BBOB_F1,,1024,10,151,4,
BBOB_F1,,1024,10,151,6,
BBOB_F1,,1024,10,151,10,
BBOB_F1,,1024,10,152,7,
BBOB_F1,,1024,10,152,9,
BBOB_F1,,1024,10,152,10,
BBOB_F1,,1024,10,153,2,
BBOB_F1,,1024,10,155,3,
BBOB_F1,,1024,10,155,7,
BBOB_F1,,1024,10,155,9,
BBOB_F1,,1024,10,156,4,
BBOB_F1,,1024,10,156,7,
BBOB_F1,,1024,10,159,8,
BBOB_F1,,1024,10,160,8,
BBOB_F1,,1024,10,161,9,
BBOB_F1,,1024,10,162,1,
BBOB_F1,,1024,10,165,5,
BBOB_F1,,1024,10,166,7,
BBOB_F1,,1024,10,167,2,
BBOB_F1,,1024,10,168,3,
BBOB_F1,,1024,10,168,7,
BBOB_F1,,1024,10,169,10,
BBOB_F1,,1024,10,170,5,
BBOB_F1,,1024,10,171,1,
BBOB_F1,,1024,10,172,6,
BBOB_F1,,1024,10,172,10,
BBOB_F1,,1024,10,173,5,
BBOB_F1,,1024,10,174,6,
BBOB_F1,,1024,10,176,2,
BBOB_F1,,1024,10,176,9,
BBOB_F1,,1024,10,177,1,
BBOB_F1,,1024,10,177,4,
BBOB_F1,,1024,10,177,10,
BBOB_F1,,1024,10,178,3,
BBOB_F1,,1024,10,179,6,
BBOB_F1,,1024,10,180,2,
BBOB_F1,,1024,10,182,3,
BBOB_F1,,1024,10,182,7,
BBOB_F1,,1024,10,184,9,
BBOB_F1,,1024,10,185,3,
BBOB_F1,,1024,10,187,7,
BBOB_F1,,1024,10,188,6,
BBOB_F1,,1024,10,190,1,
BBOB_F1,,1024,10,190,9,
BBOB_F1,,1024,10,191,1,
BBOB_F1,,1024,10,192,7,
BBOB_F1,,1024,10,193,8,
BBOB_F1,,1024,10,194,7,
BBOB_F1,,1024,10,195,8,
BBOB_F1,,1024,10,196,5,
BBOB_F1,,1024,10,197,3,
BBOB_F1,,1024,10,198,8,
BBOB_F1,,1024,10,199,2,
BBOB_F1,,1024,10,199,3,
BBOB_F1,,1024,10,199,4,
BBOB_F1,,1024,10,199,8,
BBOB_F1,,1024,10,200,3,
BBOB_F1,,1024,10,200,9,
BBOB_F17,,1024,10,2,10,
BBOB_F17,,1024,10,5,6,
BBOB_F17,,1024,10,5,9,
BBOB_F17,,1024,10,6,2,
BBOB_F17,,1024,10,7,6,
BBOB_F17,,1024,10,8,1,
BBOB_F17,,1024,10,8,3,
BBOB_F17,,1024,10,14,4,
BBOB_F17,,1024,10,23,3,
BBOB_F17,,1024,10,26,4,
BBOB_F17,,1024,10,30,8,
BBOB_F17,,1024,10,47,7,
BBOB_F17,,1024,10,127,2,
BBOB_F22,,1024,10,1,3,
BBOB_F22,,1024,10,1,4,
BBOB_F22,,1024,10,1,9,
BBOB_F22,,1024,10,2,1,
BBOB_F22,,1024,10,2,4,
BBOB_F22,,1024,10,2,5,
BBOB_F22,,1024,10,2,6,
BBOB_F22,,1024,10,2,7,
BBOB_F22,,1024,10,2,9,
BBOB_F22,,1024,10,3,2,
BBOB_F22,,1024,10,3,9,
BBOB_F22,,1024,10,3,10,
BBOB_F22,,1024,10,4,2,
BBOB_F22,,1024,10,4,9,
BBOB_F22,,1024,10,4,10,
BBOB_F22,,1024,10,5,1,
BBOB_F22,,1024,10,5,5,
BBOB_F22,,1024,10,5,6,
BBOB_F22,,1024,10,6,6,
BBOB_F22,,1024,10,6,7,
BBOB_F22,,1024,10,7,10,
BBOB_F22,,1024,10,8,6,
BBOB_F22,,2048,20,8,6,
BBOB_F22,,1024,10,9,10,
BBOB_F22,,1024,10,10,1,
BBOB_F22,,1024,10,10,3,
BBOB_F22,,1024,10,10,6,
BBOB_F22,,1024,10,10,9,
BBOB_F22,,1024,10,11,1,
BBOB_F22,,1024,10,11,4,
BBOB_F22,,1024,10,11,6,
BBOB_F22,,1024,10,12,1,
BBOB_F22,,1024,10,12,4,
BBOB_F22,,1024,10,12,5,
BBOB_F22,,1024,10,12,6,
BBOB_F22,,1024,10,12,7,
BBOB_F22,,1024,10,15,1,
BBOB_F22,,1024,10,15,4,
BBOB_F22,,1024,10,16,5,
BBOB_F22,,1024,10,16,8,
BBOB_F22,,1024,10,17,3,
BBOB_F22,,1024,10,18,5,
BBOB_F22,,1024,10,18,9,
BBOB_F22,,2048,20,18,9,
BBOB_F22,,1024,10,19,2,
BBOB_F22,,1024,10,19,4,
BBOB_F22,,1024,10,20,5,
BBOB_F22,,1024,10,20,6,
BBOB_F22,,1024,10,20,7,
BBOB_F22,,1024,10,20,9,
BBOB_F22,,1024,10,21,2,
BBOB_F22,,1024,10,22,6,
BBOB_F22,,1024,10,24,2,
BBOB_F22,,1024,10,24,4,
BBOB_F22,,1024,10,24,9,
BBOB_F22,,1024,10,25,4,
BBOB_F22,,1024,10,26,8,
BBOB_F22,,1024,10,26,9,
BBOB_F22,,1024,10,27,7,
BBOB_F22,,1024,10,27,8,
BBOB_F22,,1024,10,27,10,
BBOB_F22,,1024,10,28,1,
BBOB_F22,,1024,10,32,1,
BBOB_F22,,1024,10,33,3,
BBOB_F22,,1024,10,33,5,
BBOB_F22,,1024,10,33,10,
BBOB_F22,,1024,10,34,1,
BBOB_F22,,1024,10,34,2,
BBOB_F22,,1024,10,35,4,
BBOB_F22,,1024,10,36,1,
BBOB_F22,,1024,10,36,2,
BBOB_F22,,1024,10,36,7,
BBOB_F22,,1024,10,36,8,
BBOB_F22,,1024,10,37,5,
BBOB_F22,,1024,10,37,8,
BBOB_F22,,1024,10,39,1,
BBOB_F22,,1024,10,39,7,
BBOB_F22,,1024,10,39,8,
BBOB_F22,,1024,10,40,2,
BBOB_F22,,1024,10,40,5,
BBOB_F22,,1024,10,40,6,
BBOB_F22,,1024,10,40,10,
BBOB_F22,,1024,10,41,7,
BBOB_F22,,1024,10,42,8,
BBOB_F22,,1024,10,43,3,
BBOB_F22,,1024,10,44,9,
BBOB_F22,,1024,10,48,5,
BBOB_F22,,1024,10,48,6,
BBOB_F22,,1024,10,48,8,
BBOB_F22,,1024,10,48,9,
BBOB_F22,,1024,10,48,10,
BBOB_F22,,1024,10,50,4,
BBOB_F22,,1024,10,52,5,
BBOB_F22,,1024,10,53,1,
BBOB_F22,,1024,10,54,7,
BBOB_F22,,1024,10,56,6,
BBOB_F22,,1024,10,56,9,
BBOB_F22,,1024,10,58,1,
BBOB_F22,,1024,10,58,5,
BBOB_F22,,1024,10,59,5,
BBOB_F22,,1024,10,59,6,
BBOB_F22,,1024,10,61,1,
BBOB_F22,,1024,10,63,5,
BBOB_F22,,1024,10,64,1,
BBOB_F22,,1024,10,64,6,
BBOB_F22,,1024,10,64,7,
BBOB_F22,,1024,10,65,4,
BBOB_F22,,1024,10,65,10,
BBOB_F22,,1024,10,66,6,
BBOB_F22,,1024,10,66,7,
BBOB_F22,,1024,10,68,1,
BBOB_F22,,1024,10,68,7,
BBOB_F22,,1024,10,68,8,
BBOB_F22,,1024,10,68,10,
BBOB_F22,,1024,10,70,4,
BBOB_F22,,1024,10,70,5,
BBOB_F22,,1024,10,70,9,
BBOB_F22,,1024,10,72,8,
BBOB_F22,,1024,10,73,7,
BBOB_F22,,1024,10,74,8,
BBOB_F22,,1024,10,75,3,
BBOB_F22,,1024,10,76,8,
BBOB_F22,,1024,10,77,9,
BBOB_F22,,1024,10,78,10,
BBOB_F22,,1024,10,79,8,
BBOB_F22,,1024,10,79,9,
BBOB_F22,,1024,10,80,1,
BBOB_F22,,1024,10,80,8,
BBOB_F22,,1024,10,81,1,
BBOB_F22,,1024,10,81,5,
BBOB_F22,,1024,10,83,8,
BBOB_F22,,1024,10,84,4,
BBOB_F22,,1024,10,85,2,
BBOB_F22,,1024,10,85,3,
BBOB_F22,,1024,10,86,1,
BBOB_F22,,1024,10,86,2,
BBOB_F22,,1024,10,86,4,
BBOB_F22,,1024,10,87,1,
BBOB_F22,,1024,10,87,4,
BBOB_F22,,1024,10,88,10,
BBOB_F22,,1024,10,89,1,
BBOB_F22,,1024,10,89,3,
BBOB_F22,,1024,10,89,7,
BBOB_F22,,1024,10,89,8,
BBOB_F22,,1024,10,89,9,
BBOB_F22,,1024,10,90,9,
BBOB_F22,,1024,10,91,1,
BBOB_F22,,1024,10,91,3,
BBOB_F22,,1024,10,91,6,
BBOB_F22,,1024,10,91,8,
BBOB_F22,,2048,20,91,8,
BBOB_F22,,1024,10,92,8,
BBOB_F22,,1024,10,93,1,
BBOB_F22,,1024,10,93,3,
BBOB_F22,,1024,10,93,8,
BBOB_F22,,1024,10,93,10,
BBOB_F22,,1024,10,94,9,
BBOB_F22,,1024,10,95,3,
BBOB_F22,,1024,10,95,4,
BBOB_F22,,1024,10,95,9,
BBOB_F22,,1024,10,97,1,
BBOB_F22,,1024,10,97,9,
BBOB_F22,,1024,10,98,9,
BBOB_F22,,1024,10,99,6,
BBOB_F22,,1024,10,100,3,
BBOB_F22,,1024,10,101,2,
BBOB_F22,,1024,10,101,3,
BBOB_F22,,1024,10,101,5,
BBOB_F22,,1024,10,102,1,
BBOB_F22,,1024,10,103,1,
BBOB_F22,,1024,10,103,2,
BBOB_F22,,1024,10,103,5,
BBOB_F22,,1024,10,103,7,
BBOB_F22,,1024,10,104,8,
BBOB_F22,,1024,10,105,2,
BBOB_F22,,1024,10,105,6,
BBOB_F22,,1024,10,106,5,
BBOB_F22,,1024,10,107,4,
BBOB_F22,,1024,10,108,2,
BBOB_F22,,1024,10,108,9,
BBOB_F22,,1024,10,109,1,
BBOB_F22,,1024,10,109,3,
BBOB_F22,,1024,10,109,5,
BBOB_F22,,1024,10,110,2,
BBOB_F22,,1024,10,110,6,
BBOB_F22,,1024,10,110,7,
BBOB_F22,,1024,10,111,4,
BBOB_F22,,1024,10,111,9,
BBOB_F22,,1024,10,112,10,
BBOB_F22,,1024,10,113,8,
BBOB_F22,,1024,10,114,3,
BBOB_F22,,1024,10,114,5,
BBOB_F22,,1024,10,115,7,
BBOB_F22,,1024,10,115,8,
BBOB_F22,,1024,10,117,1,
BBOB_F22,,1024,10,117,3,
BBOB_F22,,1024,10,117,4,
BBOB_F22,,1024,10,117,7,
BBOB_F22,,1024,10,117,10,
BBOB_F22,,1024,10,119,3,
BBOB_F22,,1024,10,119,5,
BBOB_F22,,1024,10,119,10,
BBOB_F22,,1024,10,121,9,
BBOB_F22,,1024,10,122,3,
BBOB_F22,,1024,10,123,1,
BBOB_F22,,1024,10,123,9,
BBOB_F22,,1024,10,124,4,
BBOB_F22,,1024,10,124,7,
BBOB_F22,,1024,10,125,4,
BBOB_F22,,1024,10,126,10,
BBOB_F22,,1024,10,127,3,
BBOB_F22,,1024,10,128,9,
BBOB_F22,,1024,10,129,3,
BBOB_F22,,1024,10,129,6,
BBOB_F22,,1024,10,130,1,
BBOB_F22,,1024,10,130,3,
BBOB_F22,,1024,10,130,7,
BBOB_F22,,1024,10,130,9,
BBOB_F22,,1024,10,131,9,
BBOB_F22,,1024,10,132,3,
BBOB_F22,,1024,10,132,6,
BBOB_F22,,1024,10,132,8,
BBOB_F22,,1024,10,133,2,
BBOB_F22,,1024,10,133,8,
BBOB_F22,,1024,10,134,1,
BBOB_F22,,1024,10,134,7,
BBOB_F22,,1024,10,134,8,
BBOB_F22,,1024,10,134,10,
BBOB_F22,,1024,10,136,4,
BBOB_F22,,1024,10,136,6,
BBOB_F22,,1024,10,138,10,
BBOB_F22,,1024,10,139,3,
BBOB_F22,,1024,10,139,7,
BBOB_F22,,1024,10,140,1,
BBOB_F22,,1024,10,140,3,
BBOB_F22,,1024,10,140,5,
BBOB_F22,,1024,10,141,4,
BBOB_F22,,1024,10,141,7,
BBOB_F22,,1024,10,141,10,
BBOB_F22,,1024,10,142,10,
BBOB_F22,,1024,10,143,2,
BBOB_F22,,1024,10,143,8,
BBOB_F22,,1024,10,143,10,
BBOB_F22,,1024,10,144,2,
BBOB_F22,,1024,10,144,3,
BBOB_F22,,1024,10,144,7,
BBOB_F22,,1024,10,145,1,
BBOB_F22,,1024,10,145,2,
BBOB_F22,,2048,20,145,2,
BBOB_F22,,1024,10,145,3,
BBOB_F22,,1024,10,145,5,
BBOB_F22,,1024,10,145,6,
BBOB_F22,,1024,10,146,5,
BBOB_F22,,1024,10,146,7,
BBOB_F22,,1024,10,147,1,
BBOB_F22,,1024,10,147,4,
BBOB_F22,,1024,10,147,5,
BBOB_F22,,1024,10,147,8,
BBOB_F22,,1024,10,147,9,
BBOB_F22,,1024,10,148,3,
BBOB_F22,,1024,10,148,6,
BBOB_F22,,1024,10,148,8,
BBOB_F22,,1024,10,149,1,
BBOB_F22,,1024,10,149,2,
BBOB_F22,,1024,10,150,2,
BBOB_F22,,1024,10,150,7,
BBOB_F22,,1024,10,150,10,
BBOB_F22,,1024,10,151,3,
BBOB_F22,,1024,10,152,5,
BBOB_F22,,1024,10,152,6,
BBOB_F22,,1024,10,152,9,
BBOB_F22,,1024,10,153,1,
BBOB_F22,,1024,10,153,7,
BBOB_F22,,1024,10,154,9,
BBOB_F22,,1024,10,154,10,
BBOB_F22,,1024,10,155,1,
BBOB_F22,,1024,10,155,3,
BBOB_F22,,1024,10,155,6,
BBOB_F22,,1024,10,155,10,
BBOB_F22,,1024,10,156,3,
BBOB_F22,,1024,10,156,4,
BBOB_F22,,1024,10,156,8,
BBOB_F22,,1024,10,156,9,
BBOB_F22,,1024,10,157,1,
BBOB_F22,,1024,10,157,5,
BBOB_F22,,1024,10,158,5,
BBOB_F22,,1024,10,158,6,
BBOB_F22,,1024,10,158,8,
BBOB_F22,,1024,10,159,3,
BBOB_F22,,1024,10,159,4,
BBOB_F22,,1024,10,159,6,
BBOB_F22,,1024,10,162,2,
BBOB_F22,,1024,10,162,7,
BBOB_F22,,1024,10,162,9,
BBOB_F22,,1024,10,163,2,
BBOB_F22,,1024,10,163,7,
BBOB_F22,,1024,10,164,5,
BBOB_F22,,1024,10,164,8,
BBOB_F22,,1024,10,165,1,
BBOB_F22,,1024,10,165,6,
BBOB_F22,,1024,10,166,1,
BBOB_F22,,1024,10,167,6,
BBOB_F22,,1024,10,168,5,
BBOB_F22,,1024,10,169,1,
BBOB_F22,,1024,10,169,2,
BBOB_F22,,1024,10,170,1,
BBOB_F22,,1024,10,170,2,
BBOB_F22,,1024,10,170,6,
BBOB_F22,,1024,10,170,8,
BBOB_F22,,1024,10,171,4,
BBOB_F22,,1024,10,171,8,
BBOB_F22,,1024,10,171,9,
BBOB_F22,,1024,10,172,2,
BBOB_F22,,1024,10,172,10,
BBOB_F22,,1024,10,173,6,
BBOB_F22,,1024,10,173,8,
BBOB_F22,,1024,10,174,1,
BBOB_F22,,1024,10,174,2,
BBOB_F22,,1024,10,174,6,
BBOB_F22,,1024,10,174,8,
BBOB_F22,,1024,10,177,8,
BBOB_F22,,1024,10,178,2,
BBOB_F22,,1024,10,178,3,
BBOB_F22,,1024,10,178,9,
BBOB_F22,,1024,10,179,3,
BBOB_F22,,1024,10,179,4,
BBOB_F22,,1024,10,179,7,
BBOB_F22,,1024,10,179,9,
BBOB_F22,,1024,10,180,3,
BBOB_F22,,1024,10,180,10,
BBOB_F22,,1024,10,181,2,
BBOB_F22,,1024,10,182,1,
BBOB_F22,,1024,10,182,3,
BBOB_F22,,1024,10,182,6,
BBOB_F22,,1024,10,182,8,
BBOB_F22,,1024,10,183,2,
BBOB_F22,,1024,10,183,3,
BBOB_F22,,1024,10,183,9,
BBOB_F22,,1024,10,183,10,
BBOB_F22,,1024,10,184,3,
BBOB_F22,,1024,10,184,6,
BBOB_F22,,1024,10,184,7,
BBOB_F22,,1024,10,185,1,
BBOB_F22,,1024,10,185,7,
BBOB_F22,,1024,10,185,9,
BBOB_F22,,1024,10,186,1,
BBOB_F22,,1024,10,186,7,
BBOB_F22,,1024,10,186,8,
BBOB_F22,,1024,10,186,9,
BBOB_F22,,1024,10,186,10,
BBOB_F22,,1024,10,187,2,
BBOB_F22,,1024,10,187,3,
BBOB_F22,,1024,10,187,8,
BBOB_F22,,1024,10,188,1,
BBOB_F22,,1024,10,188,3,
BBOB_F22,,1024,10,188,9,
BBOB_F22,,1024,10,188,10,
BBOB_F22,,1024,10,189,1,
BBOB_F22,,1024,10,189,6,
BBOB_F22,,1024,10,190,1,
BBOB_F22,,1024,10,190,3,
BBOB_F22,,1024,10,190,6,
BBOB_F22,,1024,10,190,7,
BBOB_F22,,1024,10,191,5,
BBOB_F22,,1024,10,191,10,
BBOB_F22,,1024,10,192,3,
BBOB_F22,,1024,10,192,4,
BBOB_F22,,1024,10,193,1,
BBOB_F22,,1024,10,193,2,
BBOB_F22,,1024,10,193,4,
BBOB_F22,,1024,10,193,5,
BBOB_F22,,1024,10,193,8,
BBOB_F22,,1024,10,194,1,
BBOB_F22,,1024,10,194,3,
BBOB_F22,,1024,10,194,6,
BBOB_F22,,1024,10,194,8,
BBOB_F22,,1024,10,194,10,
BBOB_F22,,1024,10,195,3,
BBOB_F22,,1024,10,196,2,
BBOB_F22,,1024,10,196,3,
BBOB_F22,,1024,10,196,7,
BBOB_F22,,1024,10,197,9,
BBOB_F22,,1024,10,197,10,
BBOB_F22,,1024,10,198,1,
BBOB_F22,,1024,10,199,5,
BBOB_F22,,1024,10,200,3,
BBOB_F22,,1024,10,200,8,
BBOB_F22,,1024,10,201,2,
BBOB_F22,,1024,10,201,4,
BBOB_F22,,1024,10,201,7,
BBOB_F37,,1024,10,3,2,
BBOB_F37,,1024,10,5,8,
BBOB_F37,,1024,10,6,9,
BBOB_F37,,1024,10,7,2,
BBOB_F37,,1024,10,7,3,
BBOB_F37,,1024,10,7,6,
BBOB_F37,,1024,10,8,5,
BBOB_F37,,1024,10,10,2,
BBOB_F37,,1024,10,10,6,
BBOB_F37,,1024,10,12,9,
BBOB_F37,,1024,10,13,2,
BBOB_F37,,1024,10,14,2,
BBOB_F37,,1024,10,18,1,
BBOB_F37,,1024,10,18,5,
BBOB_F37,,1024,10,19,7,
BBOB_F37,,1024,10,22,3,
BBOB_F37,,1024,10,22,5,
BBOB_F37,,1024,10,28,9,
BBOB_F37,,1024,10,30,9,
BBOB_F37,,1024,10,30,10,
BBOB_F37,,1024,10,42,2,
BBOB_F37,,1024,10,46,5,
BBOB_F37,,1024,10,51,1,
BBOB_F37,,1024,10,52,2,
BBOB_F37,,1024,10,56,5,
BBOB_F37,,1024,10,114,4,
BBOB_F37,,1024,10,131,7,
BBOB_F37,,1024,10,168,10,
BBOB_F49,,1024,10,1,7,
BBOB_F49,,1024,10,1,9,
BBOB_F49,,1024,10,2,5,
BBOB_F49,,1024,10,2,6,
BBOB_F49,,1024,10,2,9,
BBOB_F49,,1024,10,3,2,
BBOB_F49,,1024,10,3,4,
BBOB_F49,,1024,10,4,2,
BBOB_F49,,1024,10,4,4,
BBOB_F49,,1024,10,5,4,
BBOB_F49,,1024,10,6,2,
BBOB_F49,,1024,10,6,10,
BBOB_F49,,1024,10,7,2,
BBOB_F49,,1024,10,7,7,
BBOB_F49,,1024,10,8,7,
BBOB_F49,,1024,10,8,8,
BBOB_F49,,1024,10,10,4,
BBOB_F49,,1024,10,11,5,
BBOB_F49,,1024,10,12,5,
BBOB_F49,,1024,10,12,6,
BBOB_F49,,1024,10,12,9,
BBOB_F49,,1024,10,12,10,
BBOB_F49,,1024,10,13,10,
BBOB_F49,,1024,10,15,6,
BBOB_F49,,1024,10,16,1,
BBOB_F49,,1024,10,16,6,
BBOB_F49,,1024,10,18,8,
BBOB_F49,,1024,10,18,10,
BBOB_F49,,1024,10,19,7,
BBOB_F49,,1024,10,20,2,
BBOB_F49,,1024,10,20,3,
BBOB_F49,,1024,10,20,9,
BBOB_F49,,1024,10,20,10,
BBOB_F49,,1024,10,21,8,
BBOB_F49,,1024,10,23,8,
BBOB_F49,,1024,10,24,7,
BBOB_F49,,1024,10,25,8,
BBOB_F49,,1024,10,27,5,
BBOB_F49,,1024,10,28,1,
BBOB_F49,,1024,10,28,4,
BBOB_F49,,1024,10,28,10,
BBOB_F49,,1024,10,29,7,
BBOB_F49,,1024,10,30,5,
BBOB_F49,,1024,10,31,6,
BBOB_F49,,1024,10,31,10,
BBOB_F49,,1024,10,32,7,
BBOB_F49,,1024,10,32,10,
BBOB_F49,,1024,10,33,6,
BBOB_F49,,1024,10,34,8,
BBOB_F49,,1024,10,35,1,
BBOB_F49,,1024,10,35,8,
BBOB_F49,,1024,10,36,3,
BBOB_F49,,1024,10,36,10,
BBOB_F49,,1024,10,37,9,
BBOB_F49,,1024,10,39,7,
BBOB_F49,,1024,10,40,1,
BBOB_F49,,1024,10,40,4,
BBOB_F49,,1024,10,40,6,
BBOB_F49,,1024,10,40,8,
BBOB_F49,,1024,10,41,8,
BBOB_F49,,1024,10,42,10,
BBOB_F49,,1024,10,43,6,
BBOB_F49,,1024,10,44,3,
BBOB_F49,,1024,10,44,7,
BBOB_F49,,2048,20,44,7,
BBOB_F49,,1024,10,46,8,
BBOB_F49,,1024,10,46,9,
BBOB_F49,,1024,10,47,4,
BBOB_F49,,1024,10,47,7,
BBOB_F49,,1024,10,48,10,
BBOB_F49,,1024,10,49,10,
BBOB_F49,,1024,10,51,1,
BBOB_F49,,1024,10,53,9,
BBOB_F49,,1024,10,54,3,
BBOB_F49,,1024,10,54,7,
BBOB_F49,,1024,10,55,10,
BBOB_F49,,1024,10,56,2,
BBOB_F49,,1024,10,56,9,
BBOB_F49,,1024,10,58,1,
BBOB_F49,,1024,10,58,3,
BBOB_F49,,1024,10,58,5,
BBOB_F49,,1024,10,58,10,
