problema,geracao,n,n_unicos,n_doe
WFG1,27,20,13,0
WFG1,28,20,13,0
WFG1,29,20,13,0
WFG1,30,20,13,0
WFG1,31,20,13,0
WFG2,1,20,20,20
WFG2,2,20,17,10
WFG2,3,20,16,5
WFG2,4,20,14,1
WFG2,5,20,13,0
WFG2,6,20,13,0
WFG2,7,20,13,0
WFG2,8,20,14,0
WFG2,9,20,13,0
WFG2,10,20,14,0
WFG2,11,20,14,0
WFG2,12,20,14,0
WFG2,13,20,15,0
WFG2,14,20,15,0
WFG2,15,20,15,0
WFG2,16,20,15,0
WFG2,17,20,14,0
WFG2,18,20,14,0
WFG2,19,20,15,0
WFG2,20,20,15,0
WFG2,21,20,15,0
WFG2,22,20,15,0
WFG2,23,20,15,0
WFG2,24,20,14,0
WFG2,25,20,15,0
WFG2,26,20,14,0
WFG2,27,20,15,0
WFG4,1,20,20,20
WFG4,2,20,17,9
WFG4,3,20,16,5
WFG4,4,20,15,3
WFG4,5,20,14,2
WFG4,6,20,14,2
WFG4,7,20,13,1
WFG4,8,20,14,1
WFG4,9,20,14,1
WFG4,10,20,14,0
WFG4,11,20,14,0
WFG4,12,20,14,0
WFG4,13,20,14,0
WFG4,14,20,14,0
WFG4,15,20,15,0
WFG4,16,20,15,0
WFG4,17,20,15,0
WFG4,18,20,15,0
WFG4,19,20,15,0
WFG4,20,20,15,0
WFG4,21,20,15,0
WFG4,22,20,15,0
WFG4,23,20,15,0
WFG4,24,20,15,0
WFG4,25,20,15,0
WFG4,26,20,16,0
WFG4,27,20,16,0
WFG5,1,20,20,20
WFG5,2,20,15,6
WFG5,3,20,16,5
WFG5,4,20,14,3
WFG5,5,20,15,1
WFG5,6,20,15,1
WFG5,7,20,15,1
WFG5,8,20,15,1
WFG5,9,20,15,1
WFG5,10,20,16,1
WFG5,11,20,16,0
WFG5,12,20,16,0
WFG5,13,20,16,0
WFG5,14,20,16,0
WFG5,15,20,16,0
WFG5,16,20,16,0
WFG5,17,20,16,0
WFG5,18,20,16,0
WFG5,19,20,16,0
WFG5,20,20,16,0
WFG5,21,20,16,0
WFG5,22,20,16,0
WFG5,23,20,16,0
WFG5,24,20,16,0
WFG5,25,20,17,0
WFG5,26,20,18,0
WFG9,1,20,20,20
WFG9,2,20,16,6
WFG9,3,20,16,3
WFG9,4,20,17,2
WFG9,5,20,16,1
WFG9,6,20,17,1
WFG9,7,20,17,1
WFG9,8,20,17,1
WFG9,9,20,18,0
WFG9,10,20,18,0
WFG9,11,20,17,0
WFG9,12,20,17,0
WFG9,13,20,16,0
WFG9,14,20,17,0
WFG9,15,20,17,0
WFG9,16,20,17,0
WFG9,17,20,18,0
WFG9,18,20,18,0
WFG9,19,20,18,0
WFG9,20,20,18,0
WFG9,21,20,19,0
WFG9,22,20,19,0
WFG9,23,20,19,0
WFG9,24,20,19,0
WFG9,25,20,19,0
ZDT1,1,20,20,20
ZDT1,2,20,15,4
ZDT1,3,20,15,4
ZDT1,4,20,14,3
ZDT1,5,20,14,1
ZDT1,6,20,13,0
ZDT1,7,20,13,0
ZDT1,8,20,13,0
ZDT1,9,20,13,0
ZDT1,10,20,13,0
ZDT1,11,20,13,0
ZDT1,12,20,13,0
ZDT1,13,20,13,0
ZDT1,14,20,13,0
ZDT1,15,20,13,0
ZDT1,16,20,14,0
ZDT1,17,20,14,0
ZDT1,18,20,14,0
ZDT1,19,20,14,0
ZDT1,20,20,14,0
ZDT1,21,20,14,0
ZDT1,22,20,14,0
ZDT1,23,20,14,0
ZDT1,24,20,14,0
ZDT1,25,20,13,0
ZDT1,26,20,14,0
ZDT1,27,20,14,0
ZDT1,28,20,14,0
ZDT1,29,20,14,0
ZDT1,30,20,14,0
ZDT1,31,20,14,0
ZDT1,32,20,14,0
ZDT1,33,20,14,0
ZDT1,34,20,14,0
ZDT1,35,20,14,0
ZDT1,36,20,14,0
ZDT1,37,20,14,0
ZDT1,38,20,14,0
ZDT3,1,20,20,20
ZDT3,2,20,14,6
ZDT3,3,20,14,4
ZDT3,4,20,13,2
ZDT3,5,20,13,2
ZDT3,6,20,13,1
ZDT3,7,20,13,1
ZDT3,8,20,14,1
ZDT3,9,20,14,1
ZDT3,10,20,13,0
ZDT3,11,20,13,0
ZDT3,12,20,13,0
ZDT3,13,20,11,0
ZDT3,14,20,13,0
ZDT3,15,20,13,0
ZDT3,16,20,15,0
ZDT3,17,20,15,0
ZDT3,18,20,15,0
ZDT3,19,20,15,0
ZDT3,20,20,15,0
ZDT3,21,20,14,0
ZDT3,22,20,14,0
ZDT3,23,20,14,0
ZDT3,24,20,14,0
ZDT3,25,20,14,0
ZDT3,26,20,14,0
ZDT3,27,20,14,0
ZDT3,28,20,14,0
ZDT3,29,20,14,0
ZDT3,30,20,14,0
ZDT3,31,20,14,0
ZDT3,32,20,14,0
ZDT3,33,20,15,0
ZDT3,34,20,15,0
ZDT3,35,20,15,0
ZDT3,36,20,15,0
ZDT3,37,20,15,0
ZDT3,38,20,16,0
ZDT4,1,20,20,20
ZDT4,2,20,16,8
ZDT4,3,20,15,4
ZDT4,4,20,12,1
ZDT4,5,20,12,1
ZDT4,6,20,11,0
ZDT4,7,20,11,0
ZDT4,8,20,11,0
ZDT4,9,20,11,0
ZDT4,10,20,11,0
ZDT4,11,20,11,0
ZDT4,12,20,11,0
ZDT4,13,20,11,0
ZDT4,14,20,11,0
ZDT6,1,20,20,20
ZDT6,2,20,14,4
ZDT6,3,20,13,2
ZDT6,4,20,11,0
ZDT6,5,20,11,0
ZDT6,6,20,11,0
ZDT6,7,20,11,0
ZDT6,8,20,11,0
ZDT6,9,20,11,0
ZDT6,10,20,11,0
ZDT6,11,20,12,0
ZDT6,12,20,12,0
ZDT6,13,20,12,0
ZDT6,14,20,14,0
