g,nf,nf_calc,eim,vmax,vinf,relmax,relinf,gap_argmax,argmax0,med,medrec,relmed
35,5,5,0.00016771123486269127,0.00016771123719699525,0.00016771123719699525,1.3918590343609904e-08,1.3918590343609904e-08,0.0,True,0.00016759945450802173,0.00016759945089270782,2.1571156073512592e-08
36,5,5,0.00012143853272065605,0.00012143853448754218,0.00012143853448754218,1.4549633386958275e-08,1.4549633386958275e-08,0.0,True,0.00012137663592507197,0.00012137663502679678,7.400725747244125e-09
37,5,5,0.00014523201261657474,0.00014523201567038512,0.00014523201567038512,2.1027116015139534e-08,2.1027116015139534e-08,0.0,True,0.0001451803557362984,0.00014518035746553245,1.1910936728254279e-08
38,5,5,0.00013320677650302927,0.00013320677595948257,0.00013320677595948257,4.080473392410895e-09,4.080473392410895e-09,0.0,True,0.00013267249297659023,0.0001326724906160238,1.7792433304809277e-08
39,5,5,0.00013147588748568497,0.00013147589082098627,0.00013147589082098627,2.5368159624824786e-08,2.5368159624824786e-08,0.0,True,0.00013144053918636784,0.00013144054161235227,1.8456896215442775e-08
40,5,5,0.00017682822720489945,0.00017682823205246385,0.00017682823205246385,2.7413973910166126e-08,2.7413973910166126e-08,0.0,True,0.00017680123614632648,0.0001768012377557815,9.1031886905766e-09
41,5,5,0.00020159863966935523,0.00020159864202871786,0.00020159864202871786,1.1703266588311294e-08,1.1703266588311294e-08,0.0,True,0.00020155082636091342,0.00020155082775108279,6.897363711021251e-09
42,5,5,0.0001877874080672004,0.0001877874025651452,0.0001877874025651452,2.9299383000655285e-08,2.9299383000655285e-08,0.0,True,0.00018778725476737768,0.0001877872541471569,3.302784222139864e-09
43,5,5,0.00013508955572654366,0.00013508955967640848,0.00013508955967640848,2.923886159007213e-08,2.923886159007213e-08,0.0,True,0.0001350535757474727,0.00013505357708799945,9.92588856469946e-09
44,5,5,0.00015052910673466835,0.0001505291066750529,0.0001505291066750529,3.9603937111240623e-10,3.9603937111240623e-10,0.0,True,0.0001505283578345351,0.00015052835664819492,7.881173995366234e-09
45,5,5,0.0001121395680002087,0.00011213956738535752,0.00011213956738535752,5.482910135592191e-09,5.482910135592191e-09,0.0,True,0.00011211639115001762,0.00011211639048777911,5.906705557333299e-09
46,5,5,0.0001837058698110766,0.0001837058717988905,0.0001837058717988905,1.0820633624824478e-08,1.0820633624824478e-08,0.0,True,0.00018351869004126745,0.00018351869026282783,1.2072905098245602e-09
47,5,5,0.00017588482145314204,0.00017588481498792498,0.00017588481498792498,3.675824330548012e-08,3.675824330548012e-08,0.0,True,0.0001758591281802114,0.00017585912916710808,5.6118592511364956e-09
48,5,5,0.0001647520868253221,0.0001647520899397468,0.0001647520899397468,1.8903704145063766e-08,1.8903704145063766e-08,0.0,True,0.00016475145897423138,0.00016475145787374837,6.679655690432722e-09
49,5,5,0.00014542878691651656,0.00014542878677927724,0.00014542878677927724,9.436874004801193e-10,9.436874004801193e-10,0.0,True,0.00014539435480298766,0.00014539435591885008,7.674729970487854e-09
50,5,5,0.00014469941748570755,0.00014469941614244692,0.00014469941614244692,9.28311011729014e-09,9.28311011729014e-09,0.0,True,0.0001446888532112989,0.00014468885393093087,4.973651822457121e-09
51,5,5,0.00012766251497912273,0.00012766251408171303,0.00012766251408171303,7.029547370378729e-09,7.029547370378729e-09,0.0,True,0.0001276105118416319,0.0001276105121979898,2.7925434586008973e-09
52,5,5,0.00011404561573420739,0.0001140456161038671,0.0001140456161038671,3.2413320241298013e-09,3.2413320241298013e-09,0.0,True,0.00011374036291995432,0.00011374036388861735,8.516440394993717e-09
53,5,5,0.00017796121373839113,0.00017796121112058735,0.00017796121112058735,1.4709968157301869e-08,1.4709968157301869e-08,0.0,True,0.0001778045640650045,0.00017780456011012586,2.2242841417198357e-08
54,5,5,0.00012770638043629933,0.00012770637632629676,0.00012770637632629676,3.218322023683946e-08,3.218322023683946e-08,0.0,True,0.00012762519858506172,0.00012762519942982283,6.61907768838851e-09
55,5,5,0.0001382681838920257,0.00013826818750832626,0.00013826818750832626,2.615424938934334e-08,2.615424938934334e-08,0.0,True,0.0001379480430635675,0.00013794804295805003,7.649074282571943e-10
56,5,5,0.00010642404428072515,0.00010642404744577482,0.00010642404744577482,2.973998678369124e-08,2.973998678369124e-08,0.0,True,0.0001063790305104737,0.00010637902844376081,1.942782256923333e-08
57,5,5,0.00010441101590289772,0.00010441101805593058,0.00010441101805593058,2.0620744341622054e-08,2.0620744341622054e-08,0.0,True,0.00010432767601500857,0.00010432767635236449,3.2336186150144583e-09
58,5,5,0.00010728631634426247,0.00010728631543979545,0.00010728631543979545,8.430404330444895e-09,8.430404330444895e-09,0.0,True,0.00010728590917664941,0.00010728590778399567,1.2980770499478187e-08
59,5,5,9.081147236789574e-05,9.081147391795247e-05,9.081147391795247e-05,1.7068952710248892e-08,1.7068952710248892e-08,0.0,True,9.038312821107731e-05,9.038312784336407e-05,4.068383636466751e-09
60,6,6,0.00013110306593066743,0.00013110306936236032,0.00013110306936236032,2.6175535001013594e-08,2.6175535001013594e-08,0.0,True,0.00013109997276939019,0.0001310999723183321,3.440565806137598e-09
61,6,6,8.834177105743508e-05,8.834176815139025e-05,8.834176815139025e-05,3.289547849727571e-08,3.289547849727571e-08,0.0,True,8.824691062112155e-05,8.824690787561515e-05,3.111164425791866e-08
62,6,6,0.00011249002060076703,0.00011249002032685546,0.00011249002032685546,2.4349854454317477e-09,2.4349854454317477e-09,0.0,True,0.00011248243648710414,0.00011248243839323835,1.6946060561735562e-08
63,6,6,0.10272192283492787,0.10272192441679903,0.10272192441679903,1.5399547810058497e-08,1.5399547810058497e-08,0.0,True,0.1027216832915637,0.1027216817065093,1.5430572854351686e-08
64,5,5,0.00012137651510921003,0.00012137651250912712,0.00012137651250912712,2.142163092302994e-08,2.142163092302994e-08,0.0,True,0.00012117802757547472,0.0001211780259845843,1.312853886691199e-08
65,5,5,0.000115211546418111,0.00011521154439292377,0.00011521154439292377,1.75779884149209e-08,1.75779884149209e-08,0.0,True,0.00011517460891927993,0.00011517460847889529,3.823626109266739e-09
66,5,5,0.00014860613082935808,0.00014860612956394252,0.00014860612956394252,8.515231194717404e-09,8.515231194717404e-09,0.0,True,0.00014849033797178704,0.00014849033824351713,1.8299513433150862e-09
67,5,5,9.919015791810874e-05,9.919015795004389e-05,9.919015795004389e-05,3.219588370034841e-10,3.219588370034841e-10,0.0,True,9.914717050168856e-05,9.91471705263804e-05,2.490422771071368e-10
68,5,5,9.76814470582864e-05,9.768145003685456e-05,9.768145003685456e-05,3.049267027459112e-08,3.049267027459112e-08,0.0,True,9.713155138836317e-05,9.71315497242503e-05,1.713256790617061e-08
69,5,5,0.00011979372386776896,0.00011979372714178144,0.00011979372714178144,2.733041741164535e-08,2.733041741164535e-08,0.0,True,0.00011944363877470483,0.00011944363834600008,3.5891802433116602e-09
70,5,5,0.00011266363892171868,0.00011266364418517228,0.00011266364418517228,4.671829926860511e-08,4.671829926860511e-08,0.0,True,0.00011252555692510798,0.00011252555303251506,3.4592968634142857e-08
71,5,5,0.0001446188039819276,0.00014461879881904276,0.00014461879881904276,3.569995538134889e-08,3.569995538134889e-08,0.0,True,0.0001445966944202067,0.00014459669513664696,4.954748466417464e-09
72,5,5,0.00012741274366059283,0.00012741274308974304,0.00012741274308974304,4.480319429970289e-09,4.480319429970289e-09,0.0,True,0.00012711055895154504,0.0001271105557917693,2.4858484217997083e-08
73,5,5,0.0001220553546469273,0.00012205535585442459,0.00012205535585442459,9.89303004909378e-09,9.89303004909378e-09,0.0,True,0.00012125106833210126,0.00012125106721860054,9.183430236229394e-09
74,5,5,0.00014052005992258774,0.0001405200621347839,0.0001405200621347839,1.574292073603716e-08,1.574292073603716e-08,0.0,True,0.00013995782368937947,0.00013995782257978192,7.928085246963112e-09
75,6,6,0.00016439672603263918,0.0001643967321237441,0.0001643967321237441,3.7051254379382696e-08,3.7051254379382696e-08,0.0,True,0.00016439544554826212,0.00016439544545546718,5.644617417902568e-10
76,6,6,0.00016994470631457147,0.00016994470208376856,0.00016994470208376856,2.4895173267622225e-08,2.4895173267622225e-08,0.0,True,0.00016984928274608763,0.00016984928470189565,1.1514961769257743e-08
77,6,6,0.00013418982181112043,0.0001341898232437057,0.0001341898232437057,1.0675811767002308e-08,1.0675811767002308e-08,0.0,True,0.0001341867361207622,0.00013418673612667828,4.408844607304307e-11
78,6,6,0.0001009698483492984,0.00010096985152127956,0.00010096985152127956,3.141513236777413e-08,3.141513236777413e-08,0.0,True,9.990699204987999e-05,9.990699241819084e-05,3.686537264843512e-09
79,6,6,0.00012556444175946746,0.0001255644398492633,0.0001255644398492633,1.521293883687989e-08,1.521293883687989e-08,0.0,True,0.00012542801356974826,0.00012542801148053795,1.665664862660299e-08
80,6,6,0.00013932688260662982,0.00013932688596760475,0.00013932688596760475,2.4122946513025208e-08,2.4122946513025208e-08,0.0,True,0.00013932626671673702,0.00013932626509952355,1.160738407212205e-08
81,6,6,0.0001101024271372058,0.00011010242927080786,0.00011010242927080786,1.9378338158150916e-08,1.9378338158150916e-08,0.0,True,0.00011010121806315652,0.00011010121819674315,1.2133075269195577e-09
82,6,6,0.0001110886978983321,0.00011108869695086672,0.00011108869695086672,8.528908919063422e-09,8.528908919063422e-09,0.0,True,0.00011093949726416945,0.00011093949643004635,7.518720756177772e-09
83,6,6,0.00011097515388315176,0.00011097515388613948,0.00011097515388613948,2.692244407551792e-11,2.692244407551792e-11,0.0,True,0.00011097280081247678,0.00011097279939521831,1.2771223903227552e-08
84,6,6,9.511581177262191e-05,9.511581345042258e-05,9.511581345042258e-05,1.7639555770419825e-08,1.7639555770419825e-08,0.0,True,9.506790714251822e-05,9.506790653390762e-05,6.401851301259757e-09
85,6,6,0.00014435516324839108,0.00014435516033562784,0.00014435516033562784,2.0177755838623798e-08,2.0177755838623798e-08,0.0,True,0.00014425000090908917,0.00014425000190932042,6.9340120838013e-09
86,6,6,0.00012504784687857016,0.00012504784761388266,0.00012504784761388266,5.880249186712544e-09,5.880249186712544e-09,0.0,True,0.00012497147214918247,0.00012497147136345966,6.287217367338841e-09
87,6,6,0.00012168632705008425,0.0001216863269909124,0.0001216863269909124,4.862654077979003e-10,4.862654077979003e-10,0.0,True,0.00012162629588919856,0.00012162629690275393,8.333357135762795e-09
88,7,7,0.000128621176659094,0.00012862117896730884,0.00012862117896730884,1.794583834683092e-08,1.794583834683092e-08,0.0,True,0.00012858562865735498,0.0001285856295495295,6.938368781821842e-09
89,7,7,9.191853533626883e-05,9.191853601595113e-05,9.191853601595113e-05,7.3943987552843875e-09,7.3943987552843875e-09,0.0,True,9.134928341999712e-05,9.134928252799093e-05,9.764785855260907e-09
90,7,7,0.00010485776457730509,0.00010485776782967437,0.00010485776782967437,3.101696182041796e-08,3.101696182041796e-08,0.0,True,0.00010474931181311754,0.00010474931126519611,5.230787957003134e-09
91,7,7,0.00013318875612759517,0.00013318875725046753,0.00013318875725046753,8.430684314565726e-09,8.430684314565726e-09,0.0,True,0.0001331844275112263,0.000133184428107991,4.480739416111759e-09
92,7,7,9.72370640711617e-05,9.723706359920695e-05,9.723706359920695e-05,4.853650767629531e-09,4.853650767629531e-09,0.0,True,9.707947149614765e-05,9.70794696669444e-05,1.8842328438340708e-08
93,7,7,0.00012437290067737514,0.00012437289655938344,0.00012437289655938344,3.3110039874011535e-08,3.3110039874011535e-08,0.0,True,0.00012418652214787703,0.00012418652358131275,1.1542602897234974e-08
94,7,7,0.08006923444488151,0.08006923570085367,0.08006923503633749,1.5686076784872584e-08,7.38680699914365e-09,8.299269655545954e-09,False,0.08006923481590744,0.08006923236655505,3.059043174494246e-08
95,8,8,0.0001169438012285271,0.00011694380391279546,0.00011694380391279546,2.295348991444503e-08,2.295348991444503e-08,0.0,True,0.00011687713840091105,0.0001168771382413132,1.3655181454259055e-09
96,8,8,9.713269382998208e-05,9.713269117725748e-05,9.713269117725748e-05,2.731031636212353e-08,2.731031636212353e-08,0.0,True,9.71320759809274e-05,9.713207564792582e-05,3.4283379819214817e-09
97,8,8,0.00014183704206338122,0.00014183704493018126,0.00014183704493018126,2.0211927647752488e-08,2.0211927647752488e-08,0.0,True,0.00014182451496827907,0.0001418245167126717,1.2299655061970424e-08
98,8,8,0.00012753934474026953,0.00012753934772279178,0.00012753934772279178,2.338511498934025e-08,2.338511498934025e-08,0.0,True,0.00012752755221895475,0.00012752755310009838,6.9094372682148004e-09
99,8,8,0.00011421201682699833,0.0001142120160035867,0.0001142120160035867,7.20950077875776e-09,7.20950077875776e-09,0.0,True,0.00011415335552347518,0.00011415335487341961,5.694581395495618e-09
100,8,8,0.00012999138882680895,0.00012999139183067114,0.00012999139183067114,2.3108162889186875e-08,2.3108162889186875e-08,0.0,True,0.00012997994063022547,0.00012997994262844956,1.537332649597241e-08
101,8,8,0.29529693701498055,0.2952969381714336,0.2952969381714336,3.916237859178296e-09,3.916237859178296e-09,0.0,True,0.2952969083691112,0.295296916176638,2.6439581194533848e-08
102,8,8,0.00011441911379929943,0.00011441911178860656,0.00011441911178860656,1.7573050528068398e-08,1.7573050528068398e-08,0.0,True,0.0001140603201567712,0.00011406031745459037,2.36908058154539e-08
103,8,8,0.00013497465424133594,0.00013497465214597112,0.00013497465214597112,1.5524135458465285e-08,1.5524135458465285e-08,0.0,True,0.00013495197859937088,0.00013495197677768767,1.3498751598611653e-08
104,8,8,9.690291189435023e-05,9.690291044519038e-05,9.690291044519038e-05,1.4954760682162117e-08,1.4954760682162117e-08,0.0,True,9.659489385585441e-05,9.659489318502578e-05,6.9447628637823585e-09
105,8,8,0.0001173837233773902,0.00011738372467157753,0.00011738372467157753,1.1025270752491143e-08,1.1025270752491143e-08,0.0,True,0.00011700095261236557,0.00011700095310825006,4.238294435681155e-09
106,8,8,9.209235904124687e-05,9.209235504276886e-05,9.209235504276886e-05,4.341812990501466e-08,4.341812990501466e-08,0.0,True,9.206325450759995e-05,9.206325613853535e-05,1.7715378235544674e-08
107,8,8,9.080204171805473e-05,9.080204424059344e-05,9.080204424059344e-05,2.778063865419891e-08,2.778063865419891e-08,0.0,True,9.071163135760153e-05,9.07116308737768e-05,5.333657072640553e-09
108,8,8,0.00017007230448780612,0.00017007230677674909,0.00017007230677674909,1.3458646120221685e-08,1.3458646120221685e-08,0.0,True,0.0001700641551001402,0.0001700641561965245,6.446886396999698e-09
109,8,8,0.00014102466997536437,0.00014102466925980313,0.00014102466925980313,5.074014615251317e-09,5.074014615251317e-09,0.0,True,0.0001410235996964595,0.00014102359887153677,5.849536798355932e-09
110,8,8,0.0001291303756893534,0.0001291303771234787,0.0001291303771234787,1.1106025765145683e-08,1.1106025765145683e-08,0.0,True,0.00012887720408626962,0.0001288772057011638,1.2530487167037907e-08
111,8,8,0.00011404726339687507,0.00011404726031803765,0.00011404726031803765,2.699615345446846e-08,2.699615345446846e-08,0.0,True,0.00011403794293330361,0.00011403794430291878,1.2010170625776488e-08
112,8,8,0.00012543431572793734,0.0001254343113167894,0.0001254343113167894,3.516699483606989e-08,3.516699483606989e-08,0.0,True,0.0001246558355083396,0.0001246558366937826,9.509727351959734e-09
113,8,8,9.798786179242634e-05,9.7987859776313e-05,9.7987859776313e-05,2.057513349157566e-08,2.057513349157566e-08,0.0,True,9.792248870389033e-05,9.792248698581305e-05,1.7545278303549237e-08
114,8,8,0.00010861071653259109,0.00010861071416609226,0.00010861071416609226,2.178881517946734e-08,2.178881517946734e-08,0.0,True,0.00010858827901833446,0.00010858827623278758,2.5652372263582002e-08
115,8,8,0.00011177779429105663,0.00011177779369352457,0.00011177779369352457,5.3457134712056435e-09,5.3457134712056435e-09,0.0,True,0.00011174819411341217,0.00011174819544801787,1.1942973151664422e-08
116,8,8,8.962213766909702e-05,8.962213663308172e-05,8.962213663308172e-05,1.1559814592300185e-08,1.1559814592300185e-08,0.0,True,8.947699194606944e-05,8.947699387239658e-05,2.1528742265749464e-08
117,8,8,0.00011968897729873769,0.00011968897532083188,0.00011968897532083188,1.6525379805799548e-08,1.6525379805799548e-08,0.0,True,0.00011951145213524514,0.00011951145149215702,5.380974908995748e-09
118,8,8,9.84164163044332e-05,9.841641562786489e-05,9.841641562786489e-05,6.874547330757559e-09,6.874547330757559e-09,0.0,True,9.803576012537687e-05,9.80357623593937e-05,2.2787774358000893e-08
119,8,8,0.0001517771745135077,0.00015177716953268143,0.00015177716953268143,3.281670176784795e-08,3.281670176784795e-08,0.0,True,0.00015177213325657835,0.00015177213276056323,3.2681567578671525e-09
120,8,8,0.00011123177422056397,0.00011123177255142215,0.00011123177255142215,1.5005980377305287e-08,1.5005980377305287e-08,0.0,True,0.00011120143549729755,0.00011120143641629615,8.264269156884973e-09
121,8,8,7.788858336561726e-05,7.788858337593366e-05,7.788858337593366e-05,1.3245074009380547e-10,1.3245074009380547e-10,0.0,True,7.77113579733083e-05,7.771135876476513e-05,1.0184570670082123e-08
122,8,8,8.44373071311511e-05,8.443730734340056e-05,8.443730734340056e-05,2.5136929270281012e-09,2.5136929270281012e-09,0.0,True,8.431495069158225e-05,8.431494974425448e-05,1.1235584873441003e-08
123,8,8,9.588715566047999e-05,9.58871514645753e-05,9.58871514645753e-05,4.37587773096598e-08,4.37587773096598e-08,0.0,True,9.575282459673871e-05,9.575282349436047e-05,1.1512749169359822e-08
124,8,8,0.00011297993758121724,0.00011297993483207308,0.00011297993483207308,2.4333029556667104e-08,2.4333029556667104e-08,0.0,True,0.00011289472938516049,0.00011289472737579098,1.7798612488465737e-08
125,8,8,0.0001043754957489499,0.00010437549888102758,0.00010437549888102758,3.000778740187844e-08,3.000778740187844e-08,0.0,True,0.00010434147599938128,0.00010434147683667015,8.024506604167666e-09
126,8,8,9.083477781517089e-05,9.083477975757324e-05,9.083477975757324e-05,2.1383905973311952e-08,2.1383905973311952e-08,0.0,True,9.019370863259388e-05,9.019370831549908e-05,3.5157087209622304e-09
127,8,8,8.626689287558014e-05,8.626689542724956e-05,8.626689542724956e-05,2.957877970175111e-08,2.957877970175111e-08,0.0,True,8.570732834528795e-05,8.570732749520053e-05,9.918491851526532e-09
128,8,8,9.852184608000327e-05,9.852184892338852e-05,9.852184892338852e-05,2.8860454433270095e-08,2.8860454433270095e-08,0.0,True,9.817205425812707e-05,9.817205398440421e-05,2.788195279835422e-09
129,8,8,9.415444207316436e-05,9.415444246430946e-05,9.415444246430946e-05,4.1542925472767205e-09,4.1542925472767205e-09,0.0,True,9.412232196901282e-05,9.41223220574648e-05,9.397555862774447e-10
130,8,8,8.628067533849526e-05,8.628067284411191e-05,8.628067284411191e-05,2.8910104593324453e-08,2.8910104593324453e-08,0.0,True,8.627786846077603e-05,8.627786888951855e-05,4.969322067782277e-09
131,8,8,8.308171393072785e-05,8.308171304904039e-05,8.308171304904039e-05,1.0612292671994186e-08,1.0612292671994186e-08,0.0,True,8.30013730946602e-05,8.300137431076085e-05,1.4651572487231617e-08
132,8,8,7.905151850035959e-05,7.90515176463738e-05,7.90515176463738e-05,1.0802901739386151e-08,1.0802901739386151e-08,0.0,True,7.904286049682571e-05,7.904286315322243e-05,3.3607040745074166e-08
133,8,8,0.00011224266405518119,0.00011224266465558219,0.00011224266465558219,5.349133506861984e-09,5.349133506861984e-09,0.0,True,0.00011223060242647601,0.0001122306034601813,9.210547286114265e-09
134,9,9,0.00011049183346983218,0.00011049183216104727,0.00011049183216104727,1.1845082728274138e-08,1.1845082728274138e-08,0.0,True,0.00011049124618170346,0.00011049124664959221,4.234622766657446e-09
135,9,9,7.034046152862388e-05,7.034046302901673e-05,7.034046302901673e-05,2.1330438016147165e-08,2.1330438016147165e-08,0.0,True,7.013959038288878e-05,7.01395913195328e-05,1.3353998804636842e-08
136,9,9,0.0001154459341757181,0.00011544593308702803,0.00011544593308702803,9.430302353403867e-09,9.430302353403867e-09,0.0,True,0.00011499659529063083,0.00011499659548983066,1.7322237004799066e-09
137,9,9,0.00013648141364793872,0.0001364814148052532,0.0001364814148052532,8.479648969717463e-09,8.479648969717463e-09,0.0,True,0.00013648010115495547,0.00013648009871296458,1.7892651853364804e-08
138,9,9,9.156651465995407e-05,9.156651373238499e-05,9.156651373238499e-05,1.0130003170584731e-08,1.0130003170584731e-08,0.0,True,9.14927219304696e-05,9.149272181487242e-05,1.2634576013421266e-09
139,9,9,8.405956099058821e-05,8.405956225816425e-05,8.405956225816425e-05,1.5079498657183273e-08,1.5079498657183273e-08,0.0,True,8.402750767367232e-05,8.402750861328589e-05,1.1182213808079832e-08
140,9,9,9.89851293074412e-05,9.898513152482342e-05,9.898513152482342e-05,2.2401165154304134e-08,2.2401165154304134e-08,0.0,True,9.89354010285816e-05,9.893540314235506e-05,2.136518769163097e-08
141,9,9,9.588704866154207e-05,9.588704802193448e-05,9.588704802193448e-05,6.670427318661679e-09,6.670427318661679e-09,0.0,True,9.539782964799228e-05,9.53978283811909e-05,1.3279142824083882e-08
142,9,9,0.00010331201749764609,0.00010331202059798185,0.00010331202059798185,3.000943967593076e-08,3.000943967593076e-08,0.0,True,0.00010323136835062702,0.00010323136835671,5.892573302279889e-11
