problema,rec,name,it,n_nonfinite,nota,fe,maxfe,x_key,solution_id
BBOB_F22,guard,nan_guard_ics,189.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F22,guard,nan_guard_ics,195.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F22,guard,hard_stop,,,,309.0,309.0,0000000000001440,
BBOB_F37,guard,hard_stop,,,,309.0,309.0,dbaaf5eb5d1004c0,
BBOB_F49,guard,nan_guard_argmax,7.0,1.0,,,,,
BBOB_F49,guard,nan_guard_argmax,9.0,1.0,,,,,
BBOB_F49,guard,nan_guard_argmax,52.0,1.0,,,,,
BBOB_F49,guard,nan_guard_argmax,115.0,1.0,,,,,
BBOB_F49,guard,nan_guard_argmax,118.0,1.0,,,,,
BBOB_F49,guard,nan_guard_argmax,162.0,1.0,,,,,
BBOB_F49,guard,nan_guard_argmax,173.0,1.0,,,,,
BBOB_F49,guard,nan_guard_argmax,181.0,1.0,,,,,
BBOB_F49,guard,nan_guard_ics,182.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F49,guard,hard_stop,,,,309.0,309.0,30545eaf8ac3e63f,
BBOB_F5,guard,nan_guard_ics,53.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F5,guard,nan_guard_ics,66.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F5,guard,nan_guard_ics,92.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F5,guard,nan_guard_ics,109.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F5,guard,nan_guard_ics,120.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F5,guard,nan_guard_ics,128.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F5,guard,nan_guard_ics,139.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F5,guard,nan_guard_ics,149.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F5,guard,nan_guard_ics,165.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F5,guard,nan_guard_ics,170.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F5,guard,nan_guard_ics,171.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F5,guard,nan_guard_ics,183.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F5,guard,nan_guard_ics,188.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F5,guard,nan_guard_ics,191.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F5,guard,nan_guard_ics,193.0,2.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F5,guard,nan_guard_ics,198.0,1.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
BBOB_F5,guard,hard_stop,,,,309.0,309.0,acfa60d1cd1b0b40,
DTLZ1,guard,hard_stop,,,,216.0,216.0,0000000000000000,
MMF1,guard,hard_stop,,,,61.0,61.0,15715e1882c3f33f,
MMF11_L,guard,nan_guard_ics,12.0,2.0,acqf não-finita em raw samples — pontos rebaixados ao pior-finito na seleção de ICs (LB/logdet não-PSD),,,,
MMF11_L,guard,cache_hit,,,,57.0,,9a9999999999f13f,35.0
MMF11_L,guard,cache_hit,,,,59.0,,9a9999999999f13f,35.0
MMF11_L,guard,hard_stop,,,,61.0,61.0,74a5931e92a5df3f,
MMF4,guard,hard_stop,,,,61.0,61.0,4c7f90f2901dd23f,
ZDT4,guard,hard_stop,,,,309.0,309.0,0000000000000000,
