label,ts,name,geracao,n_lote,q,n_front,motivo,acao,valor,n_completado,n_pool_rank1mais
q10_ZDT4,2026-07-24T11:47:06.898+00:00,lote_menor_que_q,20,9.0,10,9.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:47:06.903+00:00,lote_completado_por,20,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,1.0,991.0
q10_ZDT4,2026-07-24T11:47:08.635+00:00,lote_menor_que_q,21,9.0,10,9.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:47:08.640+00:00,lote_completado_por,21,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,1.0,991.0
q10_ZDT4,2026-07-24T11:47:12.435+00:00,lote_menor_que_q,23,9.0,10,9.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:47:12.440+00:00,lote_completado_por,23,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,1.0,991.0
q10_ZDT4,2026-07-24T11:47:24.680+00:00,lote_menor_que_q,29,9.0,10,9.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:47:24.686+00:00,lote_completado_por,29,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,1.0,991.0
q10_ZDT4,2026-07-24T11:47:38.834+00:00,lote_menor_que_q,35,9.0,10,9.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:47:38.840+00:00,lote_completado_por,35,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,1.0,991.0
q10_ZDT4,2026-07-24T11:48:00.274+00:00,lote_menor_que_q,43,6.0,10,6.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:48:00.280+00:00,lote_completado_por,43,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,4.0,994.0
q10_ZDT4,2026-07-24T11:48:36.239+00:00,lote_menor_que_q,54,9.0,10,9.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:48:36.245+00:00,lote_completado_por,54,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,1.0,991.0
q10_ZDT4,2026-07-24T11:48:39.650+00:00,lote_menor_que_q,55,7.0,10,7.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:48:39.656+00:00,lote_completado_por,55,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,3.0,993.0
q10_ZDT4,2026-07-24T11:48:42.879+00:00,lote_menor_que_q,56,8.0,10,8.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:48:42.884+00:00,lote_completado_por,56,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,2.0,992.0
q10_ZDT4,2026-07-24T11:48:46.513+00:00,lote_menor_que_q,57,8.0,10,8.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:48:46.520+00:00,lote_completado_por,57,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,2.0,992.0
q10_ZDT4,2026-07-24T11:49:03.490+00:00,lote_menor_que_q,61,8.0,10,8.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:49:03.496+00:00,lote_completado_por,61,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,2.0,992.0
q10_ZDT4,2026-07-24T11:49:21.522+00:00,lote_menor_que_q,65,9.0,10,9.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:49:21.528+00:00,lote_completado_por,65,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,1.0,991.0
q10_ZDT4,2026-07-24T11:49:37.444+00:00,lote_menor_que_q,68,7.0,10,7.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:49:37.449+00:00,lote_completado_por,68,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,3.0,993.0
q10_ZDT4,2026-07-24T11:49:48.871+00:00,lote_menor_que_q,70,9.0,10,9.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:49:48.878+00:00,lote_completado_por,70,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,1.0,991.0
q10_ZDT4,2026-07-24T11:50:59.287+00:00,lote_menor_que_q,81,6.0,10,6.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:50:59.294+00:00,lote_completado_por,81,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,4.0,994.0
q10_ZDT4,2026-07-24T11:51:27.399+00:00,lote_menor_que_q,85,9.0,10,9.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:51:27.409+00:00,lote_completado_por,85,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,1.0,991.0
q10_ZDT4,2026-07-24T11:53:28.118+00:00,lote_menor_que_q,101,9.0,10,9.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:53:28.124+00:00,lote_completado_por,101,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,1.0,991.0
q10_ZDT4,2026-07-24T11:54:57.234+00:00,lote_menor_que_q,112,9.0,10,9.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:54:57.240+00:00,lote_completado_por,112,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,1.0,991.0
q10_ZDT4,2026-07-24T11:55:06.267+00:00,lote_menor_que_q,113,8.0,10,8.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:55:06.273+00:00,lote_completado_por,113,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,2.0,992.0
q10_ZDT4,2026-07-24T11:57:32.616+00:00,lote_menor_que_q,128,6.0,10,6.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:57:32.623+00:00,lote_completado_por,128,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,4.0,994.0
q10_ZDT4,2026-07-24T11:58:29.627+00:00,lote_menor_que_q,133,9.0,10,9.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T11:58:29.634+00:00,lote_completado_por,133,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,1.0,991.0
q10_ZDT4,2026-07-24T12:01:34.149+00:00,lote_menor_que_q,147,6.0,10,6.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T12:01:34.156+00:00,lote_completado_por,147,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,4.0,994.0
q10_ZDT4,2026-07-24T12:04:41.655+00:00,lote_menor_que_q,159,9.0,10,9.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T12:04:41.663+00:00,lote_completado_por,159,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,1.0,991.0
q10_ZDT4,2026-07-24T12:06:14.133+00:00,lote_menor_que_q,164,6.0,10,6.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T12:06:14.139+00:00,lote_completado_por,164,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,4.0,994.0
q10_ZDT4,2026-07-24T12:09:10.008+00:00,lote_menor_que_q,173,8.0,10,8.0,|ND| < q: o argsort()[-q:] do select_candidates devolve lote menor SILENCIOSAMENTE (stock),fallback qmaximin (DI-25 #3): completar ate q sobre os rank-1+ da populacao,,,
q10_ZDT4,2026-07-24T12:09:10.014+00:00,lote_completado_por,173,,10,,DI-25 #3: maximin sobre rank-1+ maximizando dist-min aos ja-selecionados,,qmaximin,2.0,992.0
