label,geracao,n_front_acq,k,dist_dataset01,dist_selecionados01,dist_completados_prev01,dist_min_global01,marcado
q10_ZDT4,55,7,1,0.6035737127692267,1.2332716501770193,1.2892157184544522,0.6035737127692267,True
q10_ZDT4,55,7,2,0.6630807479801991,1.1103638377407241,1.408469780550907,0.6630807479801991,True
q10_ZDT4,56,8,0,0.465273864284708,1.322947388350789,,0.465273864284708,True
q10_ZDT4,56,8,1,0.6602161676934366,1.2435101071710255,1.5117548428758594,0.6602161676934366,True
q10_ZDT4,57,8,0,0.5386494409089367,1.2328656572142356,,0.5386494409089367,True
q10_ZDT4,57,8,1,0.4290436635666365,1.1277653601865747,1.1409207687159986,0.4290436635666365,True
q10_ZDT4,61,8,0,0.5277924139324242,1.2259885872529184,,0.5277924139324242,True
q10_ZDT4,61,8,1,0.5450775220393373,1.1194711656562264,1.2158084971061107,0.5450775220393373,True
q10_ZDT4,65,9,0,0.6469235479083048,1.0384207977739517,,0.6469235479083048,True
q10_ZDT4,68,7,0,0.6492147412303624,1.1633435347669001,,0.6492147412303624,True
q10_ZDT4,68,7,1,0.613674962649662,1.035825400480377,1.4439441825406678,0.613674962649662,True
q10_ZDT4,68,7,2,0.5787072256841754,0.9848074384596146,1.2890712243581308,0.5787072256841754,True
q10_ZDT4,70,9,0,0.547445516781445,1.2242578380429647,,0.547445516781445,True
q10_ZDT4,81,6,0,0.2739748598568711,1.171338197678457,,0.2739748598568711,True
q10_ZDT4,81,6,1,0.5702097525585426,1.1696355477548237,1.60923864773739,0.5702097525585426,True
q10_ZDT4,81,6,2,0.6346486848948449,1.1217433570309474,1.1940924985702401,0.6346486848948449,True
q10_ZDT4,81,6,3,0.43946481114648206,1.0965914182538887,1.4270636220642323,0.43946481114648206,True
q10_ZDT4,85,9,0,0.513859431538942,1.042963491719253,,0.513859431538942,True
q10_ZDT4,101,9,0,0.5267986243385956,1.1076142217823317,,0.5267986243385956,True
q10_ZDT4,112,9,0,0.419194594107655,1.0789004967692348,,0.419194594107655,True
q10_ZDT4,113,8,0,0.8062272115580814,1.2548630681037805,,0.8062272115580814,True
q10_ZDT4,113,8,1,0.5135352618610547,1.0961775606006867,1.2184042583662296,0.5135352618610547,True
q10_ZDT4,128,6,0,0.3865232762286467,1.3594610755002403,,0.3865232762286467,True
q10_ZDT4,128,6,1,0.4711564605492256,1.2476285703596062,1.5339936608952163,0.4711564605492256,True
q10_ZDT4,128,6,2,0.4883797441820502,1.2081653454890942,1.2095977100435948,0.4883797441820502,True
q10_ZDT4,128,6,3,0.6217494600036229,1.195296326291091,1.6044315526814552,0.6217494600036229,True
q10_ZDT4,133,9,0,0.3981334894495632,1.0834794297109478,,0.3981334894495632,True
q10_ZDT4,147,6,0,0.5344191772981542,1.1927529663281853,,0.5344191772981542,True
q10_ZDT4,147,6,1,0.21120291743015504,1.156191885945124,1.302227271444078,0.21120291743015504,True
q10_ZDT4,147,6,2,0.47185529233910717,1.0843571000801,1.1113812983107088,0.47185529233910717,True
q10_ZDT4,147,6,3,0.3745719444696249,1.0420825784652687,1.2436332271603634,0.3745719444696249,True
q10_ZDT4,159,9,0,0.504720036878206,1.1490458217760633,,0.504720036878206,True
q10_ZDT4,164,6,0,0.5084304573033113,1.222581472232077,,0.5084304573033113,True
q10_ZDT4,164,6,1,0.4299586380956247,1.1942927295024306,1.666647995061982,0.4299586380956247,True
q10_ZDT4,164,6,2,0.548090693918582,1.0904945599468714,1.1803802297363108,0.548090693918582,True
q10_ZDT4,164,6,3,0.39908367303024916,1.068304004956193,1.0927102787966363,0.39908367303024916,True
q10_ZDT4,173,8,0,0.4467992288125993,1.0617984625757249,,0.4467992288125993,True
q10_ZDT4,173,8,1,0.4721428457664725,1.0467611315742664,1.356499765763322,0.4721428457664725,True
