problema,suite,M,D,orcamento,grupo,grupo_nome,trilha,degrau,degrau_rotulo,fonte,detalhe
WFG5,WFG,2,22,681,D,maldição da dimensionalidade,única,22,D=22,cap. 4,orçamento 31D-1
WFG9,WFG,2,22,681,X,avaliação cross (nº de grupos acumulados),única,2,2,calc,"grupos: 2,3"
WFG9,WFG,2,22,681,D,maldição da dimensionalidade,única,22,D=22,cap. 4,orçamento 31D-1
MMF1,MMF,2,2,61,X,avaliação cross (nº de grupos acumulados),única,2,2,calc,"grupos: 1,6"
MMF1,MMF,2,2,61,D,maldição da dimensionalidade,única,2,D=2,cap. 4,orçamento 31D-1
MMF4,MMF,2,2,61,X,avaliação cross (nº de grupos acumulados),única,2,2,calc,"grupos: 1,6"
MMF4,MMF,2,2,61,D,maldição da dimensionalidade,única,2,D=2,cap. 4,orçamento 31D-1
MMF11_L,MMF,2,2,61,X,avaliação cross (nº de grupos acumulados),única,2,2,calc,"grupos: 1,3"
MMF11_L,MMF,2,2,61,D,maldição da dimensionalidade,única,2,D=2,cap. 4,orçamento 31D-1
MMF16_20,MMF,3,20,619,X,avaliação cross (nº de grupos acumulados),única,2,2,calc,"grupos: 1,3"
MMF16_20,MMF,3,20,619,D,maldição da dimensionalidade,única,20,D=20,cap. 4,orçamento 31D-1
F1,BBOB,2,10,309,X,avaliação cross (nº de grupos acumulados),única,2,2,calc,"grupos: 6,7"
F1,BBOB,2,10,309,D,maldição da dimensionalidade,única,10,D=10,cap. 4,orçamento 31D-1
F5,BBOB,2,10,309,X,avaliação cross (nº de grupos acumulados),única,2,2,calc,"grupos: 2,7"
F5,BBOB,2,10,309,D,maldição da dimensionalidade,única,10,D=10,cap. 4,orçamento 31D-1
F17,BBOB,2,10,309,X,avaliação cross (nº de grupos acumulados),única,3,3,calc,"grupos: 1,2,7"
F17,BBOB,2,10,309,D,maldição da dimensionalidade,única,10,D=10,cap. 4,orçamento 31D-1
F22,BBOB,2,10,309,X,avaliação cross (nº de grupos acumulados),única,3,3,calc,"grupos: 2,5,7"
F22,BBOB,2,10,309,D,maldição da dimensionalidade,única,10,D=10,cap. 4,orçamento 31D-1
F37,BBOB,2,10,309,X,avaliação cross (nº de grupos acumulados),única,3,3,calc,"grupos: 1,2,7"
F37,BBOB,2,10,309,D,maldição da dimensionalidade,única,10,D=10,cap. 4,orçamento 31D-1
F49,BBOB,2,10,309,X,avaliação cross (nº de grupos acumulados),única,4,4,calc,"grupos: 1,2,3,7"
F49,BBOB,2,10,309,D,maldição da dimensionalidade,única,10,D=10,cap. 4,orçamento 31D-1
F55,BBOB,2,10,309,X,avaliação cross (nº de grupos acumulados),única,4,4,calc,"grupos: 1,2,3,7"
F55,BBOB,2,10,309,D,maldição da dimensionalidade,única,10,D=10,cap. 4,orçamento 31D-1
RE21,reais,2,4,123,X,avaliação cross (nº de grupos acumulados),única,1,1,calc,grupos: 6
RE21,reais,2,4,123,D,maldição da dimensionalidade,única,4,D=4,cap. 4,orçamento 31D-1
DDMOP7,reais,2,17,526,X,avaliação cross (nº de grupos acumulados),única,1,1,calc,grupos: 4
DDMOP7,reais,2,17,526,D,maldição da dimensionalidade,única,17,D=17,cap. 4,orçamento 31D-1
ESTOQUE40,reais,3,40,1239,X,avaliação cross (nº de grupos acumulados),única,0,0,calc,grupos: 
ESTOQUE40,reais,3,40,1239,D,maldição da dimensionalidade,única,40,D=40,cap. 4,orçamento 31D-1
