exp,alg,problema,exit,detalhe
batch,sobol_batch,DTLZ2,0,✅ batch/sobol_batch/DTLZ2/s42: accept[T6-sobol_batch]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
batch,sobol_batch,MMF16_20,0,✅ batch/sobol_batch/MMF16_20/s42: accept[T6-sobol_batch]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
batch,sobol_batch,WFG9,0,✅ batch/sobol_batch/WFG9/s42: accept[T6-sobol_batch]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
batch,sobol_batch,ZDT1,0,✅ batch/sobol_batch/ZDT1/s42: accept[T6-sobol_batch]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
batch,sobol_batch,ZDT4,0,✅ batch/sobol_batch/ZDT4/s42: accept[T6-sobol_batch]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,BBOB_F1,0,✅ main/b1/BBOB_F1/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,BBOB_F17,0,✅ main/b1/BBOB_F17/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,BBOB_F22,0,✅ main/b1/BBOB_F22/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,BBOB_F37,0,✅ main/b1/BBOB_F37/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,BBOB_F49,0,✅ main/b1/BBOB_F49/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,BBOB_F5,0,✅ main/b1/BBOB_F5/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,BBOB_F55,0,✅ main/b1/BBOB_F55/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,DTLZ1,0,✅ main/b1/DTLZ1/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,DTLZ2,0,✅ main/b1/DTLZ2/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,DTLZ3,0,✅ main/b1/DTLZ3/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,DTLZ7,0,✅ main/b1/DTLZ7/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,MMF1,0,✅ main/b1/MMF1/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,MMF11_L,0,✅ main/b1/MMF11_L/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,MMF16_20,0,✅ main/b1/MMF16_20/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,MMF4,0,✅ main/b1/MMF4/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,WFG1,0,✅ main/b1/WFG1/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,WFG2,0,✅ main/b1/WFG2/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,WFG4,0,✅ main/b1/WFG4/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,WFG5,0,✅ main/b1/WFG5/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,WFG9,0,✅ main/b1/WFG9/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,ZDT1,0,✅ main/b1/ZDT1/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,ZDT3,0,✅ main/b1/ZDT3/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,ZDT4,0,✅ main/b1/ZDT4/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b1,ZDT6,0,✅ main/b1/ZDT6/s42: accept[R1-b1]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,BBOB_F1,0,✅ main/b3/BBOB_F1/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,BBOB_F17,0,✅ main/b3/BBOB_F17/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,BBOB_F22,0,✅ main/b3/BBOB_F22/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,BBOB_F37,0,✅ main/b3/BBOB_F37/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,BBOB_F49,0,✅ main/b3/BBOB_F49/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,BBOB_F5,0,✅ main/b3/BBOB_F5/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,BBOB_F55,0,✅ main/b3/BBOB_F55/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,DTLZ1,0,✅ main/b3/DTLZ1/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,DTLZ2,0,✅ main/b3/DTLZ2/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,DTLZ3,0,✅ main/b3/DTLZ3/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,DTLZ4,0,✅ main/b3/DTLZ4/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,DTLZ7,0,✅ main/b3/DTLZ7/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,MMF1,0,✅ main/b3/MMF1/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,MMF11_L,0,✅ main/b3/MMF11_L/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,MMF16_20,0,✅ main/b3/MMF16_20/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,MMF4,0,✅ main/b3/MMF4/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,WFG1,0,✅ main/b3/WFG1/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,WFG2,0,✅ main/b3/WFG2/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,WFG4,0,✅ main/b3/WFG4/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,WFG5,0,✅ main/b3/WFG5/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,WFG9,0,✅ main/b3/WFG9/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,ZDT1,0,✅ main/b3/ZDT1/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,ZDT3,0,✅ main/b3/ZDT3/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,ZDT4,0,✅ main/b3/ZDT4/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b3,ZDT6,0,✅ main/b3/ZDT6/s42: accept[R1-b3]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,BBOB_F1,0,✅ main/b4/BBOB_F1/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,BBOB_F17,0,✅ main/b4/BBOB_F17/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,BBOB_F22,0,✅ main/b4/BBOB_F22/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,BBOB_F37,0,✅ main/b4/BBOB_F37/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,BBOB_F49,0,✅ main/b4/BBOB_F49/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,BBOB_F5,0,✅ main/b4/BBOB_F5/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,BBOB_F55,0,✅ main/b4/BBOB_F55/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,DTLZ1,0,✅ main/b4/DTLZ1/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,DTLZ2,0,✅ main/b4/DTLZ2/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,DTLZ3,0,✅ main/b4/DTLZ3/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,DTLZ4,0,✅ main/b4/DTLZ4/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,DTLZ7,0,✅ main/b4/DTLZ7/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,MMF1,0,✅ main/b4/MMF1/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,MMF11_L,0,✅ main/b4/MMF11_L/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,MMF16_20,0,✅ main/b4/MMF16_20/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,MMF4,0,✅ main/b4/MMF4/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,WFG1,0,✅ main/b4/WFG1/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,WFG2,0,✅ main/b4/WFG2/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,WFG4,0,✅ main/b4/WFG4/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,WFG5,0,✅ main/b4/WFG5/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,WFG9,0,✅ main/b4/WFG9/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,ZDT1,0,✅ main/b4/ZDT1/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,ZDT3,0,✅ main/b4/ZDT3/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,ZDT4,0,✅ main/b4/ZDT4/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,b4,ZDT6,0,✅ main/b4/ZDT6/s42: accept[R1-b4]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,BBOB_F1,0,✅ main/c122/BBOB_F1/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,BBOB_F17,0,✅ main/c122/BBOB_F17/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,BBOB_F22,0,✅ main/c122/BBOB_F22/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,BBOB_F37,0,✅ main/c122/BBOB_F37/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,BBOB_F49,0,✅ main/c122/BBOB_F49/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,BBOB_F5,0,✅ main/c122/BBOB_F5/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,BBOB_F55,0,✅ main/c122/BBOB_F55/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,DTLZ1,0,✅ main/c122/DTLZ1/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,DTLZ2,0,✅ main/c122/DTLZ2/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,DTLZ3,0,✅ main/c122/DTLZ3/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,DTLZ4,0,✅ main/c122/DTLZ4/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,DTLZ7,0,✅ main/c122/DTLZ7/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,MMF1,0,✅ main/c122/MMF1/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,MMF11_L,0,✅ main/c122/MMF11_L/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,MMF16_20,0,✅ main/c122/MMF16_20/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,MMF4,0,✅ main/c122/MMF4/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,WFG1,0,✅ main/c122/WFG1/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,WFG2,0,✅ main/c122/WFG2/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,WFG4,0,✅ main/c122/WFG4/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,WFG5,0,✅ main/c122/WFG5/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,WFG9,0,✅ main/c122/WFG9/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,ZDT1,0,✅ main/c122/ZDT1/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,ZDT3,0,✅ main/c122/ZDT3/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,ZDT4,0,✅ main/c122/ZDT4/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c122,ZDT6,0,✅ main/c122/ZDT6/s42: accept[R3-c122]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,BBOB_F1,0,✅ main/c141/BBOB_F1/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,BBOB_F17,0,✅ main/c141/BBOB_F17/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,BBOB_F22,0,✅ main/c141/BBOB_F22/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,BBOB_F37,0,✅ main/c141/BBOB_F37/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,BBOB_F49,0,✅ main/c141/BBOB_F49/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,BBOB_F5,0,✅ main/c141/BBOB_F5/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,BBOB_F55,0,✅ main/c141/BBOB_F55/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,DTLZ1,0,✅ main/c141/DTLZ1/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,DTLZ2,0,✅ main/c141/DTLZ2/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,DTLZ3,0,✅ main/c141/DTLZ3/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,DTLZ4,0,✅ main/c141/DTLZ4/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,DTLZ7,0,✅ main/c141/DTLZ7/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,MMF1,0,✅ main/c141/MMF1/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,MMF11_L,0,✅ main/c141/MMF11_L/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,MMF16_20,0,✅ main/c141/MMF16_20/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,MMF4,0,✅ main/c141/MMF4/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,WFG1,0,✅ main/c141/WFG1/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,WFG2,0,✅ main/c141/WFG2/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,WFG4,0,✅ main/c141/WFG4/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,WFG5,0,✅ main/c141/WFG5/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,WFG9,0,✅ main/c141/WFG9/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,ZDT1,0,✅ main/c141/ZDT1/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,ZDT3,0,✅ main/c141/ZDT3/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,ZDT4,0,✅ main/c141/ZDT4/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c141,ZDT6,0,✅ main/c141/ZDT6/s42: accept[R1-c141]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c149,BBOB_F1,0,✅ main/c149/BBOB_F1/s42: accept[R3-c149]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c149,BBOB_F17,0,✅ main/c149/BBOB_F17/s42: accept[R3-c149]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c149,BBOB_F22,0,✅ main/c149/BBOB_F22/s42: accept[R3-c149]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c149,BBOB_F37,0,✅ main/c149/BBOB_F37/s42: accept[R3-c149]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c149,BBOB_F49,0,✅ main/c149/BBOB_F49/s42: accept[R3-c149]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c149,BBOB_F5,0,✅ main/c149/BBOB_F5/s42: accept[R3-c149]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c149,BBOB_F55,0,✅ main/c149/BBOB_F55/s42: accept[R3-c149]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c149,DTLZ1,0,✅ main/c149/DTLZ1/s42: accept[R3-c149]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c149,DTLZ2,0,✅ main/c149/DTLZ2/s42: accept[R3-c149]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c149,DTLZ3,0,✅ main/c149/DTLZ3/s42: accept[R3-c149]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
main,c149,DTLZ4,0,✅ main/c149/DTLZ4/s42: accept[R3-c149]=VERDE · auditar=VERDE |  | PORTÃO: 1 runs · 2 gates · 0 vermelho(s) → VERDE
