exp,alg,problema,camada,tipo,detalhe
sweep-small-mvns,b5r,DTLZ2,5,CHAVES,faltam ['params']
sweep-small-mvns,b5r,WFG9,5,CHAVES,faltam ['params']
sweep-small-mvns,b5r,ZDT1,5,CHAVES,faltam ['params']
sweep-medium-lhs,b5r,MMF16_20,5,CHAVES,faltam ['params']
sweep-medium-lhs,b5r,ZDT4,5,CHAVES,faltam ['params']
sweep-medium-lhs,b5r,DTLZ2,5,CHAVES,faltam ['params']
sweep-medium-lhs,b5r,WFG9,5,CHAVES,faltam ['params']
sweep-medium-lhs,b5r,ZDT1,5,CHAVES,faltam ['params']
sweep-medium-mvns,b5r,MMF16_20,5,CHAVES,faltam ['params']
sweep-medium-mvns,b5r,ZDT4,5,CHAVES,faltam ['params']
sweep-medium-mvns,b5r,DTLZ2,5,CHAVES,faltam ['params']
sweep-medium-mvns,b5r,WFG9,5,CHAVES,faltam ['params']
sweep-medium-mvns,b5r,ZDT1,5,CHAVES,faltam ['params']
sweep-small-lhs,b5m,MMF16_20,5,CHAVES,faltam ['params']
sweep-small-lhs,b5m,ZDT4,5,CHAVES,faltam ['params']
sweep-small-lhs,b5m,DTLZ2,5,CHAVES,faltam ['params']
sweep-small-lhs,b5m,WFG9,5,CHAVES,faltam ['params']
sweep-small-lhs,b5m,ZDT1,5,CHAVES,faltam ['params']
sweep-small-mvns,b5m,MMF16_20,5,CHAVES,faltam ['params']
sweep-small-mvns,b5m,ZDT4,5,CHAVES,faltam ['params']
sweep-small-mvns,b5m,DTLZ2,5,CHAVES,faltam ['params']
sweep-small-mvns,b5m,WFG9,5,CHAVES,faltam ['params']
sweep-small-mvns,b5m,ZDT1,5,CHAVES,faltam ['params']
sweep-medium-lhs,b5m,MMF16_20,5,CHAVES,faltam ['params']
sweep-medium-lhs,b5m,ZDT4,5,CHAVES,faltam ['params']
sweep-medium-lhs,b5m,DTLZ2,5,CHAVES,faltam ['params']
sweep-medium-lhs,b5m,WFG9,5,CHAVES,faltam ['params']
sweep-medium-lhs,b5m,ZDT1,5,CHAVES,faltam ['params']
sweep-medium-mvns,b5m,MMF16_20,5,CHAVES,faltam ['params']
sweep-medium-mvns,b5m,ZDT4,5,CHAVES,faltam ['params']
sweep-medium-mvns,b5m,DTLZ2,5,CHAVES,faltam ['params']
sweep-medium-mvns,b5m,WFG9,5,CHAVES,faltam ['params']
sweep-medium-mvns,b5m,ZDT1,5,CHAVES,faltam ['params']
sweep-small-lhs,moead_media,MMF16_20,5,CHAVES,faltam ['params']
sweep-small-lhs,moead_media,ZDT4,5,CHAVES,faltam ['params']
sweep-small-lhs,moead_media,DTLZ2,5,CHAVES,faltam ['params']
sweep-small-lhs,moead_media,WFG9,5,CHAVES,faltam ['params']
sweep-small-lhs,moead_media,ZDT1,5,CHAVES,faltam ['params']
sweep-medium-lhs,moead_media,MMF16_20,5,CHAVES,faltam ['params']
sweep-medium-lhs,moead_media,ZDT4,5,CHAVES,faltam ['params']
sweep-medium-lhs,moead_media,DTLZ2,5,CHAVES,faltam ['params']
sweep-medium-lhs,moead_media,WFG9,5,CHAVES,faltam ['params']
sweep-medium-lhs,moead_media,ZDT1,5,CHAVES,faltam ['params']
sweep-small-mvns,moead_media,MMF16_20,5,CHAVES,faltam ['params']
sweep-small-mvns,moead_media,ZDT4,5,CHAVES,faltam ['params']
sweep-small-mvns,moead_media,DTLZ2,5,CHAVES,faltam ['params']
sweep-small-mvns,moead_media,WFG9,5,CHAVES,faltam ['params']
sweep-small-mvns,moead_media,ZDT1,5,CHAVES,faltam ['params']
sweep-medium-mvns,moead_media,MMF16_20,5,CHAVES,faltam ['params']
sweep-medium-mvns,moead_media,ZDT4,5,CHAVES,faltam ['params']
sweep-medium-mvns,moead_media,DTLZ2,5,CHAVES,faltam ['params']
sweep-medium-mvns,moead_media,WFG9,5,CHAVES,faltam ['params']
sweep-medium-mvns,moead_media,ZDT1,5,CHAVES,faltam ['params']
