g,fe,d_gbest,d_nmin,d_nmax,rel_ei,win,sid_ok,sub_id,sub_ok,ga_it_ok,ga_pop_d,na_ok,th_lo,th_hi,mse,einan,ng,dgrid,dmin_arq,lam
11,252,1.457008930172421e-08,7.962761219267136e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,9.236490325125342,0,0,0,0.0,6.631277134705378,"(np.float64(0.2828282828), np.float64(0.7171717172))"
12,253,4.848793228040549e-09,7.962761219267136e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,16.69693542808979,0,0,0,0.0,35.945292037374266,"(np.float64(0.0808080808), np.float64(0.9191919192))"
13,254,2.49527024043239e-10,7.962761219267136e-09,4.444388065359379e-08,1.1232913432507926e-16,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,35.16891558060298,"(np.float64(0.8585858586), np.float64(0.1414141414))"
14,255,7.642954769071508e-09,7.962761219267136e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,26.158000882925514,"(np.float64(0.3939393939), np.float64(0.6060606061))"
15,256,6.448841682882289e-09,7.962761219267136e-09,4.444388065359379e-08,2.4510554606254946e-16,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,2.9025767024343625,"(np.float64(0.4848484848), np.float64(0.5151515152))"
16,257,6.973340238580761e-10,7.962761219267136e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,7.105427357601002e-15,2.279009151021016,"(np.float64(0.4545454545), np.float64(0.5454545455))"
17,258,1.6798597457512443e-08,7.962761219267136e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,17.71921422867464,"(np.float64(0.3232323232), np.float64(0.6767676768))"
18,259,1.614036924946216e-09,7.962761219267136e-09,4.444388065359379e-08,4.4195195773661173e-16,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,1.8586270398632558,"(np.float64(0.9595959596), np.float64(0.0404040404))"
19,260,4.032511546903095e-09,7.962761219267136e-09,4.444388065359379e-08,2.1832029843920227e-16,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,35.9675850793342,"(np.float64(0.7171717172), np.float64(0.2828282828))"
20,261,6.898522586507028e-10,7.962761219267136e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,7.105427357601002e-15,3.651609436960273,"(np.float64(0.4747474747), np.float64(0.5252525253))"
21,262,3.2156568241514805e-09,7.962761219267136e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,7.105427357601002e-15,4.595464691184422,"(np.float64(0.5252525253), np.float64(0.4747474747))"
22,263,2.066784132725985e-09,7.962761219267136e-09,4.444388065359379e-08,1.5549885595526703e-14,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,0.8962053510519168,"(np.float64(0.9494949495), np.float64(0.0505050505))"
23,264,4.848446963356956e-09,5.982379696886239e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,39.13661467874266,"(np.float64(0.0808080808), np.float64(0.9191919192))"
24,265,4.846385098788986e-09,5.982379696886239e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,38.420876760959985,"(np.float64(0.0808080808), np.float64(0.9191919192))"
25,266,4.31504448838993e-09,5.982379696886239e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,18.540176168382228,"(np.float64(0.6868686869), np.float64(0.3131313131))"
26,267,1.454487703889118e-09,5.982379696886239e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,35.91792576168284,"(np.float64(0.0606060606), np.float64(0.9393939394))"
27,268,3.948825488819807e-09,5.982379696886239e-09,4.444388065359379e-08,1.395160473262818e-15,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,1.6127215651537707,"(np.float64(0.6262626263), np.float64(0.3737373737))"
28,269,3.8431215432233046e-09,5.982379696886239e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,3.552713678800501e-15,0.17691724854911425,"(np.float64(0.7373737374), np.float64(0.2626262626))"
29,270,1.0531013838743775e-09,5.982379696886239e-09,4.444388065359379e-08,1.674231649185608e-16,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,0.3014796395971439,"(np.float64(0.9595959596), np.float64(0.0404040404))"
30,271,2.898289788721975e-09,4.02154149389946e-09,4.444388065359379e-08,2.0934703863434364e-15,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,0.403606795506426,"(np.float64(0.8383838384), np.float64(0.1616161616))"
31,272,6.616004744053328e-09,4.02154149389946e-09,4.444388065359379e-08,1.8827530144148125e-16,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,44.523730293389065,"(np.float64(0.1111111111), np.float64(0.8888888889))"
32,273,6.649198414088175e-10,4.02154149389946e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,31.982185450936853,"(np.float64(0.8080808081), np.float64(0.1919191919))"
33,274,6.020627024705405e-09,4.02154149389946e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,17.216966979915984,"(np.float64(0.101010101), np.float64(0.898989899))"
34,275,6.0511543553687375e-09,4.02154149389946e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,21.545316268421075,"(np.float64(0.5151515152), np.float64(0.4848484848))"
35,276,4.015916821309418e-09,4.02154149389946e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,1.264101643649587,"(np.float64(0.6363636364), np.float64(0.3636363636))"
36,277,5.924319923522603e-10,4.02154149389946e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,0.016437224519206817,"(np.float64(0.8282828283), np.float64(0.1717171717))"
37,278,9.911149401187203e-10,4.02154149389946e-09,4.444388065359379e-08,1.8741201235736565e-16,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,5.572159087116864,"(np.float64(0.7171717172), np.float64(0.2828282828))"
38,279,6.839409205650071e-09,4.02154149389946e-09,4.444388065359379e-08,1.6675675524037303e-16,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,7.105427357601002e-15,1.5861473823532757,"(np.float64(0.4747474747), np.float64(0.5252525253))"
39,280,3.908274592845373e-09,4.02154149389946e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,1.8477367237196225,"(np.float64(0.898989899), np.float64(0.101010101))"
40,281,5.199441988068543e-10,4.02154149389946e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,9.70146487631466,"(np.float64(0.8484848485), np.float64(0.1515151515))"
41,282,9.901048200834998e-11,4.02154149389946e-09,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,9.9e-05,0.3547280935729269,"(np.float64(1.0), np.float64(1e-06))"
42,283,1.1723347015379915e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,1.4646487027619923,"(np.float64(0.6666666667), np.float64(0.3333333333))"
43,284,6.839402405534045e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,7.105427357601002e-15,3.2587418597394238,"(np.float64(0.4747474747), np.float64(0.5252525253))"
44,285,6.839402405534045e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,7.105427357601002e-15,3.57604036908574,"(np.float64(0.4747474747), np.float64(0.5252525253))"
45,286,3.697251005352342e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,12.114483440013075,"(np.float64(0.7171717172), np.float64(0.2828282828))"
46,287,1.4730646286098548e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,1.5368602205316533,"(np.float64(0.8484848485), np.float64(0.1515151515))"
47,288,4.428023586688923e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,2.1953127735508793,"(np.float64(0.2222222222), np.float64(0.7777777778))"
48,289,1.4530332492768139e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,34.356076079737186,"(np.float64(0.0606060606), np.float64(0.9393939394))"
49,290,6.952587783271014e-09,2.1637390513646052e-08,4.444388065359379e-08,1.405070758328605e-16,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,3.6118548244541464,"(np.float64(0.4646464646), np.float64(0.5353535354))"
50,291,3.526159753075575e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,3.552713678800501e-15,0.04334331883960729,"(np.float64(0.7272727273), np.float64(0.2727272727))"
51,292,1.5591353347277348e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,8.246312530947064,"(np.float64(0.1212121212), np.float64(0.8787878788))"
52,293,7.84498527250932e-09,2.1637390513646052e-08,4.444388065359379e-08,5.676611472440311e-16,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,0.6531202617313667,"(np.float64(0.1515151515), np.float64(0.8484848485))"
53,294,6.726217000041501e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,1.7482613425103974,"(np.float64(0.4848484848), np.float64(0.5151515152))"
54,295,4.723798519012945e-09,2.1637390513646052e-08,4.444388065359379e-08,1.6027045535095956e-16,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,0.11927616643876826,"(np.float64(0.6565656566), np.float64(0.3434343434))"
55,296,6.991929535349328e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,23.597791021376118,"(np.float64(0.2222222222), np.float64(0.7777777778))"
56,297,1.485390244138074e-08,2.1637390513646052e-08,4.444388065359379e-08,1.756608938581843e-16,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,2.18459603707996,"(np.float64(0.4141414141), np.float64(0.5858585859))"
57,298,5.429550919977544e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,5.123961842160966,"(np.float64(0.0909090909), np.float64(0.9090909091))"
58,299,3.795557756980372e-09,2.1637390513646052e-08,4.444388065359379e-08,3.285991525576207e-16,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,2.1285746715591025,"(np.float64(0.6060606061), np.float64(0.3939393939))"
59,300,9.167278658406275e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,3.552713678800501e-15,2.6767241824740973,"(np.float64(0.2727272727), np.float64(0.7272727273))"
60,301,7.065773188763558e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,7.105427357601002e-15,2.51903194071072,"(np.float64(0.4545454545), np.float64(0.5454545455))"
61,302,3.94133330139379e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,2.3674774607003086,"(np.float64(0.8585858586), np.float64(0.1414141414))"
62,303,3.842607898540962e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,2.0581131719297714,"(np.float64(0.6262626263), np.float64(0.3737373737))"
63,304,3.2815346828751757e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,1.6253479067212466,"(np.float64(0.5353535354), np.float64(0.4646464646))"
64,305,1.0380318687941426e-08,2.1637390513646052e-08,4.444388065359379e-08,2.273495587746674e-16,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,32.04880072432204,"(np.float64(0.303030303), np.float64(0.696969697))"
65,306,3.694522549002599e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,7.105427357601002e-15,0.9301459165747461,"(np.float64(0.595959596), np.float64(0.404040404))"
66,307,1.0204398631641354e-08,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,1.2097182532509083,"(np.float64(0.3131313131), np.float64(0.6868686869))"
67,308,3.1463137095677496e-09,2.1637390513646052e-08,4.444388065359379e-08,2.566883964231936e-16,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,1.6891173424039754,"(np.float64(0.9494949495), np.float64(0.0505050505))"
68,309,8.140074198026426e-09,2.1637390513646052e-08,4.444388065359379e-08,9.332134357730101e-16,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,3.552713678800501e-15,1.9655069332322757,"(np.float64(0.2626262626), np.float64(0.7373737374))"
69,310,1.2190570136683121e-08,2.1637390513646052e-08,4.444388065359379e-08,2.1223377014159283e-16,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,20.798588685187276,"(np.float64(0.3434343434), np.float64(0.6565656566))"
70,311,4.7142909020969626e-09,2.1637390513646052e-08,4.444388065359379e-08,1.40757495963388e-16,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,1.6364543798917164,"(np.float64(0.9191919192), np.float64(0.0808080808))"
71,312,1.6054616108762687e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,18.606843483042923,0,0,0,0.0,5.554268679657517,"(np.float64(0.0707070707), np.float64(0.9292929293))"
72,313,1.0987189380529117e-08,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,7.105427357601002e-15,1.475756053755006,"(np.float64(0.4545454545), np.float64(0.5454545455))"
73,314,9.789624111355977e-10,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,2.2706984713725094,"(np.float64(0.202020202), np.float64(0.797979798))"
74,315,2.62365464770431e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,1.7063224957121366,"(np.float64(0.9595959596), np.float64(0.0404040404))"
75,316,3.6451607565712862e-09,2.1637390513646052e-08,4.444388065359379e-08,4.695978158978245e-16,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,0.7188809709544093,"(np.float64(0.5858585859), np.float64(0.4141414141))"
76,317,7.427716414154517e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,3.232136355750129,"(np.float64(0.5353535354), np.float64(0.4646464646))"
77,318,5.330706722495363e-10,2.1637390513646052e-08,4.444388065359379e-08,1.1577854557387173e-16,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,9.9e-05,0.24677340921608576,"(np.float64(1.0), np.float64(1e-06))"
78,319,1.0632138780497513e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,3.332384917634013,"(np.float64(0.8080808081), np.float64(0.1919191919))"
79,320,1.447342634630644e-08,2.1637390513646052e-08,4.444388065359379e-08,1.3397550465544962e-15,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,7.105427357601002e-15,0.5864496517348416,"(np.float64(0.404040404), np.float64(0.595959596))"
80,321,6.879594616204798e-09,2.1637390513646052e-08,4.444388065359379e-08,7.192399216749894e-16,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,0.1918281414679204,"(np.float64(0.2323232323), np.float64(0.7676767677))"
81,322,7.613479291457281e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,7.105427357601002e-15,0.6816777192748198,"(np.float64(0.5454545455), np.float64(0.4545454545))"
82,323,8.374828497359488e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,1.2075034189013099,"(np.float64(0.2929292929), np.float64(0.7070707071))"
83,324,1.1662057208816634e-08,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,7.105427357601002e-15,1.0826676427406432,"(np.float64(0.4242424242), np.float64(0.5757575758))"
84,325,3.89196971872785e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,2.0731153319025992,"(np.float64(0.6363636364), np.float64(0.3636363636))"
85,326,1.6054616108762687e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,18.606843483042923,0,0,0,0.0,4.5836743018508574,"(np.float64(0.0707070707), np.float64(0.9292929293))"
86,327,3.890178956744705e-09,2.1637390513646052e-08,4.444388065359379e-08,2.2592145591287903e-16,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,0.199568627717575,"(np.float64(0.6363636364), np.float64(0.3636363636))"
87,328,2.4210037863348077e-09,2.1637390513646052e-08,4.444388065359379e-08,1.1493561665316603e-16,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,1.7985207854834009,"(np.float64(0.696969697), np.float64(0.303030303))"
88,329,1.469053476088611e-08,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,0.6504268942842041,"(np.float64(0.4646464646), np.float64(0.5353535354))"
89,330,2.159655315692177e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,18.606843483042923,0,0,0,0.0,3.1659067485141894,"(np.float64(0.0505050505), np.float64(0.9494949495))"
90,331,3.195161177305117e-09,2.1637390513646052e-08,4.444388065359379e-08,1.2491109522154502e-16,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,1.8616772150219825,"(np.float64(0.8383838384), np.float64(0.1616161616))"
91,332,7.423942710582665e-09,2.1637390513646052e-08,4.444388065359379e-08,7.167150651543372e-16,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,2.307292012354365,"(np.float64(0.5353535354), np.float64(0.4646464646))"
92,333,3.195161177305117e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,1.3234494704929165,"(np.float64(0.8383838384), np.float64(0.1616161616))"
93,334,1.6234883271071254e-08,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,0.030264199914056544,"(np.float64(0.3333333333), np.float64(0.6666666667))"
94,335,8.889861208283278e-09,2.1637390513646052e-08,4.444388065359379e-08,1.2138484892314713e-16,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,1.5439062195089797,"(np.float64(0.1919191919), np.float64(0.8080808081))"
95,336,1.0554155483594174e-09,2.1637390513646052e-08,4.444388065359379e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,2.0758426030027257,"(np.float64(0.9898989899), np.float64(0.0101010101))"
96,337,1.9486403435298172e-08,2.1637390513646052e-08,1.754479559431133e-08,5.205073481324103e-16,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,7.105427357601002e-15,2.243201704276487,"(np.float64(0.404040404), np.float64(0.595959596))"
97,338,4.713427981251073e-09,2.1637390513646052e-08,1.754479559431133e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,0.4539476862811592,"(np.float64(0.9191919192), np.float64(0.0808080808))"
98,339,1.5770279138127563e-08,2.1637390513646052e-08,1.754479559431133e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,0.8753548078385477,"(np.float64(0.3232323232), np.float64(0.6767676768))"
99,340,3.890137240114555e-09,2.1637390513646052e-08,1.754479559431133e-08,8.017613524955478e-16,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,1.2667415252238812,"(np.float64(0.6363636364), np.float64(0.3636363636))"
100,341,1.9021887898151846e-08,2.1637390513646052e-08,1.754479559431133e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,2.3948031937186236e-15,"(np.float64(0.3939393939), np.float64(0.6060606061))"
101,342,3.939471776570613e-09,2.1637390513646052e-08,1.754479559431133e-08,2.231293293279614e-16,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,1.0114703757655708,"(np.float64(0.6464646465), np.float64(0.3535353535))"
102,343,1.4498113376504307e-08,2.1637390513646052e-08,1.754479559431133e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,0.005301134679944752,"(np.float64(0.3131313131), np.float64(0.6868686869))"
103,344,1.623479467527389e-08,2.1637390513646052e-08,1.754479559431133e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,0.9402229109071155,"(np.float64(0.3333333333), np.float64(0.6666666667))"
104,345,1.6374654548956258e-09,2.1637390513646052e-08,1.754479559431133e-08,1.458746401367836e-16,fe-1,True,True,True,True,0,True,1e-05,17.73774875275883,0,0,0,1.7763568394002505e-15,1.5694159554527416,"(np.float64(0.1313131313), np.float64(0.8686868687))"
105,346,8.136214146858833e-09,2.1637390513646052e-08,1.754479559431133e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,3.552713678800501e-15,0.11328187571563707,"(np.float64(0.2626262626), np.float64(0.7373737374))"
106,347,1.4335375386753668e-09,2.1637390513646052e-08,1.754479559431133e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,1.2797702866750875,"(np.float64(0.7777777778), np.float64(0.2222222222))"
107,348,7.564223497569245e-09,2.1637390513646052e-08,1.754479559431133e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,2.1989879195318496,"(np.float64(0.2424242424), np.float64(0.7575757576))"
108,349,5.542331205088402e-09,2.1637390513646052e-08,1.754479559431133e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,22.35026724661684,"(np.float64(0.1414141414), np.float64(0.8585858586))"
109,350,1.577922355278094e-09,2.1637390513646052e-08,1.754479559431133e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,1.651249511393846,"(np.float64(0.9797979798), np.float64(0.0202020202))"
110,351,1.4335375386753668e-09,2.1637390513646052e-08,1.754479559431133e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,1.723944816965906,"(np.float64(0.7777777778), np.float64(0.2222222222))"
111,352,1.5569100453305396e-09,2.1637390513646052e-08,1.754479559431133e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,1.8093201095764135,"(np.float64(0.7676767677), np.float64(0.2323232323))"
112,353,2.297145168528303e-09,2.1637390513646052e-08,1.754479559431133e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,0.0,2.0659808942987747,"(np.float64(0.7070707071), np.float64(0.2929292929))"
113,354,3.862656722253277e-09,2.1637390513646052e-08,1.754479559431133e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,0.43212362613140026,"(np.float64(0.8888888889), np.float64(0.1111111111))"
114,355,2.050400182973533e-09,2.1637390513646052e-08,1.754479559431133e-08,0.0,fe-1,True,True,True,True,0,True,1e-05,20.0,0,0,0,3.552713678800501e-15,0.5891324742869543,"(np.float64(0.7272727273), np.float64(0.2727272727))"
115,356,1.1982057152026826e-09,2.1637390513646052e-08,1.754479559431133e-08,0.0,fe-1,True,True,True,True,-2,True,1e-05,20.0,0,0,0,0.0,1.3630980564992035,"(np.float64(0.8585858586), np.float64(0.1414141414))"
