problema,ger,log,meu,nf1_log,nf1_meu,nadpop_log,nadpop_meu,ideal_log,ideal_meu
BBOB_F22,4,11,11,"[np.float64(206982.02939394844), np.float64(2355.877526296069)]","[np.float64(206982.03125), np.float64(2355.87744140625)]","[np.float64(321418.0112552485), np.float64(2355.877526296069)]","[np.float64(321418.0), np.float64(2355.87744140625)]","[np.float64(200.79678088120082), np.float64(1065.8834292901192)]","[np.float64(200.79678344726562), np.float64(1065.8834228515625)]"
BBOB_F22,5,10,10,"[np.float64(206982.02939394844), np.float64(2303.555152975143)]","[np.float64(206982.03125), np.float64(2303.55517578125)]","[np.float64(321418.0112552485), np.float64(2355.877526296069)]","[np.float64(321418.0), np.float64(2355.87744140625)]","[np.float64(198.99701345677127), np.float64(1065.8834292901192)]","[np.float64(198.99700927734375), np.float64(1065.8834228515625)]"
BBOB_F22,6,11,11,"[np.float64(206982.02939394844), np.float64(2325.2698475309803)]","[np.float64(206982.03125), np.float64(2325.269775390625)]","[np.float64(314620.0932812385), np.float64(2325.2698475309803)]","[np.float64(314620.09375), np.float64(2325.269775390625)]","[np.float64(194.1159615232279), np.float64(1065.8834292901192)]","[np.float64(194.115966796875), np.float64(1065.8834228515625)]"
BBOB_F22,7,11,11,"[np.float64(202556.83305898766), np.float64(2305.1766053713227)]","[np.float64(202556.828125), np.float64(2305.176513671875)]","[np.float64(310787.82096965855), np.float64(2324.8485348262766)]","[np.float64(310787.8125), np.float64(2324.8486328125)]","[np.float64(195.26596903076876), np.float64(1061.346491960757)]","[np.float64(195.26597595214844), np.float64(1061.346435546875)]"
BBOB_F22,8,7,7,"[np.float64(200024.08423879516), np.float64(2264.1588994165586)]","[np.float64(200024.078125), np.float64(2264.158935546875)]","[np.float64(308809.11014990666), np.float64(2324.8485348262766)]","[np.float64(308809.125), np.float64(2324.8486328125)]","[np.float64(186.29949913198385), np.float64(937.0683887572693)]","[np.float64(186.29949951171875), np.float64(937.068359375)]"
BBOB_F22,9,9,9,"[np.float64(191349.12096959143), np.float64(2264.1588994165586)]","[np.float64(191349.125), np.float64(2264.158935546875)]","[np.float64(293041.0227389994), np.float64(2264.1588994165586)]","[np.float64(293041.03125), np.float64(2264.158935546875)]","[np.float64(186.29949913198385), np.float64(818.3251985575693)]","[np.float64(186.29949951171875), np.float64(818.3251953125)]"
BBOB_F22,10,9,9,"[np.float64(179119.3989827562), np.float64(2265.615862092214)]","[np.float64(179119.40625), np.float64(2265.615966796875)]","[np.float64(262232.69355470064), np.float64(2265.615862092214)]","[np.float64(262232.6875), np.float64(2265.615966796875)]","[np.float64(185.565645044979), np.float64(830.8639051290382)]","[np.float64(185.56564331054688), np.float64(830.8638916015625)]"
BBOB_F22,11,8,8,"[np.float64(179119.3989827562), np.float64(2262.4307466904525)]","[np.float64(179119.40625), np.float64(2262.4306640625)]","[np.float64(262232.69355470064), np.float64(2262.4307466904525)]","[np.float64(262232.6875), np.float64(2262.4306640625)]","[np.float64(184.69943710490483), np.float64(830.8639051290382)]","[np.float64(184.69943237304688), np.float64(830.8638916015625)]"
BBOB_F22,12,7,7,"[np.float64(150755.1804599003), np.float64(2237.800571912462)]","[np.float64(150755.1875), np.float64(2237.800537109375)]","[np.float64(248666.91549658965), np.float64(2241.595533310042)]","[np.float64(248666.921875), np.float64(2241.595458984375)]","[np.float64(177.31899459726546), np.float64(832.1749380179951)]","[np.float64(177.31900024414062), np.float64(832.1749267578125)]"
BBOB_F22,13,7,7,"[np.float64(150755.1804599003), np.float64(2237.800571912462)]","[np.float64(150755.1875), np.float64(2237.800537109375)]","[np.float64(248666.91549658965), np.float64(2261.437943998125)]","[np.float64(248666.921875), np.float64(2261.43798828125)]","[np.float64(177.31899459726546), np.float64(832.1749380179951)]","[np.float64(177.31900024414062), np.float64(832.1749267578125)]"
BBOB_F22,14,8,8,"[np.float64(127105.37989478448), np.float64(2123.185227323918)]","[np.float64(127105.3828125), np.float64(2123.185302734375)]","[np.float64(248666.91549658965), np.float64(2261.437943998125)]","[np.float64(248666.921875), np.float64(2261.43798828125)]","[np.float64(181.76636125992803), np.float64(938.275324019583)]","[np.float64(181.766357421875), np.float64(938.2753295898438)]"
BBOB_F37,1,5,5,"[np.float64(1777.5882656437182), np.float64(545.068731487296)]","[np.float64(1777.5882568359375), np.float64(545.0687255859375)]","[np.float64(2819.017632824802), np.float64(697.0176156664356)]","[np.float64(2819.017578125), np.float64(697.0176391601562)]","[np.float64(765.1825922063663), np.float64(256.51416318274755)]","[np.float64(765.1826171875), np.float64(256.51416015625)]"
BBOB_F37,2,6,6,"[np.float64(1577.272823836378), np.float64(599.0157009989766)]","[np.float64(1577.2728271484375), np.float64(599.0156860351562)]","[np.float64(2315.276091759408), np.float64(697.0176156664356)]","[np.float64(2315.276123046875), np.float64(697.0176391601562)]","[np.float64(746.9639164400528), np.float64(294.04284547082)]","[np.float64(746.9639282226562), np.float64(294.0428466796875)]"
BBOB_F37,3,6,6,"[np.float64(1076.1098228692583), np.float64(541.3725708304078)]","[np.float64(1076.10986328125), np.float64(541.37255859375)]","[np.float64(1956.1168141894152), np.float64(681.5916759163835)]","[np.float64(1956.1168212890625), np.float64(681.5916748046875)]","[np.float64(682.4835648123747), np.float64(305.20604804061975)]","[np.float64(682.4835815429688), np.float64(305.2060546875)]"
BBOB_F37,4,6,6,"[np.float64(1068.4108869682345), np.float64(541.3725708304078)]","[np.float64(1068.410888671875), np.float64(541.37255859375)]","[np.float64(1956.1168141894152), np.float64(656.7015124395334)]","[np.float64(1956.1168212890625), np.float64(656.7015380859375)]","[np.float64(682.4835648123747), np.float64(332.95061293405575)]","[np.float64(682.4835815429688), np.float64(332.95062255859375)]"
BBOB_F37,5,6,6,"[np.float64(1039.0251971813784), np.float64(520.5671017288499)]","[np.float64(1039.025146484375), np.float64(520.5670776367188)]","[np.float64(1956.1168141894152), np.float64(653.9358790386843)]","[np.float64(1956.1168212890625), np.float64(653.9358520507812)]","[np.float64(648.4475240266764), np.float64(305.5964572111343)]","[np.float64(648.447509765625), np.float64(305.5964660644531)]"
BBOB_F37,6,7,7,"[np.float64(1037.631923406323), np.float64(548.7350103459335)]","[np.float64(1037.6319580078125), np.float64(548.7349853515625)]","[np.float64(1979.8539470124301), np.float64(653.9358790386843)]","[np.float64(1979.85400390625), np.float64(653.9358520507812)]","[np.float64(610.7401803887408), np.float64(307.85039424083516)]","[np.float64(610.7401733398438), np.float64(307.85040283203125)]"
BBOB_F37,7,9,9,"[np.float64(1205.0338482049933), np.float64(548.7350103459335)]","[np.float64(1205.0338134765625), np.float64(548.7349853515625)]","[np.float64(1979.8539470124301), np.float64(653.9358790386843)]","[np.float64(1979.85400390625), np.float64(653.9358520507812)]","[np.float64(610.7401803887408), np.float64(274.90642898256976)]","[np.float64(610.7401733398438), np.float64(274.90643310546875)]"
BBOB_F37,8,8,8,"[np.float64(1205.0338482049933), np.float64(462.16203699962284)]","[np.float64(1205.0338134765625), np.float64(462.16204833984375)]","[np.float64(1982.4040566620072), np.float64(653.9358790386843)]","[np.float64(1982.404052734375), np.float64(653.9358520507812)]","[np.float64(504.1240792986648), np.float64(274.90642898256976)]","[np.float64(504.12408447265625), np.float64(274.90643310546875)]"
BBOB_F37,9,6,6,"[np.float64(1245.4766397855951), np.float64(461.58995925829663)]","[np.float64(1245.4766845703125), np.float64(461.5899658203125)]","[np.float64(1982.4040566620072), np.float64(653.9358790386843)]","[np.float64(1982.404052734375), np.float64(653.9358520507812)]","[np.float64(496.2749664343744), np.float64(248.30826461318767)]","[np.float64(496.27496337890625), np.float64(248.30825805664062)]"
BBOB_F37,10,7,7,"[np.float64(1242.8812492081518), np.float64(461.58995925829663)]","[np.float64(1242.8812255859375), np.float64(461.5899658203125)]","[np.float64(1982.4040566620072), np.float64(653.3053342817177)]","[np.float64(1982.404052734375), np.float64(653.3053588867188)]","[np.float64(496.2749664343744), np.float64(246.90870221063037)]","[np.float64(496.27496337890625), np.float64(246.90870666503906)]"
BBOB_F37,11,6,6,"[np.float64(1242.8812492081518), np.float64(456.80084495220643)]","[np.float64(1242.8812255859375), np.float64(456.80084228515625)]","[np.float64(1982.4040566620072), np.float64(653.3053342817177)]","[np.float64(1982.404052734375), np.float64(653.3053588867188)]","[np.float64(493.735492254796), np.float64(246.90870221063037)]","[np.float64(493.7355041503906), np.float64(246.90870666503906)]"
BBOB_F37,12,6,6,"[np.float64(1184.641901920797), np.float64(458.8949807528271)]","[np.float64(1184.641845703125), np.float64(458.8949890136719)]","[np.float64(1982.4040566620072), np.float64(653.3053342817177)]","[np.float64(1982.404052734375), np.float64(653.3053588867188)]","[np.float64(490.69900489228075), np.float64(227.85998061606915)]","[np.float64(490.6990051269531), np.float64(227.8599853515625)]"
BBOB_F37,13,6,6,"[np.float64(1184.641901920797), np.float64(434.5099862639231)]","[np.float64(1184.641845703125), np.float64(434.5099792480469)]","[np.float64(1982.4040566620072), np.float64(630.192836816279)]","[np.float64(1982.404052734375), np.float64(630.1928100585938)]","[np.float64(446.29367984374903), np.float64(227.85998061606915)]","[np.float64(446.2936706542969), np.float64(227.8599853515625)]"
BBOB_F49,1,5,5,"[np.float64(1277.273044600254), np.float64(83.6471365249562)]","[np.float64(1277.2730712890625), np.float64(83.64713287353516)]","[np.float64(1784.0183875807488), np.float64(85.23720777783554)]","[np.float64(1784.0184326171875), np.float64(85.2372055053711)]","[np.float64(173.19638198789613), np.float64(33.726960721957994)]","[np.float64(173.19638061523438), np.float64(33.726959228515625)]"
BBOB_F49,2,7,7,"[np.float64(1131.961971655814), np.float64(83.6471365249562)]","[np.float64(1131.9619140625), np.float64(83.64713287353516)]","[np.float64(1149.408286442853), np.float64(85.23720777783554)]","[np.float64(1149.4083251953125), np.float64(85.2372055053711)]","[np.float64(173.19638198789613), np.float64(46.00237827249256)]","[np.float64(173.19638061523438), np.float64(46.002376556396484)]"
BBOB_F49,3,7,7,"[np.float64(424.16892220992554), np.float64(84.55693806345607)]","[np.float64(424.1689147949219), np.float64(84.55693817138672)]","[np.float64(1149.408286442853), np.float64(85.23912993278593)]","[np.float64(1149.4083251953125), np.float64(85.23912811279297)]","[np.float64(150.09273825384406), np.float64(52.879520924147535)]","[np.float64(150.09274291992188), np.float64(52.879520416259766)]"
BBOB_F49,4,6,6,"[np.float64(418.46856988768485), np.float64(82.36451717865911)]","[np.float64(418.46856689453125), np.float64(82.36451721191406)]","[np.float64(1149.408286442853), np.float64(85.23912993278593)]","[np.float64(1149.4083251953125), np.float64(85.23912811279297)]","[np.float64(131.663954110923), np.float64(48.6689173478184)]","[np.float64(131.66395568847656), np.float64(48.66891860961914)]"
BBOB_F49,5,6,6,"[np.float64(401.2422815254365), np.float64(82.36451717865911)]","[np.float64(401.2422790527344), np.float64(82.36451721191406)]","[np.float64(1149.408286442853), np.float64(85.23825289738633)]","[np.float64(1149.4083251953125), np.float64(85.23825073242188)]","[np.float64(131.663954110923), np.float64(49.45626072637032)]","[np.float64(131.66395568847656), np.float64(49.456260681152344)]"
BBOB_F49,6,6,6,"[np.float64(380.6903546666431), np.float64(82.36451717865911)]","[np.float64(380.69036865234375), np.float64(82.36451721191406)]","[np.float64(1149.408286442853), np.float64(85.23825289738633)]","[np.float64(1149.4083251953125), np.float64(85.23825073242188)]","[np.float64(131.663954110923), np.float64(57.45139425616114)]","[np.float64(131.66395568847656), np.float64(57.451393127441406)]"
BBOB_F49,7,8,8,"[np.float64(380.6903546666431), np.float64(82.36451717865911)]","[np.float64(380.69036865234375), np.float64(82.36451721191406)]","[np.float64(1149.408286442853), np.float64(85.23825289738633)]","[np.float64(1149.4083251953125), np.float64(85.23825073242188)]","[np.float64(131.663954110923), np.float64(57.45139425616114)]","[np.float64(131.66395568847656), np.float64(57.451393127441406)]"
BBOB_F49,8,8,8,"[np.float64(363.08535184340616), np.float64(82.36451717865911)]","[np.float64(363.0853576660156), np.float64(82.36451721191406)]","[np.float64(1149.408286442853), np.float64(85.23825289738633)]","[np.float64(1149.4083251953125), np.float64(85.23825073242188)]","[np.float64(131.663954110923), np.float64(60.67449613623972)]","[np.float64(131.66395568847656), np.float64(60.674495697021484)]"
BBOB_F49,9,8,8,"[np.float64(363.08535184340616), np.float64(82.46379773901899)]","[np.float64(363.0853576660156), np.float64(82.46379852294922)]","[np.float64(1122.6309798652164), np.float64(85.30764138251065)]","[np.float64(1122.6309814453125), np.float64(85.3076400756836)]","[np.float64(127.59146632340479), np.float64(60.67449613623972)]","[np.float64(127.59146881103516), np.float64(60.674495697021484)]"
BBOB_F49,10,8,8,"[np.float64(363.08535184340616), np.float64(82.46379773901899)]","[np.float64(363.0853576660156), np.float64(82.46379852294922)]","[np.float64(1122.6309798652164), np.float64(85.30764138251065)]","[np.float64(1122.6309814453125), np.float64(85.3076400756836)]","[np.float64(127.59146632340479), np.float64(60.67449613623972)]","[np.float64(127.59146881103516), np.float64(60.674495697021484)]"
BBOB_F49,11,8,8,"[np.float64(363.08535184340616), np.float64(82.46379773901899)]","[np.float64(363.0853576660156), np.float64(82.46379852294922)]","[np.float64(1118.5575579085316), np.float64(85.30764138251065)]","[np.float64(1118.5576171875), np.float64(85.3076400756836)]","[np.float64(127.59146632340479), np.float64(60.67449613623972)]","[np.float64(127.59146881103516), np.float64(60.674495697021484)]"
BBOB_F49,12,8,8,"[np.float64(363.08535184340616), np.float64(82.46379773901899)]","[np.float64(363.0853576660156), np.float64(82.46379852294922)]","[np.float64(1118.5575579085316), np.float64(85.30764138251065)]","[np.float64(1118.5576171875), np.float64(85.3076400756836)]","[np.float64(127.59146632340479), np.float64(60.67449613623972)]","[np.float64(127.59146881103516), np.float64(60.674495697021484)]"
BBOB_F49,13,10,10,"[np.float64(363.08535184340616), np.float64(82.46379773901899)]","[np.float64(363.0853576660156), np.float64(82.46379852294922)]","[np.float64(1118.5575579085316), np.float64(85.30764138251065)]","[np.float64(1118.5576171875), np.float64(85.3076400756836)]","[np.float64(127.59146632340479), np.float64(60.67449613623972)]","[np.float64(127.59146881103516), np.float64(60.674495697021484)]"
BBOB_F49,14,10,10,"[np.float64(363.08535184340616), np.float64(82.46379773901899)]","[np.float64(363.0853576660156), np.float64(82.46379852294922)]","[np.float64(1118.5575579085316), np.float64(85.30764138251065)]","[np.float64(1118.5576171875), np.float64(85.3076400756836)]","[np.float64(127.59146632340479), np.float64(60.67449613623972)]","[np.float64(127.59146881103516), np.float64(60.674495697021484)]"
BBOB_F5,1,7,7,"[np.float64(99.87173458016693), np.float64(1681.9308415595815)]","[np.float64(99.87173461914062), np.float64(1681.9307861328125)]","[np.float64(118.00795090571262), np.float64(2406.484215047917)]","[np.float64(118.00794982910156), np.float64(2406.484130859375)]","[np.float64(49.379147199736025), np.float64(624.2646191277454)]","[np.float64(49.379146575927734), np.float64(624.2646484375)]"
BBOB_F5,2,7,7,"[np.float64(99.87173458016693), np.float64(1445.0268607546632)]","[np.float64(99.87173461914062), np.float64(1445.02685546875)]","[np.float64(112.5363788662051), np.float64(2086.603385532814)]","[np.float64(112.536376953125), np.float64(2086.603271484375)]","[np.float64(29.633760008297486), np.float64(624.2646191277454)]","[np.float64(29.633760452270508), np.float64(624.2646484375)]"
BBOB_F5,3,7,7,"[np.float64(64.13459946020498), np.float64(1428.3936195534757)]","[np.float64(64.13459777832031), np.float64(1428.3936767578125)]","[np.float64(112.5363788662051), np.float64(1625.6505267656241)]","[np.float64(112.536376953125), np.float64(1625.6505126953125)]","[np.float64(32.80117419019564), np.float64(618.1555612338697)]","[np.float64(32.80117416381836), np.float64(618.1555786132812)]"
BBOB_F5,4,7,7,"[np.float64(63.443536976561056), np.float64(1438.6002921713925)]","[np.float64(63.443538665771484), np.float64(1438.600341796875)]","[np.float64(93.50061080000229), np.float64(1486.4355931038813)]","[np.float64(93.5006103515625), np.float64(1486.435546875)]","[np.float64(33.42109839131569), np.float64(596.7220230286333)]","[np.float64(33.42109680175781), np.float64(596.7220458984375)]"
BBOB_F5,5,6,6,"[np.float64(62.93705482962193), np.float64(1348.0588587916063)]","[np.float64(62.93705368041992), np.float64(1348.058837890625)]","[np.float64(92.77708765345457), np.float64(1486.4355931038813)]","[np.float64(92.77708435058594), np.float64(1486.435546875)]","[np.float64(31.609139345653276), np.float64(563.0317206874014)]","[np.float64(31.60913848876953), np.float64(563.03173828125)]"
BBOB_F5,6,7,7,"[np.float64(62.416714812419436), np.float64(1338.613133808198)]","[np.float64(62.41671371459961), np.float64(1338.6131591796875)]","[np.float64(92.77708765345457), np.float64(1446.4548760818204)]","[np.float64(92.77708435058594), np.float64(1446.454833984375)]","[np.float64(31.692860327644944), np.float64(550.1724213174213)]","[np.float64(31.692859649658203), np.float64(550.1724243164062)]"
