alg,exp,problema,n_ev,familias,has_fe,has_f_best,has_n_front1,has_modelo_hp,has_tempo_fit_s,has_tempo_busca_s,has_dist_min_arquivo,has_ideal,has_nadir_pop,has_nadir_front1
b4,main,BBOB_F37,201,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,BBOB_F49,200,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,BBOB_F5,200,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,BBOB_F55,200,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,DTLZ1,140,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,DTLZ2,270,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,DTLZ3,243,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,DTLZ4,338,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,DTLZ7,423,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,MMF1,45,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,MMF11_L,42,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,MMF16_20,90,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,MMF4,50,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,WFG1,185,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,WFG2,443,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,WFG4,274,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,WFG5,370,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,WFG9,442,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,ZDT1,557,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,ZDT3,547,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,ZDT4,201,b4_gen/,True,True,True,True,True,True,True,False,False,False
b4,main,ZDT6,203,b4_gen/,True,True,True,True,True,True,True,False,False,False
b5m,off,BBOB_F1,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,BBOB_F17,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,BBOB_F22,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,BBOB_F37,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,BBOB_F49,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,BBOB_F5,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,BBOB_F55,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,DTLZ1,381,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,DTLZ2,381,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,DTLZ3,381,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,DTLZ4,381,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,DTLZ7,381,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,MMF1,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,MMF11_L,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,MMF16_20,381,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,MMF4,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,WFG1,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,WFG2,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,WFG4,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,WFG5,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,WFG9,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,ZDT1,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,ZDT3,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,ZDT4,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,off,ZDT6,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-medium-lhs,swap_medium-lhs_DTLZ2,381,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-medium-lhs,swap_medium-lhs_MMF16_20,381,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-medium-lhs,swap_medium-lhs_WFG9,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-medium-lhs,swap_medium-lhs_ZDT1,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-medium-lhs,swap_medium-lhs_ZDT4,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-medium-mvns,swap_medium-mvns_DTLZ2,381,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-medium-mvns,swap_medium-mvns_MMF16_20,381,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-medium-mvns,swap_medium-mvns_WFG9,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-medium-mvns,swap_medium-mvns_ZDT1,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-medium-mvns,swap_medium-mvns_ZDT4,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-small-lhs,swap_small-lhs_DTLZ2,381,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-small-lhs,swap_small-lhs_MMF16_20,381,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-small-lhs,swap_small-lhs_WFG9,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-small-lhs,swap_small-lhs_ZDT1,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-small-lhs,swap_small-lhs_ZDT4,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-small-mvns,swap_small-mvns_DTLZ2,381,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-small-mvns,swap_small-mvns_MMF16_20,381,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-small-mvns,swap_small-mvns_WFG9,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-small-mvns,swap_small-mvns_ZDT1,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5m,sweep-small-mvns,swap_small-mvns_ZDT4,801,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,BBOB_F1,828,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,BBOB_F17,2461,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,BBOB_F22,1144,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,BBOB_F37,814,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,BBOB_F49,919,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,BBOB_F5,879,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,BBOB_F55,942,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,DTLZ1,870,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,DTLZ2,504,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,DTLZ3,1077,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,DTLZ4,2312,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,DTLZ7,785,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,MMF1,909,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,MMF11_L,848,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,MMF16_20,595,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,MMF4,865,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,WFG1,935,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,WFG2,923,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,WFG4,937,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,WFG5,930,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,WFG9,906,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,ZDT1,878,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,ZDT3,921,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,ZDT4,3845,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,off,ZDT6,950,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-medium-lhs,swap_medium-lhs_DTLZ2,408,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-medium-lhs,swap_medium-lhs_MMF16_20,512,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-medium-lhs,swap_medium-lhs_WFG9,905,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-medium-lhs,swap_medium-lhs_ZDT1,852,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-medium-lhs,swap_medium-lhs_ZDT4,5465,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-medium-mvns,swap_medium-mvns_DTLZ2,454,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-medium-mvns,swap_medium-mvns_MMF16_20,647,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-medium-mvns,swap_medium-mvns_WFG9,954,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-medium-mvns,swap_medium-mvns_ZDT1,864,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-medium-mvns,swap_medium-mvns_ZDT4,3660,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-small-lhs,swap_small-lhs_DTLZ2,504,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-small-lhs,swap_small-lhs_MMF16_20,595,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-small-lhs,swap_small-lhs_WFG9,906,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-small-lhs,swap_small-lhs_ZDT1,878,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-small-lhs,swap_small-lhs_ZDT4,3845,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-small-mvns,swap_small-mvns_DTLZ2,557,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-small-mvns,swap_small-mvns_MMF16_20,507,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-small-mvns,swap_small-mvns_WFG9,944,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-small-mvns,swap_small-mvns_ZDT1,854,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
b5r,sweep-small-mvns,swap_small-mvns_ZDT4,5548,decision/b5_gen,True,True,True,False,False,False,False,False,False,False
c122,main,BBOB_F1,200,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,BBOB_F17,200,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,BBOB_F22,200,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,BBOB_F37,200,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,BBOB_F49,200,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,BBOB_F5,200,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,BBOB_F55,200,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,DTLZ1,140,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,DTLZ2,240,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,DTLZ3,240,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,DTLZ4,240,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,DTLZ7,440,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,MMF1,40,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,MMF11_L,41,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,MMF16_20,400,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,MMF4,40,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,WFG1,440,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,WFG2,440,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,WFG4,440,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,WFG5,440,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,WFG9,440,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,ZDT1,600,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,ZDT3,600,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,ZDT4,201,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c122,main,ZDT6,200,decision/c122_gen,True,True,True,False,True,True,True,False,False,False
c141,main,BBOB_F1,59,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,BBOB_F17,57,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,BBOB_F22,51,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,BBOB_F37,50,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,BBOB_F49,51,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,BBOB_F5,56,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,BBOB_F55,54,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,DTLZ1,31,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,DTLZ2,65,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,DTLZ3,64,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,DTLZ4,63,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,DTLZ7,102,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,MMF1,12,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,MMF11_L,12,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,MMF16_20,119,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,MMF4,11,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,WFG1,124,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,WFG2,141,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,WFG4,125,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,WFG5,121,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,WFG9,124,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,ZDT1,173,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,ZDT3,181,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,ZDT4,57,c141_gen/,True,True,True,True,True,True,True,False,False,False
c141,main,ZDT6,64,c141_gen/,True,True,True,True,True,True,True,False,False,False
c149,main,BBOB_F1,200,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,BBOB_F17,200,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,BBOB_F22,200,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,BBOB_F37,200,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,BBOB_F49,200,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,BBOB_F5,200,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,BBOB_F55,200,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,DTLZ1,140,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,DTLZ2,240,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,DTLZ3,240,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,DTLZ4,240,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,DTLZ7,440,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,MMF1,40,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,MMF11_L,40,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,MMF16_20,400,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,MMF4,40,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,WFG1,440,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,WFG2,440,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,WFG4,440,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,WFG5,440,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,WFG9,440,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,ZDT1,600,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,ZDT3,600,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,ZDT4,200,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,main,ZDT6,200,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,batch,q10_DTLZ2,200,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,batch,q10_MMF16_20,200,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,batch,q10_WFG9,200,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,batch,q10_ZDT1,200,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c149,batch,q10_ZDT4,200,decision/c149_gen,True,True,True,True,True,True,True,False,False,False
c154,main,BBOB_F1,201,decision/hard_stop;decision/infill,True,True,True,True,True,True,True,False,False,False
c154,main,BBOB_F17,201,decision/hard_stop;decision/infill,True,True,True,True,True,True,True,False,False,False
c154,main,BBOB_F22,201,decision/hard_stop;decision/infill,True,True,True,True,True,True,True,False,False,False
c154,main,BBOB_F37,201,decision/hard_stop;decision/infill,True,True,True,True,True,True,True,False,False,False
c154,main,BBOB_F49,201,decision/hard_stop;decision/infill,True,True,True,True,True,True,True,False,False,False
c154,main,BBOB_F5,201,decision/hard_stop;decision/infill,True,True,True,True,True,True,True,False,False,False
c154,main,DTLZ1,141,decision/hard_stop;decision/infill,True,True,True,True,True,True,True,False,False,False
c154,main,MMF1,41,decision/hard_stop;decision/infill,True,True,True,True,True,True,True,False,False,False
c154,main,MMF11_L,43,decision/hard_stop;decision/infill,True,True,True,True,True,True,True,False,False,False
c154,main,MMF4,41,decision/hard_stop;decision/infill,True,True,True,True,True,True,True,False,False,False
c154,main,ZDT4,201,decision/hard_stop;decision/infill,True,True,True,True,True,True,True,False,False,False
c217,main,BBOB_F1,190,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,BBOB_F17,196,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,BBOB_F22,138,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,BBOB_F37,186,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,BBOB_F49,196,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,BBOB_F5,160,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,BBOB_F55,178,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,DTLZ1,140,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,DTLZ2,240,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,DTLZ3,240,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,DTLZ4,240,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,DTLZ7,431,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,MMF1,42,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,MMF11_L,43,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,MMF16_20,400,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,MMF4,38,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,WFG1,440,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,WFG2,440,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,WFG4,440,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,WFG5,440,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,WFG9,441,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,ZDT1,586,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,ZDT3,581,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,ZDT4,181,c217_gen/,True,True,True,True,True,True,True,False,False,False
c217,main,ZDT6,155,c217_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,BBOB_F1,200,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,BBOB_F17,200,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,BBOB_F22,200,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,BBOB_F37,200,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,BBOB_F49,200,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,BBOB_F5,200,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,BBOB_F55,200,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,DTLZ1,140,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,DTLZ2,240,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,DTLZ3,240,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,DTLZ4,240,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,DTLZ7,440,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,MMF1,40,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,MMF11_L,40,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,MMF16_20,400,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,MMF4,40,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,WFG1,440,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,WFG2,440,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,WFG4,440,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,WFG5,440,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,WFG9,440,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,ZDT1,600,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,ZDT3,600,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,ZDT4,200,c238_gen/,True,True,True,True,True,True,True,False,False,False
c238,main,ZDT6,200,c238_gen/,True,True,True,True,True,True,True,False,False,False
c262,main,BBOB_F1,201,decision/hard_stop;decision/infill,True,True,True,True,True,True,True,False,False,False
c262,main,BBOB_F17,201,decision/hard_stop;decision/infill,True,True,True,True,True,True,True,False,False,False
c262,main,BBOB_F22,201,decision/hard_stop;decision/infill,True,True,True,True,True,True,True,False,False,False
c262,main,BBOB_F37,201,decision/hard_stop;decision/infill,True,True,True,True,True,True,True,False,False,False
