alg,exp,problema,n_gen,caminho,has_fe,has_f_best,has_n_front1,has_modelo_hp,has_tempo_fit_s,has_tempo_busca_s,has_dist_min_arquivo,has_ideal,has_nadir_pop,has_nadir_front1,n_di10_literal,n_pisos_extra,chaves
b1,main,DTLZ7,440,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,MMF1,48,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,MMF11_L,40,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,MMF16_20,400,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,MMF4,40,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,WFG1,374,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,WFG2,440,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,WFG4,440,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,WFG5,440,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,WFG9,440,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,ZDT1,603,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,ZDT3,601,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,ZDT4,200,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b1,main,ZDT6,200,b1_gen,True,True,True,True,True,True,True,False,False,False,7,0,best_sid;dist_min_arquivo;e0_trace;ei_best;f_best;fe;fe_treino_max;ga_iters;ga_pop;gbest;geracao;lambda;lote;modelo_hp;mu_best;n_arquivo;n_dedup;n_ei_nan;n_front1;n_mse_neg;n_pool_ga;n_subset;n_treino;nan_guard;norm_max;norm_min;rec;sigma_best;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts
b3,main,BBOB_F1,40,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,BBOB_F17,40,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,BBOB_F22,40,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,BBOB_F37,40,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,BBOB_F49,40,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,BBOB_F5,42,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,BBOB_F55,40,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,DTLZ1,28,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,DTLZ2,48,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,DTLZ3,48,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,DTLZ4,48,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,DTLZ7,98,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,MMF1,8,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,MMF11_L,8,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,MMF16_20,80,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,MMF4,8,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,WFG1,89,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,WFG2,94,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,WFG4,92,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,WFG5,88,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,WFG9,90,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,ZDT1,120,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,ZDT3,131,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,ZDT4,43,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b3,main,ZDT6,40,b3_gen,True,True,True,True,True,True,True,False,False,False,7,0,Flag;NumV1;NumV2;apd_sel;arquivo;delta;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;index;lote;modelo_hp;motivo;n_front1;n_treino;n_vetores_vazios;nzero_updata;pop_por_w;ramo;rec;sigma_sel;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;u_alvo;u_efetivo
b4,main,BBOB_F1,200,b4_gen,True,True,True,True,True,True,True,False,False,False,7,0,L_sel;arquivo;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;guard_randperm;lote;modelo_hp;motivo;n_acumulado;n_front1;n_refs;n_treino;p0;p1;ramo;rec;ref_ids;rr;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;tr;ts
b4,main,BBOB_F17,200,b4_gen,True,True,True,True,True,True,True,False,False,False,7,0,L_sel;arquivo;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;guard_randperm;lote;modelo_hp;motivo;n_acumulado;n_front1;n_refs;n_treino;p0;p1;ramo;rec;ref_ids;rr;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;tr;ts
b4,main,BBOB_F22,204,b4_gen,True,True,True,True,True,True,True,False,False,False,7,0,L_sel;arquivo;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;guard_randperm;lote;modelo_hp;motivo;n_acumulado;n_front1;n_refs;n_treino;p0;p1;ramo;rec;ref_ids;rr;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;tr;ts
b4,main,BBOB_F37,201,b4_gen,True,True,True,True,True,True,True,False,False,False,7,0,L_sel;arquivo;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;guard_randperm;lote;modelo_hp;motivo;n_acumulado;n_front1;n_refs;n_treino;p0;p1;ramo;rec;ref_ids;rr;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;tr;ts
b4,main,BBOB_F49,200,b4_gen,True,True,True,True,True,True,True,False,False,False,7,0,L_sel;arquivo;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;guard_randperm;lote;modelo_hp;motivo;n_acumulado;n_front1;n_refs;n_treino;p0;p1;ramo;rec;ref_ids;rr;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;tr;ts
b4,main,BBOB_F5,200,b4_gen,True,True,True,True,True,True,True,False,False,False,7,0,L_sel;arquivo;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;guard_randperm;lote;modelo_hp;motivo;n_acumulado;n_front1;n_refs;n_treino;p0;p1;ramo;rec;ref_ids;rr;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;tr;ts
b4,main,BBOB_F55,200,b4_gen,True,True,True,True,True,True,True,False,False,False,7,0,L_sel;arquivo;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;guard_randperm;lote;modelo_hp;motivo;n_acumulado;n_front1;n_refs;n_treino;p0;p1;ramo;rec;ref_ids;rr;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;tr;ts
b4,main,DTLZ1,140,b4_gen,True,True,True,True,True,True,True,False,False,False,7,0,L_sel;arquivo;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;guard_randperm;lote;modelo_hp;motivo;n_acumulado;n_front1;n_refs;n_treino;p0;p1;ramo;rec;ref_ids;rr;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;tr;ts
b4,main,DTLZ2,270,b4_gen,True,True,True,True,True,True,True,False,False,False,7,0,L_sel;arquivo;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;guard_randperm;lote;modelo_hp;motivo;n_acumulado;n_front1;n_refs;n_treino;p0;p1;ramo;rec;ref_ids;rr;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;tr;ts
b4,main,DTLZ3,243,b4_gen,True,True,True,True,True,True,True,False,False,False,7,0,L_sel;arquivo;dist_min_arquivo;f_best;fe;fe_treino_max;geracao;guard_randperm;lote;modelo_hp;motivo;n_acumulado;n_front1;n_refs;n_treino;p0;p1;ramo;rec;ref_ids;rr;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;tr;ts
