problema,geracao,fe,aceito,slot_perdido,n_cand,N,count,frac_n1,n_desal,flag_copia,cand_dist,cand_classe,n1_pop,nan_s0,match_dx,pos,rank_global,is_argmax_global,is_argmax_S,pos_in_S,chosen_in_S,|S1|,limiar_pre
DTLZ2,14,144,1,0,1,100,2,1.0,0,False,0.6297078583966339,1,100,0,0.0,14.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
DTLZ2,18,147,1,0,1,100,24,0.93,6,False,1.1299635395206853,1,99,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,22,150,1,0,1,100,2,1.0,0,False,0.8086111889220532,1,100,0,0.0,39.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
DTLZ2,26,153,1,0,1,100,17,0.94,6,False,0.9684323890784481,1,100,0,0.0,21.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
DTLZ2,30,156,1,0,1,100,2,0.93,1,False,0.8126706031576971,1,94,0,0.0,95.0,1.0,1.0,1.0,1.0,1.0,94.0,0.0
DTLZ2,34,159,1,0,1,100,3,0.98,2,False,0.8303422905508151,1,100,0,0.0,20.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
DTLZ2,38,162,1,0,1,100,19,0.91,8,False,1.0244640214155376,1,99,0,0.0,53.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,42,165,1,0,1,100,2,0.91,1,False,0.8153877304472077,1,92,0,0.0,66.0,1.0,1.0,1.0,1.0,1.0,92.0,1.0
DTLZ2,46,168,1,0,1,100,2,0.92,3,False,0.9142093596482926,1,93,0,0.0,83.0,1.0,1.0,1.0,1.0,1.0,93.0,1.0
DTLZ2,50,171,1,0,1,100,15,0.9,10,False,1.131322881860916,1,100,0,0.0,31.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
DTLZ2,54,174,1,0,1,100,51,0.79,19,False,1.123773624016203,1,98,0,0.0,48.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
DTLZ2,58,177,1,0,1,100,3,0.94,6,False,0.7908373708870803,1,100,0,0.0,31.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
DTLZ2,62,180,1,0,1,100,2,0.91,3,False,0.7264474076073916,1,92,0,0.0,17.0,4.0,0.0,1.0,1.0,1.0,92.0,1.0
DTLZ2,66,183,1,0,1,100,2,0.93,4,False,0.7668721326934227,1,93,0,0.0,85.0,1.0,1.0,1.0,1.0,1.0,93.0,1.0
DTLZ2,70,186,1,0,1,100,2,0.91,0,False,0.8482914834750923,1,91,0,0.0,13.0,1.0,1.0,1.0,1.0,1.0,91.0,1.0
DTLZ2,74,189,1,0,1,100,4,0.92,7,False,1.0128264922717978,1,99,0,0.0,47.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,78,192,1,0,1,100,51,0.81,17,False,1.1810763007066982,1,98,0,0.0,34.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
DTLZ2,82,195,1,0,1,100,2,0.9,3,False,0.890165603143581,1,91,0,0.0,85.0,3.0,0.0,1.0,1.0,1.0,91.0,1.0
DTLZ2,86,198,1,0,1,100,4,0.94,5,False,0.8353431986855645,1,99,0,0.0,42.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,90,201,1,0,1,100,4,0.95,4,False,0.9937333130578222,1,99,0,0.0,15.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,94,204,1,0,1,100,18,0.92,7,False,1.060597599437375,1,98,0,0.0,92.0,1.0,1.0,1.0,1.0,1.0,98.0,0.0
DTLZ2,98,207,1,0,1,100,4,0.9,8,False,0.9837160894184964,1,98,0,0.0,32.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
DTLZ2,102,210,1,0,1,100,2,0.9,2,False,0.8683105990909448,1,90,0,0.0,12.0,1.0,1.0,1.0,1.0,1.0,90.0,1.0
DTLZ2,106,213,1,0,1,100,7,0.92,6,False,0.9574470133658325,1,98,0,0.0,29.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
DTLZ2,110,216,1,0,1,100,20,0.9,8,False,1.0780530905745003,1,98,0,0.0,88.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
DTLZ2,114,219,1,0,1,100,19,0.92,7,False,1.1804186001051529,1,99,0,0.0,42.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,118,222,1,0,1,100,51,0.76,21,False,1.109263388093408,1,97,0,0.0,27.0,1.0,1.0,1.0,1.0,1.0,97.0,1.0
DTLZ2,122,225,1,0,1,100,3,0.93,6,False,0.7768147235604989,1,99,0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,126,228,1,0,1,100,51,0.72,24,False,1.1756960624453694,1,96,0,0.0,54.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0
DTLZ2,130,231,1,0,1,100,51,0.79,16,False,1.1939624643844944,1,94,0,0.0,35.0,1.0,1.0,1.0,1.0,1.0,94.0,1.0
DTLZ2,134,234,1,0,1,100,10,0.9,10,False,0.9113129714715944,1,99,0,0.0,61.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,138,237,1,0,1,100,42,0.95,4,False,1.0483520916033122,1,99,0,0.0,86.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,142,240,1,0,1,100,28,0.9,9,False,0.9886863006036533,1,98,0,0.0,61.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
DTLZ2,146,243,1,0,1,100,10,0.9,8,False,0.9119240556046413,1,98,0,0.0,34.0,2.0,0.0,0.0,2.0,1.0,98.0,1.0
DTLZ2,150,246,1,0,1,100,10,0.91,6,False,1.0898678539523787,1,96,0,0.0,83.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0
DTLZ2,154,249,1,0,1,100,2,0.91,5,False,0.8290269665949014,1,92,0,0.0,64.0,1.0,1.0,1.0,1.0,1.0,92.0,1.0
DTLZ2,158,252,1,0,1,100,2,0.98,0,False,0.6024514254924904,1,98,0,0.0,22.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
DTLZ2,162,255,1,0,1,100,14,0.91,9,False,1.0743393068251992,1,100,0,0.0,71.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
DTLZ2,166,258,1,0,1,100,41,0.93,5,False,1.114833349189161,1,98,0,0.0,60.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
DTLZ2,170,261,1,0,1,100,24,0.91,8,False,1.0578474213043032,1,99,0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,174,264,1,0,1,100,3,0.94,4,False,0.8915083111545689,1,98,0,0.0,87.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
DTLZ2,178,267,1,0,1,100,3,0.92,7,False,0.8388371571554931,1,99,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,182,270,1,0,1,100,51,0.74,24,False,1.1927263953011105,1,98,0,0.0,48.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
DTLZ2,186,273,1,0,1,100,5,0.95,4,False,0.847571003777018,1,99,0,0.0,93.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,190,276,1,0,1,100,49,0.93,6,False,1.0160084959236937,1,99,0,0.0,71.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,194,279,1,0,1,100,38,0.9,10,False,1.189112334885366,1,100,0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
DTLZ2,198,282,1,0,1,100,51,0.7,25,False,1.055081023757188,1,93,0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,93.0,1.0
DTLZ2,202,285,1,0,1,100,29,0.92,6,False,1.0731326383149127,1,98,0,0.0,69.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
DTLZ2,206,288,1,0,1,100,7,0.92,8,False,0.8535438339578516,1,100,0,0.0,24.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
DTLZ2,210,291,1,0,1,100,4,0.92,7,False,0.7071055824846307,1,98,0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
DTLZ2,214,294,1,0,1,100,12,0.92,7,False,0.9614426801087967,1,99,0,0.0,57.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,218,297,1,0,1,100,7,0.9,9,False,0.8700204999620406,1,99,0,0.0,85.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,222,300,1,0,1,100,31,0.9,7,False,1.0425690579015066,1,97,0,0.0,61.0,1.0,1.0,1.0,1.0,1.0,97.0,1.0
DTLZ2,226,303,1,0,1,100,8,0.9,9,False,0.9301494879432938,1,99,0,0.0,53.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,230,306,1,0,1,100,2,0.9,3,False,0.7392297635064797,1,92,0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,92.0,1.0
DTLZ2,234,309,1,0,1,100,13,0.9,9,False,1.0966721819552876,1,99,0,0.0,42.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,238,312,1,0,1,100,27,0.91,8,False,1.0920548387194058,1,99,0,0.0,56.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,242,315,1,0,1,100,2,0.93,1,False,0.6744171307146678,1,93,0,0.0,13.0,1.0,1.0,1.0,1.0,1.0,93.0,1.0
DTLZ2,246,318,1,0,1,100,25,0.9,9,False,1.1797667312394804,1,99,0,0.0,79.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,250,321,1,0,1,100,13,0.9,10,False,1.238951942027225,1,100,0,0.0,49.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
DTLZ2,254,324,1,0,1,100,3,0.9,10,False,0.8322032920139695,1,100,0,0.0,29.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
DTLZ2,258,327,1,0,1,100,6,0.91,9,False,0.8219194567588567,1,100,0,0.0,12.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
DTLZ2,262,330,1,0,1,100,2,0.95,0,False,0.7503785906965248,1,95,0,0.0,63.0,1.0,1.0,1.0,1.0,1.0,95.0,1.0
DTLZ2,266,333,1,0,1,100,4,0.9,9,False,0.7139953454197752,1,99,0,0.0,19.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,270,336,1,0,1,100,9,0.9,9,False,0.9425036538774062,1,99,0,0.0,37.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,274,339,1,0,1,100,2,0.92,4,False,0.7862874123329737,1,93,0,0.0,23.0,1.0,1.0,1.0,1.0,1.0,93.0,1.0
DTLZ2,278,342,1,0,1,100,2,0.96,0,False,0.8151784670713216,1,96,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0
DTLZ2,282,345,1,0,1,100,4,0.93,7,False,0.7931783738490951,1,100,0,0.0,78.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
DTLZ2,286,348,1,0,1,100,7,0.91,7,False,0.9703702242427235,1,97,0,0.0,60.0,1.0,1.0,1.0,1.0,1.0,97.0,1.0
DTLZ2,290,351,1,0,1,100,3,0.91,7,False,0.7601918835533917,1,98,0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
DTLZ2,294,354,1,0,1,100,23,0.9,8,False,1.139298896910438,1,98,0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
DTLZ2,298,357,1,0,1,100,3,0.94,5,False,0.7324135211774271,1,99,0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
DTLZ2,302,360,1,0,1,100,8,0.9,9,False,0.827304702904222,1,99,0,0.0,97.0,1.0,1.0,1.0,1.0,1.0,99.0,0.0
DTLZ2,306,363,1,0,1,100,17,0.9,10,False,1.0965774137937205,1,100,0,0.0,26.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
DTLZ2,310,366,1,0,1,100,17,0.92,6,False,0.981319746134162,1,98,0,0.0,17.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
DTLZ2,314,369,1,0,1,100,25,0.91,7,False,1.1154124470198519,1,98,0,0.0,29.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
ZDT1,2,332,1,0,1,100,2,1.0,0,False,1.2133219126358499,1,100,0,0.0,25.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
ZDT1,6,334,0,1,1,100,0,1.0,90,True,0.0,1,10,0,,,,,,,,,
ZDT1,10,336,0,1,1,100,0,1.0,90,True,0.0,1,10,0,,,,,,,,,
ZDT1,14,338,0,1,1,100,0,1.0,90,True,0.0,1,10,0,,,,,,,,,
ZDT1,18,340,0,1,1,100,0,1.0,90,True,0.0,1,10,0,,,,,,,,,
ZDT1,22,342,0,1,1,100,0,1.0,90,True,0.0,1,10,0,,,,,,,,,
ZDT1,26,344,0,1,1,100,0,1.0,90,True,0.0,1,10,0,,,,,,,,,
ZDT1,30,346,0,1,1,100,0,1.0,90,True,0.0,1,10,0,,,,,,,,,
ZDT1,34,348,0,1,1,100,0,1.0,90,True,0.0,1,10,0,,,,,,,,,
ZDT1,38,350,0,1,1,100,0,1.0,90,True,0.0,1,10,0,,,,,,,,,
ZDT1,42,352,0,1,1,100,0,1.0,90,True,0.0,1,10,0,,,,,,,,,
ZDT1,46,354,0,1,1,100,0,1.0,89,True,0.0,1,11,0,,,,,,,,,
ZDT1,50,356,0,1,1,100,0,1.0,89,True,0.0,1,11,0,,,,,,,,,
ZDT1,54,358,0,1,1,100,0,1.0,91,True,0.0,1,9,0,,,,,,,,,
ZDT1,58,360,0,1,1,100,0,1.0,91,True,0.0,1,9,0,,,,,,,,,
ZDT1,62,362,0,1,1,100,0,1.0,91,True,0.0,1,9,0,,,,,,,,,
ZDT1,66,364,0,1,1,100,0,1.0,92,True,0.0,2,8,0,,,,,,,,,
ZDT1,70,366,0,1,1,100,0,1.0,92,True,0.0,2,8,0,,,,,,,,,
ZDT1,74,368,0,1,1,100,0,1.0,92,True,0.0,2,8,0,,,,,,,,,
ZDT1,78,370,0,1,1,100,0,1.0,90,True,0.0,2,10,0,,,,,,,,,
ZDT1,82,372,0,1,1,100,0,1.0,90,True,0.0,2,10,0,,,,,,,,,
ZDT1,86,374,0,1,1,100,0,1.0,90,True,0.0,2,10,0,,,,,,,,,
ZDT1,90,376,0,1,1,100,0,1.0,89,True,0.0,1,11,0,,,,,,,,,
ZDT1,94,378,0,1,1,100,0,1.0,87,True,0.0,1,13,0,,,,,,,,,
ZDT1,98,380,0,1,1,100,0,1.0,86,True,0.0,1,14,0,,,,,,,,,
ZDT1,102,382,0,1,1,100,0,1.0,85,True,0.0,1,15,0,,,,,,,,,
ZDT1,106,384,0,1,1,100,0,1.0,86,True,0.0,1,14,0,,,,,,,,,
ZDT1,110,386,0,1,1,100,0,1.0,85,True,0.0,1,15,0,,,,,,,,,
ZDT1,114,388,0,1,1,100,0,0.99,85,True,0.0,1,15,0,,,,,,,,,
ZDT1,118,391,1,0,1,100,2,0.97,0,False,0.6922995410549121,1,97,0,0.0,19.0,1.0,1.0,1.0,1.0,1.0,97.0,1.0
ZDT1,122,394,1,0,1,100,3,0.94,5,False,0.8599480207766548,1,99,0,0.0,54.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
ZDT1,126,397,1,0,1,100,2,0.93,0,False,0.43870469705957166,1,93,0,0.0,21.0,1.0,1.0,1.0,1.0,1.0,93.0,1.0
ZDT1,130,400,1,0,1,100,3,0.91,9,False,0.9784585591949688,1,100,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
ZDT1,134,403,1,0,1,100,2,0.97,0,False,0.332078246115846,1,97,0,0.0,18.0,1.0,1.0,1.0,1.0,1.0,97.0,1.0
ZDT1,138,406,1,0,1,100,3,0.92,0,False,0.35251308826323635,1,92,0,0.0,99.0,1.0,1.0,1.0,1.0,1.0,92.0,0.0
ZDT1,142,409,1,0,1,100,10,0.92,8,False,0.9416419572307011,1,100,0,0.0,74.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
ZDT1,146,412,1,0,1,100,3,0.94,0,False,0.5118360013264851,1,94,0,0.0,69.0,1.0,1.0,1.0,1.0,1.0,94.0,1.0
ZDT1,150,415,1,0,1,100,2,0.97,0,False,1.0421078009480524,1,97,0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,97.0,1.0
ZDT1,154,418,1,0,1,100,3,0.98,0,False,0.3951589177632976,1,98,0,0.0,12.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
ZDT1,158,421,1,0,1,100,3,1.0,0,False,0.3101517031930122,1,100,0,0.0,16.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
ZDT1,162,424,1,0,1,100,2,0.99,0,False,0.47152514482588737,1,99,0,0.0,32.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
ZDT1,166,427,1,0,1,100,2,1.0,0,False,0.32632685458537775,1,100,0,0.0,47.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
ZDT1,170,430,1,0,1,100,2,1.0,0,False,0.37190524342646447,1,100,0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
ZDT1,174,433,1,0,1,100,2,0.97,1,False,1.0448096915429579,1,98,0,0.0,85.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
ZDT1,178,436,1,0,1,100,2,1.0,0,False,0.8191651573361077,1,100,0,0.0,63.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
ZDT1,182,439,1,0,1,100,2,0.98,0,False,0.906531937767597,1,98,0,0.0,19.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
ZDT1,186,442,1,0,1,100,2,0.95,3,False,1.1738606735508061,1,95,0,0.0,19.0,2.0,0.0,1.0,1.0,1.0,95.0,1.0
ZDT1,190,445,1,0,1,100,2,0.97,1,False,0.4465151511078222,1,98,0,0.0,94.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
ZDT1,194,448,1,0,1,100,3,0.95,5,False,0.5813364879886919,1,100,0,0.0,72.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
ZDT1,198,451,1,0,1,100,3,0.91,1,False,0.3890715534167647,1,92,0,0.0,34.0,1.0,1.0,1.0,1.0,1.0,92.0,1.0
ZDT1,202,454,1,0,1,100,3,0.92,2,False,0.29215736323883745,1,93,0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,93.0,1.0
ZDT1,206,457,1,0,1,100,12,0.91,7,False,0.80323317827777,1,98,0,0.0,37.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
ZDT1,210,460,1,0,1,100,5,0.91,7,False,0.5194705586477435,1,98,0,0.0,25.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
ZDT1,214,463,1,0,1,100,16,0.9,9,False,1.2655453000073065,1,99,0,0.0,84.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
ZDT1,218,466,1,0,1,100,15,0.92,8,False,0.7031500456045707,1,100,0,0.0,89.0,2.0,0.0,0.0,2.0,1.0,100.0,1.0
ZDT1,222,469,1,0,1,100,51,0.72,23,False,1.096087558663343,1,95,0,0.0,80.0,2.0,0.0,0.0,2.0,1.0,95.0,0.0
ZDT1,226,472,1,0,1,100,4,0.91,9,False,0.29601609063348544,1,100,0,0.0,18.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
ZDT1,230,475,1,0,1,100,3,0.91,7,False,0.4444716531726277,1,97,0,0.0,22.0,1.0,1.0,1.0,1.0,1.0,97.0,1.0
ZDT1,234,478,1,0,1,100,3,0.91,8,False,0.5618975890566226,1,98,0,0.0,30.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
ZDT1,238,481,1,0,1,100,3,0.95,5,False,0.5690860872159511,1,100,0,0.0,32.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
ZDT1,242,484,1,0,1,100,6,0.9,7,False,0.5129495332578053,1,97,0,0.0,93.0,1.0,1.0,1.0,1.0,1.0,97.0,0.0
ZDT1,246,487,1,0,1,100,51,0.73,24,False,1.1222802574393553,1,96,0,0.0,68.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0
ZDT1,250,490,1,0,1,100,24,0.9,9,False,1.0072521739259865,1,99,0,0.0,97.0,1.0,1.0,1.0,1.0,1.0,99.0,0.0
ZDT1,254,493,1,0,1,100,4,0.92,4,False,0.3446275498545761,1,96,0,0.0,89.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0
ZDT1,258,496,1,0,1,100,22,0.9,10,False,0.6907501542064329,1,100,0,0.0,43.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
ZDT1,262,499,1,0,1,100,3,0.92,5,False,0.5134082948779672,1,97,0,0.0,92.0,1.0,1.0,1.0,1.0,1.0,97.0,0.0
ZDT1,266,502,1,0,1,100,17,0.91,9,False,0.676213893489729,1,100,0,0.0,70.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
ZDT1,270,505,1,0,1,100,4,0.92,8,False,0.3254897029292318,1,100,0,0.0,65.0,2.0,0.0,0.0,2.0,1.0,100.0,1.0
ZDT1,274,508,1,0,1,100,51,0.55,32,False,1.2531272681129717,1,87,0,0.0,93.0,1.0,1.0,1.0,1.0,1.0,87.0,0.0
ZDT1,278,511,1,0,1,100,5,0.9,9,False,0.38350685147711294,1,99,0,0.0,41.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
ZDT1,282,514,1,0,1,100,51,0.79,18,False,1.5226987727031285,1,97,0,0.0,12.0,1.0,1.0,1.0,1.0,1.0,97.0,1.0
ZDT1,286,517,1,0,1,100,2,0.98,0,False,0.2792837396532664,1,98,0,0.0,17.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
ZDT1,290,520,1,0,1,100,49,0.92,5,False,1.3671943133882511,1,97,0,0.0,98.0,1.0,1.0,1.0,1.0,1.0,97.0,0.0
ZDT1,294,523,1,0,1,100,51,0.91,7,False,1.3403775089497862,1,98,0,0.0,62.0,1.0,1.0,1.0,1.0,1.0,98.0,1.0
ZDT1,298,526,1,0,1,100,2,0.92,4,False,0.5419174038169422,1,92,0,0.0,75.0,2.0,0.0,1.0,1.0,1.0,92.0,1.0
ZDT1,302,529,1,0,1,100,51,0.69,26,False,1.5689683654743072,1,95,0,0.0,76.0,1.0,1.0,1.0,1.0,1.0,95.0,0.0
ZDT1,306,532,1,0,1,100,5,0.9,9,False,0.36255042826965295,1,99,0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
ZDT1,310,535,1,0,1,100,2,0.92,2,False,0.3215296490318118,1,93,0,0.0,82.0,1.0,1.0,1.0,1.0,1.0,93.0,1.0
ZDT1,314,538,1,0,1,100,51,0.73,20,False,1.686766335434994,1,93,0,0.0,81.0,3.0,0.0,0.0,2.0,1.0,93.0,0.0
ZDT1,318,541,1,0,1,100,51,0.55,38,False,1.2965161448754927,1,92,0,0.0,89.0,1.0,1.0,1.0,1.0,1.0,92.0,0.0
ZDT1,322,544,1,0,1,100,2,0.99,0,False,0.24346987008170876,1,99,0,0.0,93.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
ZDT1,326,547,1,0,1,100,3,0.9,5,False,0.31634975666172904,1,95,0,0.0,14.0,1.0,1.0,1.0,1.0,1.0,95.0,1.0
ZDT1,330,550,1,0,1,100,51,0.74,20,False,1.26163146357379,1,94,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,94.0,1.0
ZDT1,334,553,1,0,1,100,3,0.9,8,False,0.3728549167175914,1,97,0,0.0,34.0,1.0,1.0,1.0,1.0,1.0,97.0,1.0
ZDT1,338,556,1,0,1,100,2,0.9,2,False,0.3148586623040904,1,91,0,0.0,23.0,1.0,1.0,1.0,1.0,1.0,91.0,1.0
ZDT1,342,559,1,0,1,100,3,0.92,8,False,0.37600966124338314,1,99,0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
ZDT1,346,562,1,0,1,100,5,0.93,7,False,0.30608979933954295,1,100,0,0.0,72.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0
ZDT1,350,565,1,0,1,100,6,0.9,8,False,0.4058037456612398,1,98,0,0.0,98.0,1.0,1.0,1.0,1.0,1.0,98.0,0.0
ZDT1,354,568,1,0,1,100,2,0.91,6,False,0.37211235953076627,1,93,0,0.0,59.0,1.0,1.0,1.0,1.0,1.0,93.0,1.0
ZDT1,358,571,1,0,1,100,51,0.81,13,False,1.5365807358690091,1,93,0,0.0,88.0,1.0,1.0,1.0,1.0,1.0,93.0,0.0
ZDT1,362,574,1,0,1,100,8,0.9,8,False,0.3776969736420565,1,97,0,0.0,91.0,1.0,1.0,1.0,1.0,1.0,97.0,0.0
ZDT1,366,577,1,0,1,100,51,0.75,18,False,1.5967629499385463,1,91,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,91.0,1.0
ZDT1,370,580,1,0,1,100,51,0.72,22,False,1.6020417219311105,1,94,0,0.0,5.0,3.0,0.0,0.0,3.0,1.0,94.0,1.0
