alg,label,fontes,assinatura
b5m,BBOB_F49,"{""bucket"": 8}",bucketx8
b5m,BBOB_F5,"{""bucket"": 8}",bucketx8
b5m,BBOB_F55,"{""bucket"": 8}",bucketx8
b5m,DTLZ1,"{""bucket"": 8}",bucketx8
b5m,DTLZ2,"{""bucket"": 8}",bucketx8
b5m,DTLZ3,"{""bucket"": 8}",bucketx8
b5m,DTLZ4,"{""bucket"": 8}",bucketx8
b5m,DTLZ7,"{""bucket"": 8}",bucketx8
b5m,MMF1,"{""bucket"": 8}",bucketx8
b5m,MMF11_L,"{""bucket"": 8}",bucketx8
b5m,MMF16_20,"{""bucket"": 8}",bucketx8
b5m,MMF4,"{""bucket"": 8}",bucketx8
b5m,WFG1,"{""bucket"": 8}",bucketx8
b5m,WFG2,"{""bucket"": 8}",bucketx8
b5m,WFG4,"{""bucket"": 8}",bucketx8
b5m,WFG5,"{""bucket"": 8}",bucketx8
b5m,WFG9,"{""bucket"": 8}",bucketx8
b5m,ZDT1,"{""bucket"": 8}",bucketx8
b5m,ZDT3,"{""bucket"": 8}",bucketx8
b5m,ZDT4,"{""bucket"": 8}",bucketx8
b5m,ZDT6,"{""bucket"": 8}",bucketx8
b5m,swap_medium-lhs_DTLZ2,"{""bucket"": 8}",bucketx8
b5m,swap_medium-lhs_MMF16_20,"{""bucket"": 8}",bucketx8
b5m,swap_medium-lhs_WFG9,"{""bucket"": 8}",bucketx8
b5m,swap_medium-lhs_ZDT1,"{""bucket"": 8}",bucketx8
b5m,swap_medium-lhs_ZDT4,"{""bucket"": 8}",bucketx8
b5m,swap_medium-mvns_DTLZ2,"{""bucket"": 8}",bucketx8
b5m,swap_medium-mvns_MMF16_20,"{""bucket"": 8}",bucketx8
b5m,swap_medium-mvns_WFG9,"{""bucket"": 8}",bucketx8
b5m,swap_medium-mvns_ZDT1,"{""bucket"": 8}",bucketx8
b5m,swap_medium-mvns_ZDT4,"{""bucket"": 8}",bucketx8
b5m,swap_small-lhs_DTLZ2,"{""bucket"": 8}",bucketx8
b5m,swap_small-lhs_MMF16_20,"{""bucket"": 8}",bucketx8
b5m,swap_small-lhs_WFG9,"{""bucket"": 8}",bucketx8
b5m,swap_small-lhs_ZDT1,"{""bucket"": 8}",bucketx8
b5m,swap_small-lhs_ZDT4,"{""bucket"": 8}",bucketx8
b5m,swap_small-mvns_DTLZ2,"{""bucket"": 8}",bucketx8
b5m,swap_small-mvns_MMF16_20,"{""bucket"": 8}",bucketx8
b5m,swap_small-mvns_WFG9,"{""bucket"": 8}",bucketx8
b5m,swap_small-mvns_ZDT1,"{""bucket"": 8}",bucketx8
b5m,swap_small-mvns_ZDT4,"{""bucket"": 8}",bucketx8
b5r,BBOB_F1,"{""bucket"": 8}",bucketx8
b5r,BBOB_F17,"{""bucket"": 8}",bucketx8
b5r,BBOB_F22,"{""bucket"": 8}",bucketx8
b5r,BBOB_F37,"{""bucket"": 8}",bucketx8
b5r,BBOB_F49,"{""bucket"": 8}",bucketx8
b5r,BBOB_F5,"{""bucket"": 8}",bucketx8
b5r,BBOB_F55,"{""bucket"": 8}",bucketx8
b5r,DTLZ1,"{""bucket"": 8}",bucketx8
b5r,DTLZ2,"{""bucket"": 8}",bucketx8
b5r,DTLZ3,"{""bucket"": 8}",bucketx8
b5r,DTLZ4,"{""bucket"": 8}",bucketx8
b5r,DTLZ7,"{""bucket"": 8}",bucketx8
b5r,MMF1,"{""bucket"": 8}",bucketx8
b5r,MMF11_L,"{""bucket"": 8}",bucketx8
b5r,MMF16_20,"{""bucket"": 8}",bucketx8
b5r,MMF4,"{""bucket"": 8}",bucketx8
b5r,WFG1,"{""bucket"": 8}",bucketx8
b5r,WFG2,"{""bucket"": 8}",bucketx8
b5r,WFG4,"{""bucket"": 8}",bucketx8
b5r,WFG5,"{""bucket"": 8}",bucketx8
b5r,WFG9,"{""bucket"": 8}",bucketx8
b5r,ZDT1,"{""bucket"": 8}",bucketx8
b5r,ZDT3,"{""bucket"": 8}",bucketx8
b5r,ZDT4,"{""bucket"": 8}",bucketx8
b5r,ZDT6,"{""bucket"": 8}",bucketx8
b5r,swap_medium-lhs_DTLZ2,"{""bucket"": 8}",bucketx8
b5r,swap_medium-lhs_MMF16_20,"{""bucket"": 8}",bucketx8
b5r,swap_medium-lhs_WFG9,"{""bucket"": 8}",bucketx8
b5r,swap_medium-lhs_ZDT1,"{""bucket"": 8}",bucketx8
b5r,swap_medium-lhs_ZDT4,"{""bucket"": 8}",bucketx8
b5r,swap_medium-mvns_DTLZ2,"{""bucket"": 8}",bucketx8
b5r,swap_medium-mvns_MMF16_20,"{""bucket"": 8}",bucketx8
b5r,swap_medium-mvns_WFG9,"{""bucket"": 8}",bucketx8
b5r,swap_medium-mvns_ZDT1,"{""bucket"": 8}",bucketx8
b5r,swap_medium-mvns_ZDT4,"{""bucket"": 8}",bucketx8
b5r,swap_small-lhs_DTLZ2,"{""bucket"": 8}",bucketx8
b5r,swap_small-lhs_MMF16_20,"{""bucket"": 8}",bucketx8
b5r,swap_small-lhs_WFG9,"{""bucket"": 8}",bucketx8
b5r,swap_small-lhs_ZDT1,"{""bucket"": 8}",bucketx8
b5r,swap_small-lhs_ZDT4,"{""bucket"": 8}",bucketx8
b5r,swap_small-mvns_DTLZ2,"{""bucket"": 8}",bucketx8
b5r,swap_small-mvns_MMF16_20,"{""bucket"": 8}",bucketx8
b5r,swap_small-mvns_WFG9,"{""bucket"": 8}",bucketx8
b5r,swap_small-mvns_ZDT1,"{""bucket"": 8}",bucketx8
b5r,swap_small-mvns_ZDT4,"{""bucket"": 8}",bucketx8
c122,BBOB_F1,"{""bucket"": 6}",bucketx6
c122,BBOB_F17,"{""bucket"": 6}",bucketx6
c122,BBOB_F22,"{""bucket"": 6}",bucketx6
c122,BBOB_F37,"{""bucket"": 6}",bucketx6
c122,BBOB_F49,"{""bucket"": 6}",bucketx6
c122,BBOB_F5,"{""bucket"": 6}",bucketx6
c122,BBOB_F55,"{""bucket"": 6}",bucketx6
c122,DTLZ1,"{""bucket"": 6}",bucketx6
c122,DTLZ2,"{""bucket"": 6}",bucketx6
c122,DTLZ3,"{""bucket"": 6}",bucketx6
c122,DTLZ4,"{""bucket"": 6}",bucketx6
c122,DTLZ7,"{""bucket"": 6}",bucketx6
c122,MMF1,"{""bucket"": 6}",bucketx6
c122,MMF11_L,"{""bucket"": 6}",bucketx6
c122,MMF16_20,"{""bucket"": 6}",bucketx6
c122,MMF4,"{""bucket"": 6}",bucketx6
c122,WFG1,"{""bucket"": 6}",bucketx6
c122,WFG2,"{""bucket"": 6}",bucketx6
c122,WFG4,"{""bucket"": 6}",bucketx6
c122,WFG5,"{""bucket"": 6}",bucketx6
c122,WFG9,"{""bucket"": 6}",bucketx6
c122,ZDT1,"{""bucket"": 6}",bucketx6
c122,ZDT3,"{""bucket"": 6}",bucketx6
c122,ZDT4,"{""bucket"": 6}",bucketx6
c122,ZDT6,"{""bucket"": 6}",bucketx6
c141,BBOB_F1,"{""bucket"": 6}",bucketx6
c141,BBOB_F17,"{""bucket"": 6}",bucketx6
c141,BBOB_F22,"{""bucket"": 6}",bucketx6
c141,BBOB_F37,"{""bucket"": 6}",bucketx6
c141,BBOB_F49,"{""bucket"": 6}",bucketx6
c141,BBOB_F5,"{""bucket"": 6}",bucketx6
c141,BBOB_F55,"{""bucket"": 6}",bucketx6
c141,DTLZ1,"{""bucket"": 6}",bucketx6
c141,DTLZ2,"{""bucket"": 6}",bucketx6
c141,DTLZ3,"{""bucket"": 6}",bucketx6
c141,DTLZ4,"{""bucket"": 6}",bucketx6
c141,DTLZ7,"{""bucket"": 6}",bucketx6
c141,MMF1,"{""bucket"": 6}",bucketx6
c141,MMF11_L,"{""bucket"": 6}",bucketx6
c141,MMF16_20,"{""bucket"": 6}",bucketx6
c141,MMF4,"{""bucket"": 6}",bucketx6
c141,WFG1,"{""bucket"": 6}",bucketx6
c141,WFG2,"{""bucket"": 6}",bucketx6
c141,WFG4,"{""bucket"": 6}",bucketx6
c141,WFG5,"{""bucket"": 6}",bucketx6
c141,WFG9,"{""bucket"": 6}",bucketx6
c141,ZDT1,"{""bucket"": 6}",bucketx6
c141,ZDT3,"{""bucket"": 6}",bucketx6
c141,ZDT4,"{""bucket"": 6}",bucketx6
c141,ZDT6,"{""bucket"": 6}",bucketx6
c149,BBOB_F1,"{""bucket"": 6}",bucketx6
c149,BBOB_F17,"{""bucket"": 6}",bucketx6
c149,BBOB_F22,"{""bucket"": 6}",bucketx6
c149,BBOB_F37,"{""bucket"": 6}",bucketx6
c149,BBOB_F49,"{""bucket"": 6}",bucketx6
c149,BBOB_F5,"{""bucket"": 6}",bucketx6
c149,BBOB_F55,"{""bucket"": 6}",bucketx6
c149,DTLZ1,"{""bucket"": 6}",bucketx6
c149,DTLZ2,"{""bucket"": 6}",bucketx6
c149,DTLZ3,"{""bucket"": 6}",bucketx6
c149,DTLZ4,"{""bucket"": 6}",bucketx6
c149,DTLZ7,"{""bucket"": 6}",bucketx6
c149,MMF1,"{""bucket"": 6}",bucketx6
c149,MMF11_L,"{""bucket"": 6}",bucketx6
c149,MMF16_20,"{""bucket"": 6}",bucketx6
c149,MMF4,"{""bucket"": 6}",bucketx6
c149,WFG1,"{""bucket"": 6}",bucketx6
c149,WFG2,"{""bucket"": 6}",bucketx6
c149,WFG4,"{""bucket"": 6}",bucketx6
c149,WFG5,"{""bucket"": 6}",bucketx6
c149,WFG9,"{""bucket"": 6}",bucketx6
c149,ZDT1,"{""bucket"": 6}",bucketx6
c149,ZDT3,"{""bucket"": 6}",bucketx6
c149,ZDT4,"{""bucket"": 6}",bucketx6
c149,ZDT6,"{""bucket"": 6}",bucketx6
c149,q10_DTLZ2,"{""bucket"": 6}",bucketx6
c149,q10_MMF16_20,"{""bucket"": 6}",bucketx6
c149,q10_WFG9,"{""bucket"": 6}",bucketx6
c149,q10_ZDT1,"{""bucket"": 6}",bucketx6
c149,q10_ZDT4,"{""bucket"": 6}",bucketx6
c154,BBOB_F1,"{""bucket"": 6}",bucketx6
c154,BBOB_F17,"{""bucket"": 6}",bucketx6
c154,BBOB_F22,"{""bucket"": 6}",bucketx6
c154,BBOB_F37,"{""bucket"": 6}",bucketx6
c154,BBOB_F49,"{""bucket"": 6}",bucketx6
c154,BBOB_F5,"{""bucket"": 6}",bucketx6
c154,DTLZ1,"{""bucket"": 6}",bucketx6
c154,MMF1,"{""bucket"": 6}",bucketx6
c154,MMF11_L,"{""bucket"": 6}",bucketx6
c154,MMF4,"{""bucket"": 6}",bucketx6
c154,ZDT4,"{""bucket"": 6}",bucketx6
c217,BBOB_F1,"{""bucket"": 6}",bucketx6
c217,BBOB_F17,"{""bucket"": 6}",bucketx6
c217,BBOB_F22,"{""bucket"": 6}",bucketx6
c217,BBOB_F37,"{""bucket"": 6}",bucketx6
c217,BBOB_F49,"{""bucket"": 6}",bucketx6
c217,BBOB_F5,"{""bucket"": 6}",bucketx6
c217,BBOB_F55,"{""bucket"": 6}",bucketx6
c217,DTLZ1,"{""bucket"": 6}",bucketx6
c217,DTLZ2,"{""bucket"": 6}",bucketx6
c217,DTLZ3,"{""bucket"": 6}",bucketx6
c217,DTLZ4,"{""bucket"": 6}",bucketx6
c217,DTLZ7,"{""bucket"": 6}",bucketx6
c217,MMF1,"{""bucket"": 6}",bucketx6
c217,MMF11_L,"{""bucket"": 6}",bucketx6
c217,MMF16_20,"{""bucket"": 6}",bucketx6
c217,MMF4,"{""bucket"": 6}",bucketx6
c217,WFG1,"{""bucket"": 6}",bucketx6
c217,WFG2,"{""bucket"": 6}",bucketx6
c217,WFG4,"{""bucket"": 6}",bucketx6
c217,WFG5,"{""bucket"": 6}",bucketx6
c217,WFG9,"{""bucket"": 6}",bucketx6
c217,ZDT1,"{""bucket"": 6}",bucketx6
c217,ZDT3,"{""bucket"": 6}",bucketx6
c217,ZDT4,"{""bucket"": 6}",bucketx6
c217,ZDT6,"{""bucket"": 6}",bucketx6
c238,BBOB_F1,"{""bucket"": 6}",bucketx6
c238,BBOB_F17,"{""bucket"": 6}",bucketx6
c238,BBOB_F22,"{""bucket"": 6}",bucketx6
c238,BBOB_F37,"{""bucket"": 6}",bucketx6
c238,BBOB_F49,"{""bucket"": 6}",bucketx6
c238,BBOB_F5,"{""bucket"": 6}",bucketx6
c238,BBOB_F55,"{""bucket"": 6}",bucketx6
c238,DTLZ1,"{""bucket"": 6}",bucketx6
c238,DTLZ2,"{""bucket"": 6}",bucketx6
c238,DTLZ3,"{""bucket"": 6}",bucketx6
c238,DTLZ4,"{""bucket"": 6}",bucketx6
c238,DTLZ7,"{""bucket"": 6}",bucketx6
c238,MMF1,"{""bucket"": 6}",bucketx6
c238,MMF11_L,"{""bucket"": 6}",bucketx6
c238,MMF16_20,"{""bucket"": 6}",bucketx6
c238,MMF4,"{""bucket"": 6}",bucketx6
c238,WFG1,"{""bucket"": 6}",bucketx6
c238,WFG2,"{""bucket"": 6}",bucketx6
c238,WFG4,"{""bucket"": 6}",bucketx6
c238,WFG5,"{""bucket"": 6}",bucketx6
c238,WFG9,"{""bucket"": 6}",bucketx6
c238,ZDT1,"{""bucket"": 6}",bucketx6
c238,ZDT3,"{""bucket"": 6}",bucketx6
c238,ZDT4,"{""bucket"": 6}",bucketx6
c238,ZDT6,"{""bucket"": 6}",bucketx6
c262,BBOB_F1,"{""bucket"": 6}",bucketx6
c262,BBOB_F17,"{""bucket"": 6}",bucketx6
c262,BBOB_F22,"{""bucket"": 6}",bucketx6
c262,BBOB_F37,"{""bucket"": 6}",bucketx6
c262,BBOB_F49,"{""bucket"": 6}",bucketx6
c262,BBOB_F5,"{""bucket"": 6}",bucketx6
c262,BBOB_F55,"{""bucket"": 6}",bucketx6
c262,DTLZ1,"{""bucket"": 6}",bucketx6
c262,DTLZ2,"{""bucket"": 6}",bucketx6
c262,DTLZ3,"{""bucket"": 6}",bucketx6
c262,DTLZ4,"{""bucket"": 6}",bucketx6
c262,MMF1,"{""bucket"": 6}",bucketx6
c262,MMF11_L,"{""bucket"": 6}",bucketx6
c262,MMF4,"{""bucket"": 6}",bucketx6
c262,WFG2,"{""bucket"": 6}",bucketx6
c262,WFG4,"{""bucket"": 6}",bucketx6
c262,WFG5,"{""bucket"": 6}",bucketx6
c262,WFG9,"{""bucket"": 6}",bucketx6
c262,ZDT1,"{""bucket"": 6}",bucketx6
c262,ZDT4,"{""bucket"": 6}",bucketx6
c262,ZDT6,"{""bucket"": 6}",bucketx6
c311,BBOB_F1,"{""bucket"": 8}",bucketx8
c311,BBOB_F17,"{""bucket"": 8}",bucketx8
c311,BBOB_F22,"{""bucket"": 8}",bucketx8
c311,BBOB_F37,"{""bucket"": 8}",bucketx8
c311,BBOB_F49,"{""bucket"": 8}",bucketx8
c311,BBOB_F5,"{""bucket"": 8}",bucketx8
c311,BBOB_F55,"{""bucket"": 8}",bucketx8
c311,DTLZ1,"{""bucket"": 8}",bucketx8
c311,DTLZ2,"{""bucket"": 8}",bucketx8
c311,DTLZ3,"{""bucket"": 8}",bucketx8
c311,DTLZ4,"{""bucket"": 8}",bucketx8
c311,DTLZ7,"{""bucket"": 8}",bucketx8
c311,MMF1,"{""bucket"": 8}",bucketx8
c311,MMF11_L,"{""bucket"": 8}",bucketx8
c311,MMF16_20,"{""bucket"": 8}",bucketx8
c311,MMF4,"{""bucket"": 8}",bucketx8
c311,WFG1,"{""bucket"": 8}",bucketx8
c311,WFG2,"{""bucket"": 8}",bucketx8
c311,WFG4,"{""bucket"": 8}",bucketx8
c311,WFG5,"{""bucket"": 8}",bucketx8
c311,WFG9,"{""bucket"": 8}",bucketx8
c311,ZDT1,"{""bucket"": 8}",bucketx8
c311,ZDT3,"{""bucket"": 8}",bucketx8
c311,ZDT4,"{""bucket"": 8}",bucketx8
c311,ZDT6,"{""bucket"": 8}",bucketx8
c311,swap_big-lhs_DTLZ2,"{""bucket"": 8}",bucketx8
c311,swap_big-lhs_MMF16_20,"{""bucket"": 8}",bucketx8
c311,swap_big-lhs_WFG9,"{""bucket"": 8}",bucketx8
c311,swap_big-lhs_ZDT1,"{""bucket"": 8}",bucketx8
c311,swap_big-lhs_ZDT4,"{""bucket"": 8}",bucketx8
c311,swap_big-mvns_DTLZ2,"{""bucket"": 8}",bucketx8
c311,swap_big-mvns_MMF16_20,"{""bucket"": 8}",bucketx8
c311,swap_big-mvns_WFG9,"{""bucket"": 8}",bucketx8
c311,swap_big-mvns_ZDT1,"{""bucket"": 8}",bucketx8
c311,swap_big-mvns_ZDT4,"{""bucket"": 8}",bucketx8
c311,swap_medium-lhs_DTLZ2,"{""bucket"": 8}",bucketx8
c311,swap_medium-lhs_MMF16_20,"{""bucket"": 8}",bucketx8
c311,swap_medium-lhs_WFG9,"{""bucket"": 8}",bucketx8
c311,swap_medium-lhs_ZDT1,"{""bucket"": 8}",bucketx8
c311,swap_medium-lhs_ZDT4,"{""bucket"": 8}",bucketx8
c311,swap_medium-mvns_DTLZ2,"{""bucket"": 8}",bucketx8
c311,swap_medium-mvns_MMF16_20,"{""bucket"": 8}",bucketx8
c311,swap_medium-mvns_WFG9,"{""bucket"": 8}",bucketx8
c311,swap_medium-mvns_ZDT1,"{""bucket"": 8}",bucketx8
c311,swap_medium-mvns_ZDT4,"{""bucket"": 8}",bucketx8
c311,swap_small-lhs_DTLZ2,"{""bucket"": 8}",bucketx8
c311,swap_small-lhs_MMF16_20,"{""bucket"": 8}",bucketx8
c311,swap_small-lhs_WFG9,"{""bucket"": 8}",bucketx8
c311,swap_small-lhs_ZDT1,"{""bucket"": 8}",bucketx8
c311,swap_small-lhs_ZDT4,"{""bucket"": 8}",bucketx8
c311,swap_small-mvns_DTLZ2,"{""bucket"": 8}",bucketx8
c311,swap_small-mvns_MMF16_20,"{""bucket"": 8}",bucketx8
c311,swap_small-mvns_WFG9,"{""bucket"": 8}",bucketx8
c311,swap_small-mvns_ZDT1,"{""bucket"": 8}",bucketx8
c311,swap_small-mvns_ZDT4,"{""bucket"": 8}",bucketx8
e103,BBOB_F1,"{""bucket"": 8}",bucketx8
e103,BBOB_F17,"{""bucket"": 8}",bucketx8
e103,BBOB_F22,"{""bucket"": 8}",bucketx8
e103,BBOB_F37,"{""bucket"": 8}",bucketx8
e103,BBOB_F49,"{""bucket"": 8}",bucketx8
e103,BBOB_F5,"{""bucket"": 8}",bucketx8
e103,BBOB_F55,"{""bucket"": 8}",bucketx8
e103,DTLZ1,"{""bucket"": 8}",bucketx8
e103,DTLZ2,"{""bucket"": 8}",bucketx8
e103,DTLZ3,"{""bucket"": 8}",bucketx8
e103,DTLZ4,"{""bucket"": 8}",bucketx8
e103,DTLZ7,"{""bucket"": 8}",bucketx8
e103,MMF1,"{""bucket"": 8}",bucketx8
e103,MMF11_L,"{""bucket"": 8}",bucketx8
e103,MMF16_20,"{""bucket"": 8}",bucketx8
e103,MMF4,"{""bucket"": 8}",bucketx8
e103,WFG1,"{""bucket"": 8}",bucketx8
e103,WFG2,"{""bucket"": 8}",bucketx8
e103,WFG4,"{""bucket"": 8}",bucketx8
e103,WFG5,"{""bucket"": 8}",bucketx8
e103,WFG9,"{""bucket"": 8}",bucketx8
e103,ZDT1,"{""bucket"": 8}",bucketx8
e103,ZDT3,"{""bucket"": 8}",bucketx8
e103,ZDT4,"{""bucket"": 8}",bucketx8
e103,ZDT6,"{""bucket"": 8}",bucketx8
e103,swap_medium-lhs_DTLZ2,"{""bucket"": 8}",bucketx8
e103,swap_medium-lhs_MMF16_20,"{""bucket"": 8}",bucketx8
e103,swap_medium-lhs_WFG9,"{""bucket"": 8}",bucketx8
e103,swap_medium-lhs_ZDT1,"{""bucket"": 8}",bucketx8
e103,swap_medium-lhs_ZDT4,"{""bucket"": 8}",bucketx8
e103,swap_medium-mvns_DTLZ2,"{""bucket"": 8}",bucketx8
e103,swap_medium-mvns_MMF16_20,"{""bucket"": 8}",bucketx8
e103,swap_medium-mvns_WFG9,"{""bucket"": 8}",bucketx8
e103,swap_medium-mvns_ZDT1,"{""bucket"": 8}",bucketx8
e103,swap_medium-mvns_ZDT4,"{""bucket"": 8}",bucketx8
e103,swap_small-lhs_DTLZ2,"{""bucket"": 8}",bucketx8
e103,swap_small-lhs_MMF16_20,"{""bucket"": 8}",bucketx8
e103,swap_small-lhs_WFG9,"{""bucket"": 8}",bucketx8
e103,swap_small-lhs_ZDT1,"{""bucket"": 8}",bucketx8
e103,swap_small-lhs_ZDT4,"{""bucket"": 8}",bucketx8
e103,swap_small-mvns_DTLZ2,"{""bucket"": 8}",bucketx8
e103,swap_small-mvns_MMF16_20,"{""bucket"": 8}",bucketx8
e103,swap_small-mvns_WFG9,"{""bucket"": 8}",bucketx8
e103,swap_small-mvns_ZDT1,"{""bucket"": 8}",bucketx8
e103,swap_small-mvns_ZDT4,"{""bucket"": 8}",bucketx8
e7,BBOB_F1,"{""bucket"": 6}",bucketx6
e7,BBOB_F17,"{""bucket"": 6}",bucketx6
e7,BBOB_F22,"{""bucket"": 6}",bucketx6
e7,BBOB_F37,"{""bucket"": 6}",bucketx6
e7,BBOB_F49,"{""bucket"": 6}",bucketx6
e7,BBOB_F5,"{""bucket"": 6}",bucketx6
e7,BBOB_F55,"{""bucket"": 6}",bucketx6
e7,DTLZ1,"{""bucket"": 6}",bucketx6
e7,DTLZ2,"{""bucket"": 6}",bucketx6
e7,DTLZ3,"{""bucket"": 6}",bucketx6
e7,DTLZ4,"{""bucket"": 6}",bucketx6
e7,DTLZ7,"{""bucket"": 6}",bucketx6
e7,MMF1,"{""bucket"": 6}",bucketx6
e7,MMF11_L,"{""bucket"": 6}",bucketx6
e7,MMF16_20,"{""bucket"": 6}",bucketx6
e7,MMF4,"{""bucket"": 6}",bucketx6
e7,WFG1,"{""bucket"": 6}",bucketx6
e7,WFG2,"{""bucket"": 6}",bucketx6
e7,WFG4,"{""bucket"": 6}",bucketx6
e7,WFG5,"{""bucket"": 6}",bucketx6
e7,WFG9,"{""bucket"": 6}",bucketx6
e7,ZDT1,"{""bucket"": 6}",bucketx6
e7,ZDT3,"{""bucket"": 6}",bucketx6
e7,ZDT4,"{""bucket"": 6}",bucketx6
e7,ZDT6,"{""bucket"": 6}",bucketx6
e74,BBOB_F1,"{""bucket"": 6}",bucketx6
e74,BBOB_F17,"{""bucket"": 6}",bucketx6
e74,BBOB_F22,"{""bucket"": 6}",bucketx6
e74,BBOB_F37,"{""bucket"": 6}",bucketx6
e74,BBOB_F49,"{""bucket"": 6}",bucketx6
e74,BBOB_F5,"{""bucket"": 6}",bucketx6
e74,BBOB_F55,"{""bucket"": 6}",bucketx6
e74,DTLZ1,"{""bucket"": 6}",bucketx6
e74,DTLZ2,"{""bucket"": 6}",bucketx6
e74,DTLZ3,"{""bucket"": 6}",bucketx6
e74,DTLZ4,"{""bucket"": 6}",bucketx6
e74,DTLZ7,"{""bucket"": 6}",bucketx6
e74,MMF1,"{""bucket"": 6}",bucketx6
e74,MMF11_L,"{""bucket"": 6}",bucketx6
e74,MMF16_20,"{""bucket"": 6}",bucketx6
e74,MMF4,"{""bucket"": 6}",bucketx6
e74,WFG1,"{""bucket"": 6}",bucketx6
e74,WFG2,"{""bucket"": 6}",bucketx6
e74,WFG4,"{""bucket"": 6}",bucketx6
e74,WFG5,"{""bucket"": 6}",bucketx6
e74,WFG9,"{""bucket"": 6}",bucketx6
e74,ZDT1,"{""bucket"": 6}",bucketx6
