alg,label,ts_first,ts_last,n_header,n_footer,ftr_esp,jsonl_bad,n_retro,jsonl_linhas,assinatura,veredito,sinais,n_sinais,created_at,updated_at
c149,q10_ZDT4,2026-07-26T14:52:58.516000+00:00,2026-07-26T19:05:46.784000+00:00,1,2,2,0,0,504,DIFERE_tam=4;igual_copia=2,FALHA,"S6_bucket_ne_mac,S7_3x1_falha",2,2026-07-26T19:05:44+00:00,2026-07-26T19:05:46+00:00
c311,swap_small-lhs_MMF16_20,2026-07-26T11:07:53.803000+00:00,2026-07-26T11:09:20.828000+00:00,1,0,2,0,0,7,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou",2,2026-07-26T11:09:22+00:00,2026-07-26T11:09:22+00:00
c311,swap_small-lhs_WFG9,2026-07-26T11:07:47.680000+00:00,2026-07-26T11:08:10.680000+00:00,1,0,2,0,0,7,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou",2,2026-07-26T11:08:11+00:00,2026-07-26T11:08:11+00:00
c311,swap_small-lhs_ZDT1,2026-07-26T11:08:00.438000+00:00,2026-07-26T11:08:40.175000+00:00,1,0,2,0,0,7,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou",2,2026-07-26T11:08:41+00:00,2026-07-26T11:08:41+00:00
c311,swap_small-lhs_ZDT4,2026-07-26T11:08:04.989000+00:00,2026-07-26T11:08:25.730000+00:00,1,0,2,0,0,7,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou",2,2026-07-26T11:08:26+00:00,2026-07-26T11:08:26+00:00
c311,swap_small-mvns_DTLZ2,2026-07-26T11:07:11.308000+00:00,2026-07-26T11:08:08.891000+00:00,1,0,2,0,0,9,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou",2,2026-07-26T11:08:08+00:00,2026-07-26T11:08:08+00:00
c311,swap_small-mvns_MMF16_20,2026-07-26T11:07:38.525000+00:00,2026-07-26T11:08:48.900000+00:00,1,0,2,0,0,7,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou",2,2026-07-26T11:08:50+00:00,2026-07-26T11:08:50+00:00
c311,swap_small-mvns_WFG9,2026-07-26T11:07:39.528000+00:00,2026-07-26T11:08:07.372000+00:00,1,0,2,0,0,9,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou",2,2026-07-26T11:08:07+00:00,2026-07-26T11:08:07+00:00
e103,swap_medium-lhs_ZDT4,2026-07-24T00:45:03+00:00,2026-07-24T00:48:07+00:00,1,1,1,0,0,107,DIFERE_tam=2;igual_copia=6,OK,"S6_bucket_ne_mac,S9_pre_campanha",2,2026-07-24T00:48:07Z,2026-07-24T00:48:07Z
treed_media,swap_big-mvns_MMF16_20,2026-07-26T11:08:00.013000+00:00,2026-07-26T11:08:03.119000+00:00,1,0,2,0,0,2,igual_copia=8,IDS_AUSENTES,"S4_footer_faltante,S8_pulou",2,2026-07-26T11:08:13+00:00,2026-07-26T11:08:13+00:00
c311,swap_small-lhs_DTLZ2,2026-07-26T11:23:02.408000+00:00,2026-07-26T11:24:14.654000+00:00,1,2,2,0,0,9,igual_copia=8,IDS_AUSENTES,S8_pulou,1,2026-07-26T11:24:14+00:00,2026-07-26T11:24:14+00:00
e103,DTLZ7,2026-07-26T23:21:31+00:00,2026-07-26T23:27:16+00:00,1,1,1,1,0,108,mesmo_inode=8,OK,S2_jsonl_splice,1,2026-07-26T23:27:16Z,2026-07-26T23:27:16Z
e103,WFG2,2026-07-26T23:23:40+00:00,2026-07-26T23:28:17+00:00,1,1,1,1,0,108,mesmo_inode=8,OK,S2_jsonl_splice,1,2026-07-26T23:28:17Z,2026-07-26T23:28:17Z
e103,WFG4,2026-07-26T23:23:37+00:00,2026-07-26T23:28:38+00:00,1,1,1,1,0,108,mesmo_inode=8,OK,S2_jsonl_splice,1,2026-07-26T23:28:38Z,2026-07-26T23:28:38Z
e103,WFG9,2026-07-26T23:27:47+00:00,2026-07-26T23:32:27+00:00,1,1,1,1,0,108,mesmo_inode=8,OK,S2_jsonl_splice,1,2026-07-26T23:32:27Z,2026-07-26T23:32:27Z
nsga2,MMF1,2026-07-25T22:05:56+00:00,2026-07-25T22:06:10+00:00,1,1,1,0,0,29,mesmo_inode=6,IDS_AUSENTES,S9_pre_campanha,1,2026-07-25T22:06:10Z,2026-07-25T22:06:10Z
nsga2,MMF4,2026-07-25T22:09:29+00:00,2026-07-25T22:09:31+00:00,1,1,1,0,0,27,mesmo_inode=6,IDS_AUSENTES,S9_pre_campanha,1,2026-07-25T22:09:31Z,2026-07-25T22:09:31Z
nsga2,ZDT3,2026-07-25T22:09:31+00:00,2026-07-25T22:09:32+00:00,1,1,1,0,0,67,mesmo_inode=6,IDS_AUSENTES,S9_pre_campanha,1,2026-07-25T22:09:32Z,2026-07-25T22:09:32Z
sobol_batch,q10_ZDT4,2026-07-26T10:25:22.830000+00:00,2026-07-26T10:25:24.786000+00:00,1,2,2,0,0,203,DIFERE_tam=3;igual_copia=3,IDS_AUSENTES,S6_bucket_ne_mac,1,2026-07-26T10:25:23+00:00,2026-07-26T10:25:24+00:00
