alg,exp,prob,host,created,created_cons,estado
e103,sweep-medium-mvns,MMF16_20,VM,2026-07-26T11:28:20Z,,sem_consolidada
moead_media,sweep-medium-mvns,WFG9,MAC,2026-07-26T12:05:31+00:00,,sem_consolidada
moead_media,sweep-medium-mvns,DTLZ2,MAC,2026-07-26T12:04:58+00:00,,sem_consolidada
moead_media,sweep-medium-mvns,ZDT1,MAC,2026-07-26T12:10:48+00:00,,sem_consolidada
moead_media,sweep-medium-mvns,ZDT4,MAC,2026-07-26T12:09:02+00:00,,sem_consolidada
moead_media,sweep-medium-mvns,MMF16_20,MAC,2026-07-26T12:09:36+00:00,,sem_consolidada
b5r,sweep-medium-mvns,WFG9,MAC,2026-07-26T12:59:31+00:00,,sem_consolidada
b5r,sweep-medium-mvns,DTLZ2,MAC,2026-07-26T13:02:07+00:00,,sem_consolidada
b5r,sweep-medium-mvns,ZDT1,MAC,2026-07-26T13:03:10+00:00,,sem_consolidada
b5r,sweep-medium-mvns,ZDT4,MAC,2026-07-26T13:05:38+00:00,,sem_consolidada
b5r,sweep-medium-mvns,MMF16_20,MAC,2026-07-26T13:02:56+00:00,,sem_consolidada
b5m,sweep-medium-mvns,DTLZ2,MAC,2026-07-26T15:19:11+00:00,,sem_consolidada
b5m,sweep-medium-mvns,MMF16_20,MAC,2026-07-26T15:18:44+00:00,,sem_consolidada
b5m,sweep-medium-mvns,WFG9,MAC,2026-07-26T14:21:05+00:00,,sem_consolidada
b5m,sweep-medium-mvns,ZDT4,MAC,2026-07-24T01:29:53+00:00,,sem_consolidada
b5m,sweep-medium-mvns,ZDT1,MAC,2026-07-26T14:21:35+00:00,,sem_consolidada
moead,main,MMF1,VM,2026-07-18T14:51:36Z,,sem_consolidada
moead,main,ZDT1,VM,2026-07-18T04:26:54Z,,sem_consolidada
moead,main,DTLZ2,VM,2026-07-18T04:26:51Z,,sem_consolidada
c141,main,ZDT1,VM,2026-07-16T23:36:16Z,,sem_consolidada
c141,main,MMF1,VM,2026-07-18T14:44:58Z,,sem_consolidada
c141,main,DTLZ2,VM,2026-07-16T23:32:54Z,,sem_consolidada
smsemoa,main,ZDT1,VM,2026-07-18T04:26:55Z,,sem_consolidada
smsemoa,main,MMF1,VM,2026-07-18T14:51:36Z,,sem_consolidada
smsemoa,main,DTLZ2,VM,2026-07-18T04:26:52Z,,sem_consolidada
b3,main,MMF1,VM,2026-07-18T14:42:49Z,,sem_consolidada
b3,main,ZDT1,VM,2026-07-17T00:57:50Z,,sem_consolidada
b3,main,DTLZ2,VM,2026-07-17T01:00:11Z,,sem_consolidada
b4,main,DTLZ2,VM,2026-07-17T01:29:01Z,,sem_consolidada
b4,main,MMF1,VM,2026-07-18T14:45:47Z,,sem_consolidada
b4,main,ZDT1,VM,2026-07-17T01:26:06Z,,sem_consolidada
c238,main,ZDT1,VM,2026-07-18T03:10:38Z,,sem_consolidada
c238,main,MMF1,VM,2026-07-18T14:51:10Z,,sem_consolidada
c238,main,DTLZ2,VM,2026-07-17T23:14:00Z,,sem_consolidada
e103,main,ZDT1,VM,2026-07-18T14:41:15Z,,sem_consolidada
e103,main,MMF1,VM,2026-07-18T14:42:44Z,,sem_consolidada
e103,main,DTLZ2,VM,2026-07-18T14:40:38Z,,sem_consolidada
c154b,main,MMF1,VM,2026-07-18T16:40:40+00:00,,sem_consolidada
c262,main,DTLZ2,VM,2026-07-18T05:30:05+00:00,,sem_consolidada
c262,main,MMF1,VM,2026-07-18T02:58:21+00:00,,sem_consolidada
c262,main,ZDT1,VM,2026-07-18T09:41:44+00:00,,sem_consolidada
e74,main,DTLZ2,VM,2026-07-18T06:13:31Z,,sem_consolidada
e74,main,MMF1,VM,2026-07-18T14:51:34Z,,sem_consolidada
e74,main,ZDT1,VM,2026-07-18T06:21:35Z,,sem_consolidada
c154,main,DTLZ2,VM,2026-07-19T07:18:04+00:00,,sem_consolidada
c154,main,MMF1,VM,2026-07-18T16:12:16+00:00,,sem_consolidada
nsga3,main,MMF1,VM,2026-07-18T14:51:35Z,,sem_consolidada
nsga3,main,DTLZ2,VM,2026-07-18T04:26:50Z,,sem_consolidada
nsga3,main,ZDT1,VM,2026-07-18T04:26:54Z,,sem_consolidada
nsga2,main,DTLZ2,VM,2026-07-18T04:26:49Z,,sem_consolidada
nsga2,main,ZDT1,VM,2026-07-18T04:26:53Z,,sem_consolidada
nsga2,main,MMF1,VM,2026-07-18T14:42:45Z,,sem_consolidada
b1,main,DTLZ2,VM,2026-07-17T11:17:55Z,,sem_consolidada
b1,main,MMF1,VM,2026-07-18T14:45:12Z,,sem_consolidada
b1,main,ZDT1,VM,2026-07-17T15:11:59Z,,sem_consolidada
stub,main,ZDT1,VM,2026-07-16T12:55:21Z,,sem_consolidada
stub,main,DTLZ2,VM,2026-07-16T12:57:18Z,,sem_consolidada
stub,main,BBOB_F1,VM,2026-07-16T12:55:24Z,,sem_consolidada
stub,main,MMF1,VM,2026-07-18T14:44:56Z,,sem_consolidada
stub,main,ZDT3,VM,2026-07-16T12:58:19Z,,sem_consolidada
stubpy,main,MMF1,VM,2026-07-18T01:56:24+00:00,,sem_consolidada
stubpy,main,ZDT1,VM,2026-07-18T01:56:51+00:00,,sem_consolidada
c217,main,DTLZ2_d15,VM,2026-07-17T00:19:59Z,,sem_consolidada
c217,main,ZDT1,VM,2026-07-17T00:19:05Z,,sem_consolidada
c217,main,MMF1,VM,2026-07-18T14:42:39Z,,sem_consolidada
c217,main,DTLZ2,VM,2026-07-17T00:19:29Z,,sem_consolidada
e7,main,MMF1,VM,2026-07-18T14:51:05Z,,sem_consolidada
e7,main,ZDT1,VM,2026-07-17T17:13:53Z,,sem_consolidada
e7,main,DTLZ2,VM,2026-07-17T16:01:31Z,,sem_consolidada
c149,batch,ZDT4,MAC,2026-07-24T13:01:52+00:00,2026-07-26T19:05:44+00:00,DUPLA_EXECUCAO
sobol_batch,batch,ZDT4,MAC,2026-07-24T17:21:30+00:00,2026-07-26T10:25:23+00:00,DUPLA_EXECUCAO
c311,sweep-small-mvns,ZDT4,MAC,2026-07-26T11:23:40+00:00,,sem_consolidada
c311,sweep-small-mvns,DTLZ2,MAC,2026-07-26T11:08:08+00:00,,sem_consolidada
c311,sweep-small-mvns,ZDT1,MAC,2026-07-26T11:23:50+00:00,,sem_consolidada
c311,sweep-small-mvns,MMF16_20,MAC,2026-07-26T11:08:50+00:00,,sem_consolidada
c311,sweep-small-mvns,WFG9,MAC,2026-07-26T11:08:07+00:00,,sem_consolidada
e103,sweep-small-mvns,ZDT1,VM,2026-07-26T10:50:13Z,,sem_consolidada
e103,sweep-small-mvns,MMF16_20,VM,2026-07-26T10:44:48Z,,sem_consolidada
e103,sweep-small-mvns,ZDT4,VM,2026-07-26T10:44:41Z,,sem_consolidada
e103,sweep-small-mvns,WFG9,VM,2026-07-26T10:45:03Z,,sem_consolidada
e103,sweep-small-mvns,DTLZ2,VM,2026-07-26T10:42:27Z,,sem_consolidada
moead_media,sweep-small-mvns,DTLZ2,MAC,2026-07-26T11:25:54+00:00,,sem_consolidada
moead_media,sweep-small-mvns,ZDT4,MAC,2026-07-26T11:27:07+00:00,,sem_consolidada
moead_media,sweep-small-mvns,ZDT1,MAC,2026-07-26T11:28:10+00:00,,sem_consolidada
moead_media,sweep-small-mvns,WFG9,MAC,2026-07-26T11:26:23+00:00,,sem_consolidada
moead_media,sweep-small-mvns,MMF16_20,MAC,2026-07-26T11:26:33+00:00,,sem_consolidada
b5r,sweep-small-mvns,WFG9,MAC,2026-07-26T12:16:33+00:00,,sem_consolidada
b5r,sweep-small-mvns,ZDT1,MAC,2026-07-26T12:17:32+00:00,,sem_consolidada
b5r,sweep-small-mvns,DTLZ2,MAC,2026-07-26T12:17:03+00:00,,sem_consolidada
b5r,sweep-small-mvns,MMF16_20,MAC,2026-07-26T12:19:12+00:00,,sem_consolidada
b5r,sweep-small-mvns,ZDT4,MAC,2026-07-24T00:19:40+00:00,,sem_consolidada
b5m,sweep-small-mvns,WFG9,MAC,2026-07-27T01:38:06+00:00,,sem_consolidada
b5m,sweep-small-mvns,DTLZ2,MAC,2026-07-27T02:27:43+00:00,,sem_consolidada
b5m,sweep-small-mvns,MMF16_20,MAC,2026-07-27T02:11:18+00:00,,sem_consolidada
b5m,sweep-small-mvns,ZDT4,MAC,2026-07-27T00:51:33+00:00,,sem_consolidada
b5m,sweep-small-mvns,ZDT1,MAC,2026-07-27T01:37:48+00:00,,sem_consolidada
c122,main,DTLZ2,MAC,2026-07-20T01:58:56+00:00,,sem_consolidada
c122,main,ZDT1,MAC,2026-07-20T12:03:43+00:00,,sem_consolidada
c122,main,MMF1,MAC,2026-07-20T01:46:18+00:00,,sem_consolidada
moead,main,MMF1,VM,2026-07-21T22:31:14Z,,sem_consolidada
moead,main,ZDT1,VM,2026-07-20T02:08:47Z,,sem_consolidada
moead,main,DTLZ2,VM,2026-07-20T02:08:46Z,,sem_consolidada
c149,main,ZDT1,MAC,2026-07-22T16:22:50+00:00,,sem_consolidada
c149,main,DTLZ2,MAC,2026-07-22T13:00:51+00:00,,sem_consolidada
c149,main,MMF1,MAC,2026-07-22T12:16:25+00:00,,sem_consolidada
c141,main,ZDT1,VM,2026-07-21T19:58:22Z,,sem_consolidada
c141,main,MMF1,VM,2026-07-21T22:24:15Z,,sem_consolidada
c141,main,DTLZ2,VM,2026-07-21T19:55:32Z,,sem_consolidada
smsemoa,main,ZDT1,VM,2026-07-20T02:08:49Z,,sem_consolidada
smsemoa,main,MMF1,VM,2026-07-21T22:31:14Z,,sem_consolidada
smsemoa,main,DTLZ2,VM,2026-07-20T02:08:48Z,,sem_consolidada
b3,main,MMF1,VM,2026-07-21T22:24:35Z,,sem_consolidada
b3,main,ZDT1,VM,2026-07-20T02:05:33Z,,sem_consolidada
b3,main,DTLZ2,VM,2026-07-20T01:56:35Z,,sem_consolidada
b4,main,DTLZ2,VM,2026-07-20T01:39:27Z,,sem_consolidada
b4,main,MMF1,VM,2026-07-21T22:25:17Z,,sem_consolidada
b4,main,ZDT1,VM,2026-07-20T01:54:11Z,,sem_consolidada
c238,main,ZDT1,VM,2026-07-18T03:10:38Z,,sem_consolidada
c238,main,MMF1,VM,2026-07-21T22:30:42Z,,sem_consolidada
c238,main,DTLZ2,VM,2026-07-21T20:18:11Z,,sem_consolidada
e103,main,ZDT1,VM,2026-07-21T22:21:07Z,,sem_consolidada
e103,main,MMF1,VM,2026-07-21T22:31:11Z,,sem_consolidada
e103,main,DTLZ2,VM,2026-07-21T22:20:31Z,,sem_consolidada
c154b,main,MMF1,VM,2026-07-18T16:40:40+00:00,,sem_consolidada
c262,main,DTLZ2,VM,2026-07-19T15:53:53+00:00,,sem_consolidada
c262,main,MMF1,VM,2026-07-19T13:21:37+00:00,,sem_consolidada
c262,main,ZDT1,VM,2026-07-18T09:41:44+00:00,,sem_consolidada
e74,main,DTLZ2,VM,2026-07-21T22:11:16Z,,sem_consolidada
e74,main,MMF1,VM,2026-07-21T22:31:03Z,,sem_consolidada
e74,main,ZDT1,VM,2026-07-21T22:19:06Z,,sem_consolidada
e81,main,ZDT1,MAC,2026-07-22T21:30:33+00:00,,sem_consolidada
e81,main,DTLZ2,MAC,2026-07-22T19:31:00+00:00,,sem_consolidada
e81,main,MMF1,MAC,2026-07-22T19:21:49+00:00,,sem_consolidada
c154,main,DTLZ2,VM,2026-07-19T07:18:04+00:00,,sem_consolidada
c154,main,MMF1,VM,2026-07-19T13:23:13+00:00,,sem_consolidada
nsga3,main,MMF1,VM,2026-07-21T22:31:13Z,,sem_consolidada
nsga3,main,DTLZ2,VM,2026-07-20T02:08:45Z,,sem_consolidada
nsga3,main,ZDT1,VM,2026-07-20T02:08:46Z,,sem_consolidada
nsga2,main,DTLZ2,VM,2026-07-20T02:08:43Z,,sem_consolidada
nsga2,main,ZDT1,VM,2026-07-20T02:08:44Z,,sem_consolidada
nsga2,main,MMF1,VM,2026-07-21T22:31:12Z,,sem_consolidada
b1,main,DTLZ2,VM,2026-07-20T00:29:50Z,,sem_consolidada
b1,main,MMF1,VM,2026-07-21T22:24:30Z,,sem_consolidada
b1,main,ZDT1,VM,2026-07-20T01:10:49Z,,sem_consolidada
stub,main,ZDT1,VM,2026-07-16T12:55:21Z,,sem_consolidada
stub,main,DTLZ2,VM,2026-07-16T12:57:18Z,,sem_consolidada
stub,main,BBOB_F1,VM,2026-07-16T12:55:24Z,,sem_consolidada
stub,main,MMF1,VM,2026-07-22T10:18:17Z,,sem_consolidada
stub,main,ZDT3,VM,2026-07-16T12:58:19Z,,sem_consolidada
stubpy,main,MMF1,VM,2026-07-18T01:56:24+00:00,,sem_consolidada
stubpy,main,ZDT1,VM,2026-07-18T01:56:51+00:00,,sem_consolidada
c217,main,DTLZ2_d15,VM,2026-07-19T16:22:09Z,,sem_consolidada
c217,main,ZDT1,VM,2026-07-21T19:55:12Z,,sem_consolidada
c217,main,MMF1,VM,2026-07-21T22:24:13Z,,sem_consolidada
c217,main,DTLZ2,VM,2026-07-21T19:52:59Z,,sem_consolidada
e7,main,MMF1,VM,2026-07-21T22:30:35Z,,sem_consolidada
e7,main,ZDT1,VM,2026-07-17T17:13:53Z,,sem_consolidada
e7,main,DTLZ2,VM,2026-07-21T21:33:52Z,,sem_consolidada
c311,off,DTLZ2,MAC,2026-07-23T15:09:52+00:00,,sem_consolidada
c311,off,ZDT1,MAC,2026-07-23T15:10:36+00:00,,sem_consolidada
c311,off,MMF1,MAC,2026-07-23T15:08:54+00:00,,sem_consolidada
e103,off,MMF1,VM,2026-07-24T17:26:23Z,,sem_consolidada
stubr3,off,MMF1,MAC,2026-07-19T16:46:30+00:00,,sem_consolidada
stubr3,off,ZDT1,MAC,2026-07-19T20:24:26+00:00,,sem_consolidada
moead_media,off,ZDT1,MAC,2026-07-23T16:20:13+00:00,,sem_consolidada
moead_media,off,MMF1,MAC,2026-07-23T16:21:09+00:00,,sem_consolidada
moead_media,off,DTLZ2,MAC,2026-07-23T16:18:22+00:00,,sem_consolidada
b5r,off,DTLZ2,MAC,2026-07-23T11:54:58+00:00,,sem_consolidada
b5r,off,MMF1,MAC,2026-07-23T11:56:14+00:00,,sem_consolidada
b5r,off,ZDT1,MAC,2026-07-23T11:52:16+00:00,,sem_consolidada
b5m,off,ZDT1,MAC,2026-07-23T13:24:45+00:00,,sem_consolidada
b5m,off,DTLZ2,MAC,2026-07-23T12:41:12+00:00,,sem_consolidada
b5m,off,MMF1,MAC,2026-07-23T12:35:20+00:00,,sem_consolidada
